Date,Cash Buying Rate,Cash Selling Rate,Spot Buying Rate,Spot Selling Rate
2019/01/31,22.92,23.83,23.31,23.53
2019/01/30,22.72,23.63,23.11,23.33
2019/01/29,22.73,23.64,23.12,23.34
2019/01/28,22.79,23.7,23.18,23.4
2019/01/25,22.66,23.57,23.05,23.27
2019/01/24,22.61,23.52,23,23.22
2019/01/23,22.68,23.59,23.07,23.29
2019/01/22,22.67,23.58,23.06,23.28
2019/01/21,22.75,23.66,23.14,23.36
2019/01/19,22.77,23.68,23.16,23.38
2019/01/18,22.75,23.66,23.14,23.36
2019/01/17,22.72,23.63,23.11,23.33
2019/01/16,22.77,23.68,23.16,23.38
2019/01/15,22.75,23.66,23.14,23.36
2019/01/14,22.72,23.63,23.11,23.33
2019/01/11,22.84,23.75,23.23,23.45
2019/01/10,22.75,23.66,23.14,23.36
2019/01/09,22.78,23.69,23.17,23.39
2019/01/08,22.71,23.62,23.1,23.32
2019/01/07,22.57,23.48,22.96,23.18
2019/01/04,22.45,23.36,22.84,23.06
2019/01/03,22.18,23.09,22.57,22.79
2019/01/02,22.18,23.09,22.57,22.79
2019/02/27,22.87,23.78,23.26,23.48
2019/02/26,22.81,23.72,23.2,23.42
2019/02/25,22.96,23.87,23.35,23.57
2019/02/23,22.98,23.89,23.37,23.59
2019/02/22,22.82,23.73,23.21,23.43
2019/02/21,22.87,23.78,23.26,23.48
2019/02/20,22.89,23.8,23.28,23.5
2019/02/19,22.76,23.67,23.15,23.37
2019/02/18,22.81,23.72,23.2,23.42
2019/02/15,22.69,23.6,23.08,23.3
2019/02/14,22.79,23.7,23.18,23.4
2019/02/13,22.82,23.73,23.21,23.43
2019/02/12,22.72,23.63,23.11,23.33
2019/02/11,22.68,23.59,23.07,23.29
2019/02/01,22.89,23.8,23.28,23.5
2019/03/29,22.45,23.36,22.84,23.06
2019/03/28,22.49,23.4,22.88,23.1
2019/03/27,22.55,23.46,22.94,23.16
2019/03/26,22.52,23.43,22.91,23.13
2019/03/25,22.47,23.38,22.86,23.08
2019/03/22,22.56,23.47,22.95,23.17
