Date,Cash Buying Rate,Cash Selling Rate,Spot Buying Rate,Spot Selling Rate
2019/01/31,30.12,31.32,30.78,31.07
2019/01/30,30.06,31.26,30.72,31.01
2019/01/29,30.24,31.44,30.9,31.19
2019/01/28,30.19,31.39,30.85,31.14
2019/01/25,30.13,31.33,30.79,31.08
2019/01/24,30.22,31.42,30.88,31.17
2019/01/23,30.14,31.34,30.8,31.09
2019/01/22,30.16,31.36,30.82,31.11
2019/01/21,30.18,31.38,30.84,31.13
2019/01/19,30.15,31.35,30.81,31.1
2019/01/18,30.2,31.4,30.86,31.15
2019/01/17,30.3,31.5,30.96,31.25
2019/01/16,30.35,31.55,31.01,31.3
2019/01/15,30.58,31.78,31.24,31.53
2019/01/14,30.56,31.76,31.22,31.51
2019/01/11,30.54,31.74,31.2,31.49
2019/01/10,30.74,31.94,31.4,31.69
2019/01/09,30.57,31.77,31.23,31.52
2019/01/08,30.63,31.83,31.29,31.58
2019/01/07,30.5,31.7,31.16,31.45
2019/01/04,30.47,31.67,31.13,31.42
2019/01/03,30.47,31.67,31.13,31.42
2019/01/02,30.56,31.76,31.22,31.51
2019/02/27,29.98,31.18,30.64,30.93
2019/02/26,29.94,31.14,30.6,30.89
2019/02/25,30,31.2,30.66,30.95
2019/02/23,29.99,31.19,30.65,30.94
2019/02/22,29.99,31.19,30.65,30.94
2019/02/21,29.98,31.18,30.64,30.93
2019/02/20,29.97,31.17,30.63,30.92
2019/02/19,29.87,31.07,30.53,30.82
2019/02/18,29.91,31.11,30.57,30.86
2019/02/15,29.86,31.06,30.52,30.81
2019/02/14,29.78,30.98,30.44,30.73
2019/02/13,29.81,31.01,30.47,30.76
2019/02/12,29.88,31.08,30.54,30.83
2019/02/11,29.97,31.17,30.63,30.92
2019/02/01,30.08,31.28,30.74,31.03
2019/03/29,30.13,31.33,30.79,31.08
2019/03/28,30.17,31.37,30.83,31.12
2019/03/27,30.15,31.35,30.81,31.1
2019/03/26,30.22,31.42,30.88,31.17
2019/03/25,30.18,31.38,30.84,31.13
2019/03/22,30.23,31.43,30.89,31.18
2019/03/21,30.22,31.42,30.88,31.17
2019/03/20,30.01,31.21,30.67,30.96
2019/03/19,30,31.2,30.66,30.95
2019/03/18,29.98,31.18,30.64,30.93
2019/03/15,29.99,31.19,30.65,30.94
2019/03/14,29.97,31.17,30.63,30.92
2019/03/13,29.83,31.03,30.49,30.78
2019/03/12,29.78,30.98,30.44,30.73
2019/03/11,29.83,31.03,30.49,30.78
2019/03/08,29.78,30.98,30.44,30.73
2019/03/07,29.89,31.09,30.55,30.84
2019/03/06,29.88,31.08,30.54,30.83
2019/03/05,30.02,31.22,30.68,30.97
2019/03/04,30,31.2,30.66,30.95
2019/04/30,29.52,30.72,30.18,30.47
2019/04/29,29.48,30.68,30.14,30.43
