Date,Cash Buying Rate,Cash Selling Rate,Spot Buying Rate,Spot Selling Rate
2019/01/31,4.479,4.641,4.551,4.601
2019/01/30,4.472,4.634,4.544,4.594
2019/01/29,4.465,4.627,4.537,4.587
2019/01/28,4.464,4.626,4.536,4.586
2019/01/25,4.451,4.613,4.523,4.573
2019/01/24,4.44,4.602,4.512,4.562
2019/01/23,4.447,4.609,4.519,4.569
2019/01/22,4.435,4.597,4.507,4.557
2019/01/21,4.44,4.602,4.512,4.562
2019/01/19,4.435,4.597,4.507,4.557
2019/01/18,4.451,4.613,4.523,4.573
2019/01/17,4.455,4.617,4.527,4.577
2019/01/16,4.459,4.621,4.531,4.581
2019/01/15,4.463,4.625,4.535,4.585
2019/01/14,4.459,4.621,4.531,4.581
2019/01/11,4.468,4.63,4.54,4.59
2019/01/10,4.432,4.594,4.504,4.554
2019/01/09,4.408,4.57,4.48,4.53
2019/01/08,4.394,4.556,4.466,4.516
2019/01/07,4.4,4.562,4.472,4.522
2019/01/04,4.39,4.552,4.462,4.512
2019/01/03,4.386,4.548,4.458,4.508
2019/01/02,4.386,4.548,4.458,4.508
2019/02/27,4.506,4.668,4.578,4.628
2019/02/26,4.498,4.66,4.57,4.62
2019/02/25,4.502,4.664,4.574,4.624
2019/02/23,4.501,4.663,4.573,4.623
2019/02/22,4.488,4.65,4.56,4.61
2019/02/21,4.495,4.657,4.567,4.617
2019/02/20,4.485,4.647,4.557,4.607
2019/02/19,4.451,4.613,4.523,4.573
2019/02/18,4.455,4.617,4.527,4.577
2019/02/15,4.446,4.608,4.518,4.568
2019/02/14,4.454,4.616,4.526,4.576
2019/02/13,4.457,4.619,4.529,4.579
2019/02/12,4.445,4.607,4.517,4.567
2019/02/11,4.44,4.602,4.512,4.562
2019/02/01,4.46,4.622,4.532,4.582
2019/03/29,4.483,4.645,4.555,4.605
2019/03/28,4.481,4.643,4.553,4.603
2019/03/27,4.486,4.648,4.558,4.608
2019/03/26,4.491,4.653,4.563,4.613
2019/03/25,4.489,4.651,4.561,4.611
2019/03/22,4.496,4.658,4.568,4.618
2019/03/21,4.51,4.672,4.582,4.632
2019/03/20,4.501,4.663,4.573,4.623
2019/03/19,4.491,4.653,4.563,4.613
2019/03/18,4.493,4.655,4.565,4.615
2019/03/15,4.499,4.661,4.571,4.621
2019/03/14,4.498,4.66,4.57,4.62
2019/03/13,4.501,4.663,4.573,4.623
2019/03/12,4.501,4.663,4.573,4.623
2019/03/11,4.492,4.654,4.564,4.614
2019/03/08,4.49,4.652,4.562,4.612
2019/03/07,4.497,4.659,4.569,4.619
2019/03/06,4.494,4.656,4.566,4.616
2019/03/05,4.501,4.663,4.573,4.623
2019/03/04,4.506,4.668,4.578,4.628
2019/04/30,4.482,4.644,4.554,4.604
2019/04/29,4.487,4.649,4.559,4.609
2019/04/26,4.484,4.646,4.556,4.606
2019/04/25,4.483,4.645,4.555,4.605
2019/04/24,4.493,4.655,4.565,4.615
2019/04/23,4.492,4.654,4.564,4.614
2019/04/22,4.497,4.659,4.569,4.619
2019/04/19,4.5,4.662,4.572,4.622
2019/04/18,4.506,4.668,4.578,4.628
2019/04/17,4.515,4.677,4.587,4.637
2019/04/16,4.505,4.667,4.577,4.627
2019/04/15,4.504,4.666,4.576,4.626
2019/04/12,4.493,4.655,4.565,4.615
2019/04/11,4.492,4.654,4.564,4.614
2019/04/10,4.489,4.651,4.561,4.611
2019/04/09,4.492,4.654,4.564,4.614
2019/04/08,4.489,4.651,4.561,4.611
2019/04/03,4.494,4.656,4.566,4.616
2019/04/02,4.487,4.649,4.559,4.609
2019/04/01,4.487,4.649,4.559,4.609
2019/05/31,4.463,4.625,4.535,4.585
2019/05/30,4.465,4.627,4.537,4.587
2019/05/29,4.456,4.618,4.528,4.578
2019/05/28,4.445,4.607,4.517,4.567
2019/05/27,4.453,4.615,4.525,4.575
2019/05/24,4.457,4.619,4.529,4.579
2019/05/23,4.448,4.61,4.52,4.57
2019/05/22,4.448,4.61,4.52,4.57
2019/05/21,4.437,4.599,4.509,4.559
2019/05/20,4.425,4.587,4.497,4.547
2019/05/17,4.411,4.573,4.483,4.533
2019/05/16,4.409,4.571,4.481,4.531
2019/05/15,4.409,4.571,4.481,4.531
2019/05/14,4.406,4.568,4.478,4.528
2019/05/13,4.403,4.565,4.475,4.525
2019/05/10,4.433,4.595,4.505,4.555
2019/05/09,4.425,4.587,4.497,4.547
2019/05/08,4.457,4.619,4.529,4.579
2019/05/07,4.461,4.623,4.533,4.583
2019/05/06,4.461,4.623,4.533,4.583
2019/05/03,4.484,4.646,4.556,4.606
2019/05/02,4.487,4.649,4.559,4.609
2019/06/28,4.424,4.586,4.496,4.546
2019/06/27,4.423,4.585,4.495,4.545
2019/06/26,4.423,4.585,4.495,4.545
2019/06/25,4.419,4.581,4.491,4.541
2019/06/24,4.421,4.583,4.493,4.543
2019/06/21,4.424,4.586,4.496,4.546
2019/06/20,4.449,4.611,4.521,4.571
2019/06/19,4.441,4.603,4.513,4.563
2019/06/18,4.445,4.607,4.517,4.567
2019/06/17,4.447,4.609,4.519,4.569
2019/06/14,4.447,4.609,4.519,4.569
2019/06/13,4.446,4.608,4.518,4.568
2019/06/12,4.439,4.601,4.511,4.561
2019/06/11,4.437,4.599,4.509,4.559
2019/06/10,4.423,4.585,4.495,4.545
2019/06/06,4.43,4.592,4.502,4.552
2019/06/05,4.434,4.596,4.506,4.556
2019/06/04,4.441,4.603,4.513,4.563
2019/06/03,4.449,4.611,4.521,4.571
2019/07/31,4.414,4.576,4.486,4.536
2019/07/30,4.413,4.575,4.485,4.535
2019/07/29,4.411,4.573,4.483,4.533
2019/07/26,4.421,4.583,4.493,4.543
2019/07/25,4.422,4.584,4.494,4.544
2019/07/24,4.418,4.58,4.49,4.54
2019/07/23,4.419,4.581,4.491,4.541
2019/07/22,4.42,4.582,4.492,4.542
2019/07/19,4.417,4.579,4.489,4.539
2019/07/18,4.418,4.58,4.49,4.54
2019/07/17,4.418,4.58,4.49,4.54
2019/07/16,4.414,4.576,4.486,4.536
2019/07/15,4.418,4.58,4.49,4.54
2019/07/12,4.419,4.581,4.491,4.541
2019/07/11,4.417,4.579,4.489,4.539
2019/07/10,4.421,4.583,4.493,4.543
2019/07/09,4.427,4.589,4.499,4.549
2019/07/08,4.427,4.589,4.499,4.549
2019/07/05,4.42,4.582,4.492,4.542
2019/07/04,4.422,4.584,4.494,4.544
2019/07/03,4.416,4.578,4.488,4.538
2019/07/02,4.415,4.577,4.487,4.537
2019/07/01,4.429,4.591,4.501,4.551
2019/08/30,4.298,4.46,4.37,4.42
2019/08/29,4.292,4.454,4.364,4.414
2019/08/28,4.283,4.445,4.355,4.405
2019/08/27,4.28,4.442,4.352,4.402
2019/08/26,4.289,4.451,4.361,4.411
2019/08/23,4.326,4.488,4.398,4.448
2019/08/22,4.331,4.493,4.403,4.453
2019/08/21,4.342,4.504,4.414,4.464
2019/08/20,4.341,4.503,4.413,4.463
2019/08/19,4.344,4.506,4.416,4.466
2019/08/16,4.347,4.509,4.419,4.469
2019/08/15,4.357,4.519,4.429,4.479
2019/08/14,4.367,4.529,4.439,4.489
2019/08/13,4.338,4.5,4.41,4.46
2019/08/12,4.325,4.487,4.397,4.447
2019/08/09,4.332,4.494,4.404,4.454
2019/08/08,4.339,4.501,4.411,4.461
2019/08/07,4.352,4.514,4.424,4.474
2019/08/06,4.357,4.519,4.429,4.479
2019/08/05,4.372,4.534,4.444,4.494
2019/08/02,4.408,4.57,4.48,4.53
2019/08/01,4.413,4.575,4.485,4.535
2019/09/30,4.253,4.415,4.325,4.375
2019/09/27,4.259,4.421,4.331,4.381
2019/09/26,4.255,4.417,4.327,4.377
2019/09/25,4.256,4.418,4.328,4.378
2019/09/24,4.266,4.428,4.338,4.388
2019/09/23,4.259,4.421,4.331,4.381
2019/09/20,4.274,4.436,4.346,4.396
2019/09/19,4.272,4.434,4.344,4.394
2019/09/18,4.273,4.435,4.345,4.395
2019/09/17,4.278,4.44,4.35,4.4
2019/09/16,4.289,4.451,4.361,4.411
2019/09/12,4.289,4.451,4.361,4.411
2019/09/11,4.291,4.453,4.363,4.413
2019/09/10,4.298,4.46,4.37,4.42
2019/09/09,4.286,4.448,4.358,4.408
2019/09/06,4.292,4.454,4.364,4.414
2019/09/05,4.28,4.442,4.352,4.402
2019/09/04,4.283,4.445,4.355,4.405
2019/09/03,4.277,4.439,4.349,4.399
2019/09/02,4.276,4.438,4.348,4.398
2019/10/31,4.229,4.391,4.301,4.351
2019/10/30,4.225,4.387,4.297,4.347
2019/10/29,4.225,4.387,4.297,4.347
2019/10/28,4.234,4.396,4.306,4.356
2019/10/25,4.227,4.389,4.299,4.349
2019/10/24,4.23,4.392,4.302,4.352
2019/10/23,4.226,4.388,4.298,4.348
2019/10/22,4.223,4.385,4.295,4.345
2019/10/21,4.228,4.39,4.3,4.35
2019/10/18,4.225,4.387,4.297,4.347
2019/10/17,4.227,4.389,4.299,4.349
2019/10/16,4.223,4.385,4.295,4.345
2019/10/15,4.233,4.395,4.305,4.355
2019/10/14,4.231,4.393,4.303,4.353
2019/10/09,4.218,4.38,4.29,4.34
2019/10/08,4.226,4.388,4.298,4.348
2019/10/07,4.234,4.396,4.306,4.356
2019/10/05,4.253,4.415,4.325,4.375
2019/10/04,4.248,4.41,4.32,4.37
2019/10/03,4.252,4.414,4.324,4.374
2019/10/02,4.244,4.406,4.316,4.366
2019/10/01,4.242,4.404,4.314,4.364
2019/11/29,4.241,4.403,4.313,4.363
2019/11/28,4.24,4.402,4.312,4.362
2019/11/27,4.245,4.407,4.317,4.367
2019/11/26,4.24,4.402,4.312,4.362
2019/11/25,4.241,4.403,4.313,4.363
2019/11/22,4.238,4.4,4.31,4.36
2019/11/21,4.237,4.399,4.309,4.359
2019/11/20,4.236,4.398,4.308,4.358
2019/11/19,4.244,4.406,4.316,4.366
2019/11/18,4.249,4.411,4.321,4.371
2019/11/15,4.255,4.417,4.327,4.377
2019/11/14,4.257,4.419,4.329,4.379
2019/11/13,4.25,4.412,4.322,4.372
2019/11/12,4.247,4.409,4.319,4.369
