Date,Cash Buying Rate,Cash Selling Rate,Spot Buying Rate,Spot Selling Rate
2019/01/31,39.16,41.28,40.16,40.58
2019/01/30,39.02,41.14,40.02,40.44
2019/01/29,39.29,41.41,40.29,40.71
2019/01/28,39.34,41.46,40.34,40.76
2019/01/25,39.18,41.3,40.18,40.6
2019/01/24,39.09,41.21,40.09,40.51
2019/01/23,38.85,40.97,39.85,40.27
2019/01/22,38.56,40.68,39.56,39.98
2019/01/21,38.5,40.62,39.5,39.92
2019/01/19,38.53,40.65,39.53,39.95
2019/01/18,38.75,40.87,39.75,40.17
2019/01/17,38.48,40.6,39.48,39.9
2019/01/16,38.44,40.56,39.44,39.86
2019/01/15,38.49,40.61,39.49,39.91
2019/01/14,38.4,40.52,39.4,39.82
2019/01/11,38.08,40.2,39.08,39.5
2019/01/10,38.07,40.19,39.07,39.49
2019/01/09,38.03,40.15,39.03,39.45
2019/01/08,38.16,40.28,39.16,39.58
2019/01/07,38.08,40.2,39.08,39.5
2019/01/04,37.86,39.98,38.86,39.28
2019/01/03,37.55,39.67,38.55,38.97
2019/01/02,38.07,40.19,39.07,39.49
2019/02/27,39.61,41.73,40.61,41.03
2019/02/26,39.29,41.41,40.29,40.71
2019/02/25,39.08,41.2,40.08,40.5
2019/02/23,39.04,41.16,40.04,40.46
2019/02/22,38.96,41.08,39.96,40.38
2019/02/21,39.01,41.13,40.01,40.43
2019/02/20,39.02,41.14,40.02,40.44
2019/02/19,38.61,40.73,39.61,40.03
2019/02/18,38.61,40.73,39.61,40.03
2019/02/15,38.33,40.45,39.33,39.75
2019/02/14,38.46,40.58,39.46,39.88
2019/02/13,38.59,40.71,39.59,40.01
2019/02/12,38.5,40.62,39.5,39.92
2019/02/11,38.58,40.7,39.58,40
2019/02/01,39.1,41.22,40.1,40.52
2019/03/29,38.9,41.02,39.9,40.32
2019/03/28,39.41,41.53,40.41,40.83
2019/03/27,39.49,41.61,40.49,40.91
2019/03/26,39.5,41.62,40.5,40.92
2019/03/25,39.46,41.58,40.46,40.88
2019/03/22,39.3,41.42,40.3,40.72
2019/03/21,39.39,41.51,40.39,40.81
2019/03/20,39.63,41.75,40.63,41.05
2019/03/19,39.71,41.83,40.71,41.13
2019/03/18,39.77,41.89,40.77,41.19
2019/03/15,39.62,41.74,40.62,41.04
2019/03/14,39.84,41.96,40.84,41.26
2019/03/13,39.42,41.54,40.42,40.84
2019/03/12,39.68,41.8,40.68,41.1
2019/03/11,39.02,41.14,40.02,40.44
2019/03/08,39.25,41.37,40.25,40.67
2019/03/07,39.42,41.54,40.42,40.84
2019/03/06,39.34,41.46,40.34,40.76
2019/03/05,39.44,41.56,40.44,40.86
2019/03/04,39.61,41.73,40.61,41.03
2019/04/30,38.82,40.94,39.82,40.24
2019/04/29,38.77,40.89,39.77,40.19
2019/04/26,38.68,40.8,39.68,40.1
2019/04/25,38.65,40.77,39.65,40.07
2019/04/24,38.7,40.82,39.7,40.12
2019/04/23,38.87,40.99,39.87,40.29
2019/04/22,38.9,41.02,39.9,40.32
2019/04/19,38.88,41,39.88,40.3
2019/04/18,38.96,41.08,39.96,40.38
2019/04/17,39.05,41.17,40.05,40.47
2019/04/16,39.19,41.31,40.19,40.61
2019/04/15,39.23,41.35,40.23,40.65
2019/04/12,39.13,41.25,40.13,40.55
2019/04/11,39.23,41.35,40.23,40.65
2019/04/10,39.1,41.22,40.1,40.52
2019/04/09,39.1,41.22,40.1,40.52
2019/04/08,39.06,41.18,40.06,40.48
2019/04/03,39.45,41.57,40.45,40.87
2019/04/02,39.04,41.16,40.04,40.46
2019/04/01,39.04,41.16,40.04,40.46
2019/05/31,38.7,40.82,39.7,40.12
2019/05/30,38.7,40.82,39.7,40.12
2019/05/29,38.71,40.83,39.71,40.13
2019/05/28,38.65,40.77,39.65,40.07
2019/05/27,38.81,40.93,39.81,40.23
2019/05/24,38.74,40.86,39.74,40.16
2019/05/23,38.57,40.69,39.57,39.99
2019/05/22,38.76,40.88,39.76,40.18
2019/05/21,38.75,40.87,39.75,40.17
2019/05/20,38.83,40.95,39.83,40.25
2019/05/17,38.8,40.92,39.8,40.22
2019/05/16,38.78,40.9,39.78,40.2
2019/05/15,38.99,41.11,39.99,40.41
2019/05/14,39.07,41.19,40.07,40.49
2019/05/13,39.22,41.34,40.22,40.64
2019/05/10,39.02,41.14,40.02,40.44
2019/05/09,39.05,41.17,40.05,40.47
2019/05/08,39.13,41.25,40.13,40.55
