Date,Cash Buying Rate,Cash Selling Rate,Spot Buying Rate,Spot Selling Rate
2019/01/31,3.751,3.967,3.887,3.947
2019/01/30,3.755,3.971,3.891,3.951
2019/01/29,3.76,3.976,3.896,3.956
2019/01/28,3.758,3.974,3.894,3.954
2019/01/25,3.761,3.977,3.897,3.957
2019/01/24,3.769,3.985,3.905,3.965
2019/01/23,3.771,3.987,3.907,3.967
2019/01/22,3.77,3.986,3.906,3.966
2019/01/21,3.765,3.981,3.901,3.961
2019/01/19,3.765,3.981,3.901,3.961
2019/01/18,3.765,3.981,3.901,3.961
2019/01/17,3.766,3.982,3.902,3.962
2019/01/16,3.763,3.979,3.899,3.959
2019/01/15,3.763,3.979,3.899,3.959
2019/01/14,3.766,3.982,3.902,3.962
2019/01/11,3.761,3.977,3.897,3.957
2019/01/10,3.76,3.976,3.896,3.956
2019/01/09,3.762,3.978,3.898,3.958
2019/01/08,3.767,3.983,3.903,3.963
2019/01/07,3.764,3.98,3.9,3.96
2019/01/04,3.774,3.99,3.91,3.97
2019/01/03,3.775,3.991,3.911,3.971
2019/01/02,3.762,3.978,3.898,3.958
2019/02/27,3.754,3.97,3.89,3.95
2019/02/26,3.755,3.971,3.891,3.951
2019/02/25,3.756,3.972,3.892,3.952
2019/02/23,3.761,3.977,3.897,3.957
2019/02/22,3.76,3.976,3.896,3.956
2019/02/21,3.762,3.978,3.898,3.958
2019/02/20,3.761,3.977,3.897,3.957
2019/02/19,3.762,3.978,3.898,3.958
2019/02/18,3.763,3.979,3.899,3.959
2019/02/15,3.765,3.981,3.901,3.961
2019/02/14,3.762,3.978,3.898,3.958
2019/02/13,3.762,3.978,3.898,3.958
2019/02/12,3.762,3.978,3.898,3.958
2019/02/11,3.758,3.974,3.894,3.954
2019/02/01,3.751,3.967,3.887,3.947
2019/03/29,3.76,3.976,3.896,3.956
2019/03/28,3.763,3.979,3.899,3.959
2019/03/27,3.764,3.98,3.9,3.96
2019/03/26,3.761,3.977,3.897,3.957
2019/03/25,3.76,3.976,3.896,3.956
2019/03/22,3.758,3.974,3.894,3.954
2019/03/21,3.759,3.975,3.895,3.955
2019/03/20,3.761,3.977,3.897,3.957
2019/03/19,3.761,3.977,3.897,3.957
2019/03/18,3.761,3.977,3.897,3.957
2019/03/15,3.767,3.983,3.903,3.963
2019/03/14,3.769,3.985,3.905,3.965
2019/03/13,3.77,3.986,3.906,3.966
2019/03/12,3.77,3.986,3.906,3.966
2019/03/11,3.77,3.986,3.906,3.966
2019/03/08,3.769,3.985,3.905,3.965
2019/03/07,3.765,3.981,3.901,3.961
2019/03/06,3.763,3.979,3.899,3.959
2019/03/05,3.762,3.978,3.898,3.958
2019/03/04,3.76,3.976,3.896,3.956
2019/04/30,3.771,3.987,3.907,3.967
2019/04/29,3.772,3.988,3.908,3.968
2019/04/26,3.772,3.988,3.908,3.968
2019/04/25,3.773,3.989,3.909,3.969
2019/04/24,3.769,3.985,3.905,3.965
2019/04/23,3.766,3.982,3.902,3.962
2019/04/22,3.766,3.982,3.902,3.962
2019/04/19,3.763,3.979,3.899,3.959
2019/04/18,3.765,3.981,3.901,3.961
2019/04/17,3.765,3.981,3.901,3.961
2019/04/16,3.771,3.987,3.907,3.967
2019/04/15,3.769,3.985,3.905,3.965
2019/04/12,3.77,3.986,3.906,3.966
2019/04/11,3.768,3.984,3.904,3.964
2019/04/10,3.767,3.983,3.903,3.963
2019/04/09,3.765,3.981,3.901,3.961
2019/04/08,3.761,3.977,3.897,3.957
2019/04/03,3.758,3.974,3.894,3.954
2019/04/02,3.762,3.978,3.898,3.958
2019/04/01,3.757,3.973,3.893,3.953
2019/05/31,3.862,4.078,3.998,4.058
2019/05/30,3.86,4.076,3.996,4.056
2019/05/29,3.856,4.072,3.992,4.052
2019/05/28,3.843,4.059,3.979,4.039
2019/05/27,3.839,4.055,3.975,4.035
2019/05/24,3.848,4.064,3.984,4.044
2019/05/23,3.851,4.067,3.987,4.047
2019/05/22,3.851,4.067,3.987,4.047
2019/05/21,3.842,4.058,3.978,4.038
2019/05/20,3.832,4.048,3.968,4.028
2019/05/17,3.819,4.035,3.955,4.015
2019/05/16,3.803,4.019,3.939,3.999
2019/05/15,3.795,4.011,3.931,3.991
2019/05/14,3.798,4.014,3.934,3.994
2019/05/13,3.791,4.007,3.927,3.987
2019/05/10,3.777,3.993,3.913,3.973
2019/05/09,3.777,3.993,3.913,3.973
2019/05/08,3.772,3.988,3.908,3.968
2019/05/07,3.771,3.987,3.907,3.967
2019/05/06,3.774,3.99,3.91,3.97
2019/05/03,3.772,3.988,3.908,3.968
2019/05/02,3.773,3.989,3.909,3.969
2019/06/28,3.811,4.027,3.947,4.007
2019/06/27,3.811,4.027,3.947,4.007
2019/06/26,3.819,4.035,3.955,4.015
2019/06/25,3.815,4.031,3.951,4.011
2019/06/24,3.814,4.03,3.95,4.01
2019/06/21,3.817,4.033,3.953,4.013
2019/06/20,3.82,4.036,3.956,4.016
2019/06/19,3.838,4.054,3.974,4.034
2019/06/18,3.857,4.073,3.993,4.053
2019/06/17,3.858,4.074,3.994,4.054
2019/06/14,3.861,4.077,3.997,4.057
2019/06/13,3.858,4.074,3.994,4.054
2019/06/12,3.849,4.065,3.985,4.045
2019/06/11,3.844,4.06,3.98,4.04
2019/06/10,3.841,4.057,3.977,4.037
2019/06/06,3.836,4.052,3.972,4.032
2019/06/05,3.835,4.051,3.971,4.031
2019/06/04,3.846,4.062,3.982,4.042
2019/06/03,3.853,4.069,3.989,4.049
2019/07/31,3.816,4.02,3.942,4.002
2019/07/30,3.814,4.018,3.94,4
2019/07/29,3.822,4.026,3.948,4.008
2019/07/26,3.82,4.024,3.946,4.006
2019/07/25,3.819,4.023,3.945,4.005
2019/07/24,3.821,4.025,3.947,4.007
2019/07/23,3.813,4.029,3.949,4.009
2019/07/22,3.814,4.03,3.95,4.01
2019/07/19,3.81,4.026,3.946,4.006
2019/07/18,3.809,4.025,3.945,4.005
2019/07/17,3.81,4.026,3.946,4.006
2019/07/16,3.803,4.019,3.939,3.999
2019/07/15,3.798,4.014,3.934,3.994
2019/07/12,3.805,4.021,3.941,4.001
2019/07/11,3.801,4.017,3.937,3.997
2019/07/10,3.818,4.034,3.954,4.014
2019/07/09,3.823,4.039,3.959,4.019
2019/07/08,3.831,4.047,3.967,4.027
2019/07/05,3.825,4.041,3.961,4.021
2019/07/04,3.826,4.042,3.962,4.022
2019/07/03,3.824,4.04,3.96,4.02
2019/07/02,3.812,4.028,3.948,4.008
2019/07/01,3.801,4.017,3.937,3.997
2019/08/30,3.845,4.049,3.971,4.031
2019/08/29,3.849,4.053,3.975,4.035
2019/08/28,3.847,4.051,3.973,4.033
2019/08/27,3.846,4.05,3.972,4.032
2019/08/26,3.848,4.052,3.974,4.034
2019/08/23,3.845,4.049,3.971,4.031
2019/08/22,3.844,4.048,3.97,4.03
2019/08/21,3.842,4.046,3.968,4.028
2019/08/20,3.846,4.05,3.972,4.032
2019/08/19,3.839,4.043,3.965,4.025
2019/08/16,3.843,4.047,3.969,4.029
2019/08/15,3.843,4.047,3.969,4.029
2019/08/14,3.846,4.05,3.972,4.032
2019/08/13,3.858,4.062,3.984,4.044
2019/08/12,3.846,4.05,3.972,4.032
2019/08/09,3.841,4.045,3.967,4.027
2019/08/08,3.843,4.047,3.969,4.029
2019/08/07,3.857,4.061,3.983,4.043
2019/08/06,3.864,4.068,3.99,4.05
2019/08/05,3.88,4.084,4.006,4.066
2019/08/02,3.854,4.058,3.98,4.04
2019/08/01,3.826,4.03,3.952,4.012
2019/09/30,3.802,4.006,3.928,3.988
2019/09/27,3.8,4.004,3.926,3.986
2019/09/26,3.801,4.005,3.927,3.987
2019/09/25,3.801,4.005,3.927,3.987
2019/09/24,3.797,4.001,3.923,3.983
2019/09/23,3.8,4.004,3.926,3.986
2019/09/20,3.796,4,3.922,3.982
2019/09/19,3.803,4.007,3.929,3.989
2019/09/18,3.8,4.004,3.926,3.986
2019/09/17,3.808,4.012,3.934,3.994
2019/09/16,3.804,4.008,3.93,3.99
2019/09/12,3.807,4.011,3.933,3.993
2019/09/11,3.824,4.028,3.95,4.01
2019/09/10,3.825,4.029,3.951,4.011
2019/09/09,3.828,4.032,3.954,4.014
2019/09/06,3.829,4.033,3.955,4.015
2019/09/05,3.832,4.036,3.958,4.018
2019/09/04,3.843,4.047,3.969,4.029
2019/09/03,3.849,4.053,3.975,4.035
2019/09/02,3.844,4.048,3.97,4.03
2019/10/31,3.727,3.931,3.853,3.913
2019/10/30,3.734,3.938,3.86,3.92
2019/10/29,3.734,3.938,3.86,3.92
2019/10/28,3.743,3.947,3.869,3.929
2019/10/25,3.744,3.948,3.87,3.93
2019/10/24,3.744,3.948,3.87,3.93
2019/10/23,3.744,3.948,3.87,3.93
2019/10/22,3.742,3.946,3.868,3.928
2019/10/21,3.743,3.947,3.869,3.929
2019/10/18,3.745,3.949,3.871,3.931
2019/10/17,3.752,3.956,3.878,3.938
2019/10/16,3.758,3.962,3.884,3.944
2019/10/15,3.753,3.957,3.879,3.939
2019/10/14,3.744,3.948,3.87,3.93
2019/10/09,3.775,3.979,3.901,3.961
2019/10/08,3.773,3.977,3.899,3.959
2019/10/07,3.781,3.985,3.907,3.967
2019/10/05,3.79,3.994,3.916,3.976
2019/10/04,3.79,3.994,3.916,3.976
2019/10/03,3.803,4.007,3.929,3.989
2019/10/02,3.805,4.009,3.931,3.991
2019/10/01,3.802,4.006,3.928,3.988
2019/11/29,3.74,3.944,3.866,3.926
2019/11/28,3.738,3.942,3.864,3.924
2019/11/27,3.739,3.943,3.865,3.925
2019/11/26,3.741,3.945,3.867,3.927
2019/11/25,3.74,3.944,3.866,3.926
2019/11/22,3.743,3.947,3.869,3.929
2019/11/21,3.744,3.948,3.87,3.93
2019/11/20,3.738,3.942,3.864,3.924
2019/11/19,3.74,3.944,3.866,3.926
2019/11/18,3.738,3.942,3.864,3.924
2019/11/15,3.741,3.945,3.867,3.927
2019/11/14,3.748,3.952,3.874,3.934
2019/11/13,3.739,3.943,3.865,3.925
2019/11/12,3.729,3.933,3.855,3.915
2019/11/11,3.726,3.93,3.852,3.912
