Date,Cash Buying Rate,Cash Selling Rate,Spot Buying Rate,Spot Selling Rate
2019/01/31,0.2735,0.2863,0.2808,0.2848
2019/01/30,0.2721,0.2849,0.2794,0.2834
2019/01/29,0.2728,0.2856,0.2801,0.2841
2019/01/28,0.2721,0.2849,0.2794,0.2834
2019/01/25,0.2715,0.2843,0.2788,0.2828
2019/01/24,0.2723,0.2851,0.2796,0.2836
2019/01/23,0.2725,0.2853,0.2798,0.2838
2019/01/22,0.273,0.2858,0.2803,0.2843
2019/01/21,0.2722,0.285,0.2795,0.2835
2019/01/19,0.2716,0.2844,0.2789,0.2829
2019/01/18,0.2728,0.2856,0.2801,0.2841
2019/01/17,0.2743,0.2871,0.2816,0.2856
2019/01/16,0.2746,0.2874,0.2819,0.2859
2019/01/15,0.2744,0.2872,0.2817,0.2857
2019/01/14,0.276,0.2888,0.2833,0.2873
2019/01/11,0.2751,0.2879,0.2824,0.2864
2019/01/10,0.2759,0.2887,0.2832,0.2872
2019/01/09,0.2735,0.2863,0.2808,0.2848
2019/01/08,0.2738,0.2866,0.2811,0.2851
2019/01/07,0.2756,0.2884,0.2829,0.2869
2019/01/04,0.2768,0.2896,0.2841,0.2881
2019/01/03,0.2778,0.2906,0.2851,0.2891
2019/01/02,0.2724,0.2852,0.2797,0.2837
2019/02/27,0.2695,0.2823,0.2768,0.2808
2019/02/26,0.2685,0.2813,0.2758,0.2798
2019/02/25,0.2691,0.2819,0.2764,0.2804
2019/02/23,0.2692,0.282,0.2765,0.2805
2019/02/22,0.269,0.2818,0.2763,0.2803
2019/02/21,0.2691,0.2819,0.2764,0.2804
2019/02/20,0.2687,0.2815,0.276,0.28
2019/02/19,0.2694,0.2822,0.2767,0.2807
2019/02/18,0.2697,0.2825,0.277,0.281
2019/02/15,0.2704,0.2832,0.2777,0.2817
2019/02/14,0.2683,0.2811,0.2756,0.2796
2019/02/13,0.2693,0.2821,0.2766,0.2806
2019/02/12,0.2694,0.2822,0.2767,0.2807
2019/02/11,0.2708,0.2836,0.2781,0.2821
2019/02/01,0.2729,0.2857,0.2802,0.2842
2019/03/29,0.269,0.2818,0.2763,0.2803
2019/03/28,0.2709,0.2837,0.2782,0.2822
2019/03/27,0.2695,0.2823,0.2768,0.2808
2019/03/26,0.2706,0.2834,0.2779,0.2819
2019/03/25,0.2707,0.2835,0.278,0.282
2019/03/22,0.2688,0.2816,0.2761,0.2801
2019/03/21,0.2699,0.2827,0.2772,0.2812
2019/03/20,0.2671,0.2799,0.2744,0.2784
2019/03/19,0.2678,0.2806,0.2751,0.2791
2019/03/18,0.2673,0.2801,0.2746,0.2786
2019/03/15,0.2673,0.2801,0.2746,0.2786
2019/03/14,0.2676,0.2804,0.2749,0.2789
2019/03/13,0.2682,0.281,0.2755,0.2795
2019/03/12,0.2682,0.281,0.2755,0.2795
2019/03/11,0.2684,0.2812,0.2757,0.2797
2019/03/08,0.269,0.2818,0.2763,0.2803
2019/03/07,0.2668,0.2796,0.2741,0.2781
2019/03/06,0.2666,0.2794,0.2739,0.2779
2019/03/05,0.2664,0.2792,0.2737,0.2777
2019/03/04,0.2662,0.279,0.2735,0.2775
2019/04/30,0.2682,0.281,0.2755,0.2795
2019/04/29,0.2672,0.28,0.2745,0.2785
2019/04/26,0.2674,0.2802,0.2747,0.2787
2019/04/25,0.267,0.2798,0.2743,0.2783
2019/04/24,0.2668,0.2796,0.2741,0.2781
2019/04/23,0.2666,0.2794,0.2739,0.2779
2019/04/22,0.2665,0.2793,0.2738,0.2778
2019/04/19,0.2662,0.279,0.2735,0.2775
2019/04/18,0.2666,0.2794,0.2739,0.2779
2019/04/17,0.2661,0.2789,0.2734,0.2774
2019/04/16,0.2666,0.2794,0.2739,0.2779
2019/04/15,0.2665,0.2793,0.2738,0.2778
2019/04/12,0.2668,0.2796,0.2741,0.2781
2019/04/11,0.2685,0.2813,0.2758,0.2798
2019/04/10,0.2681,0.2809,0.2754,0.2794
2019/04/09,0.2679,0.2807,0.2752,0.2792
2019/04/08,0.2674,0.2802,0.2747,0.2787
2019/04/03,0.267,0.2798,0.2743,0.2783
2019/04/02,0.2676,0.2804,0.2749,0.2789
2019/04/01,0.2681,0.2809,0.2754,0.2794
2019/05/31,0.2812,0.294,0.2885,0.2925
2019/05/30,0.2787,0.2915,0.286,0.29
2019/05/29,0.2798,0.2926,0.2871,0.2911
2019/05/28,0.2784,0.2912,0.2857,0.2897
2019/05/27,0.2778,0.2906,0.2851,0.2891
2019/05/24,0.2782,0.291,0.2855,0.2895
2019/05/23,0.2767,0.2895,0.284,0.288
2019/05/22,0.2765,0.2893,0.2838,0.2878
2019/05/21,0.2764,0.2892,0.2837,0.2877
2019/05/20,0.2758,0.2886,0.2831,0.2871
2019/05/17,0.2759,0.2887,0.2832,0.2872
2019/05/16,0.2755,0.2883,0.2828,0.2868
2019/05/15,0.2748,0.2876,0.2821,0.2861
2019/05/14,0.2745,0.2873,0.2818,0.2858
2019/05/13,0.2741,0.2869,0.2814,0.2854
2019/05/10,0.2727,0.2855,0.28,0.284
2019/05/09,0.2731,0.2859,0.2804,0.2844
2019/05/08,0.2715,0.2843,0.2788,0.2828
2019/05/07,0.2701,0.2829,0.2774,0.2814
2019/05/06,0.2699,0.2827,0.2772,0.2812
2019/05/03,0.2679,0.2807,0.2752,0.2792
2019/05/02,0.2679,0.2807,0.2752,0.2792
2019/06/28,0.2793,0.2921,0.2866,0.2906
2019/06/27,0.2784,0.2912,0.2857,0.2897
2019/06/26,0.2805,0.2933,0.2878,0.2918
2019/06/25,0.2811,0.2939,0.2884,0.2924
2019/06/24,0.2802,0.293,0.2875,0.2915
2019/06/21,0.2802,0.293,0.2875,0.2915
2019/06/20,0.28,0.2928,0.2873,0.2913
2019/06/19,0.28,0.2928,0.2873,0.2913
2019/06/18,0.282,0.2948,0.2893,0.2933
2019/06/17,0.281,0.2938,0.2883,0.2923
2019/06/14,0.282,0.2948,0.2893,0.2933
2019/06/13,0.2815,0.2943,0.2888,0.2928
2019/06/12,0.2808,0.2936,0.2881,0.2921
2019/06/11,0.2801,0.2929,0.2874,0.2914
2019/06/10,0.28,0.2928,0.2873,0.2913
2019/06/06,0.2805,0.2933,0.2878,0.2918
2019/06/05,0.2806,0.2934,0.2879,0.2919
2019/06/04,0.282,0.2948,0.2893,0.2933
2019/06/03,0.2817,0.2945,0.289,0.293
2019/07/31,0.2771,0.2899,0.2844,0.2884
2019/07/30,0.2766,0.2894,0.2839,0.2879
2019/07/29,0.2769,0.2897,0.2842,0.2882
2019/07/26,0.2768,0.2896,0.2841,0.2881
2019/07/25,0.2783,0.2911,0.2856,0.2896
2019/07/24,0.2784,0.2912,0.2857,0.2897
2019/07/23,0.2782,0.291,0.2855,0.2895
2019/07/22,0.2788,0.2916,0.2861,0.2901
2019/07/19,0.2791,0.2919,0.2864,0.2904
2019/07/18,0.279,0.2918,0.2863,0.2903
2019/07/17,0.2777,0.2905,0.285,0.289
2019/07/16,0.2779,0.2907,0.2852,0.2892
2019/07/15,0.2783,0.2911,0.2856,0.2896
2019/07/12,0.2775,0.2903,0.2848,0.2888
2019/07/11,0.2779,0.2907,0.2852,0.2892
2019/07/10,0.2765,0.2893,0.2838,0.2878
2019/07/09,0.2772,0.29,0.2845,0.2885
2019/07/08,0.2785,0.2913,0.2858,0.2898
2019/07/05,0.2785,0.2913,0.2858,0.2898
2019/07/04,0.279,0.2918,0.2863,0.2903
2019/07/03,0.2796,0.2924,0.2869,0.2909
2019/07/02,0.2775,0.2903,0.2848,0.2888
2019/07/01,0.2767,0.2895,0.284,0.288
2019/08/30,0.2854,0.2982,0.2927,0.2967
2019/08/29,0.2869,0.2997,0.2942,0.2982
2019/08/28,0.2879,0.3007,0.2952,0.2992
2019/08/27,0.2877,0.3005,0.295,0.299
2019/08/26,0.2878,0.3006,0.2951,0.2991
2019/08/23,0.285,0.2978,0.2923,0.2963
2019/08/22,0.2855,0.2983,0.2928,0.2968
2019/08/21,0.2851,0.2979,0.2924,0.2964
2019/08/20,0.2856,0.2984,0.2929,0.2969
2019/08/19,0.2853,0.2981,0.2926,0.2966
2019/08/16,0.2861,0.2989,0.2934,0.2974
2019/08/15,0.286,0.2988,0.2933,0.2973
2019/08/14,0.2858,0.2986,0.2931,0.2971
2019/08/13,0.2901,0.3029,0.2974,0.3014
2019/08/12,0.2884,0.3012,0.2957,0.2997
2019/08/09,0.2866,0.2994,0.2939,0.2979
2019/08/08,0.2861,0.2989,0.2934,0.2974
2019/08/07,0.2868,0.2996,0.2941,0.2981
2019/08/06,0.2869,0.2997,0.2942,0.2982
2019/08/05,0.2891,0.3019,0.2964,0.3004
2019/08/02,0.2842,0.297,0.2915,0.2955
2019/08/01,0.2764,0.2892,0.2837,0.2877
2019/09/30,0.2785,0.2913,0.2858,0.2898
2019/09/27,0.2784,0.2912,0.2857,0.2897
2019/09/26,0.2787,0.2915,0.286,0.29
