Date,Cash Buying Rate,Cash Selling Rate,Spot Buying Rate,Spot Selling Rate
2019/01/31,0.02587,0.02977,-,-
2019/01/30,0.0258,0.0297,-,-
2019/01/29,0.02583,0.02973,-,-
2019/01/28,0.02579,0.02969,-,-
2019/01/25,0.02574,0.02964,-,-
2019/01/24,0.0256,0.0295,-,-
2019/01/23,0.02565,0.02955,-,-
2019/01/22,0.02556,0.02946,-,-
2019/01/21,0.02561,0.02951,-,-
2019/01/19,0.02565,0.02955,-,-
2019/01/18,0.02575,0.02965,-,-
2019/01/17,0.02575,0.02965,-,-
2019/01/16,0.02579,0.02969,-,-
2019/01/15,0.02577,0.02967,-,-
2019/01/14,0.02573,0.02963,-,-
2019/01/11,0.02586,0.02976,-,-
2019/01/10,0.02576,0.02966,-,-
2019/01/09,0.02574,0.02964,-,-
2019/01/08,0.02564,0.02954,-,-
2019/01/07,0.02583,0.02973,-,-
2019/01/04,0.02569,0.02959,-,-
2019/01/03,0.02566,0.02956,-,-
2019/01/02,0.02575,0.02965,-,-
2019/02/27,0.02577,0.02967,-,-
2019/02/26,0.02581,0.02971,-,-
2019/02/25,0.02575,0.02965,-,-
2019/02/23,0.02571,0.02961,-,-
2019/02/22,0.02569,0.02959,-,-
2019/02/21,0.02566,0.02956,-,-
2019/02/20,0.02571,0.02961,-,-
2019/02/19,0.0256,0.0295,-,-
2019/02/18,0.02566,0.02956,-,-
2019/02/15,0.02557,0.02947,-,-
2019/02/14,0.02566,0.02956,-,-
2019/02/13,0.02574,0.02964,-,-
2019/02/12,0.02568,0.02958,-,-
2019/02/11,0.02565,0.02955,-,-
2019/02/01,0.02575,0.02965,-,-
2019/03/29,0.0254,0.0293,-,-
2019/03/28,0.02536,0.02926,-,-
2019/03/27,0.02542,0.02932,-,-
2019/03/26,0.02546,0.02936,-,-
2019/03/25,0.02543,0.02933,-,-
2019/03/22,0.02549,0.02939,-,-
2019/03/21,0.02557,0.02947,-,-
2019/03/20,0.02555,0.02945,-,-
2019/03/19,0.02552,0.02942,-,-
2019/03/18,0.02549,0.02939,-,-
2019/03/15,0.02544,0.02934,-,-
2019/03/14,0.02548,0.02938,-,-
2019/03/13,0.02553,0.02943,-,-
2019/03/12,0.0256,0.0295,-,-
2019/03/11,0.02553,0.02943,-,-
2019/03/08,0.02543,0.02933,-,-
2019/03/07,0.02561,0.02951,-,-
2019/03/06,0.02559,0.02949,-,-
2019/03/05,0.02563,0.02953,-,-
2019/03/04,0.02563,0.02953,-,-
2019/04/30,0.02472,0.02862,-,-
2019/04/29,0.02488,0.02878,-,-
2019/04/26,0.02489,0.02879,-,-
2019/04/25,0.02481,0.02871,-,-
2019/04/24,0.02508,0.02898,-,-
2019/04/23,0.02526,0.02916,-,-
2019/04/22,0.02529,0.02919,-,-
2019/04/19,0.02538,0.02928,-,-
2019/04/18,0.02538,0.02928,-,-
2019/04/17,0.02546,0.02936,-,-
2019/04/16,0.02545,0.02935,-,-
2019/04/15,0.02551,0.02941,-,-
2019/04/12,0.02537,0.02927,-,-
2019/04/11,0.02534,0.02924,-,-
2019/04/10,0.02533,0.02923,-,-
2019/04/09,0.0253,0.0292,-,-
2019/04/08,0.02517,0.02907,-,-
2019/04/03,0.02543,0.02933,-,-
2019/04/02,0.02537,0.02927,-,-
2019/04/01,0.02541,0.02931,-,-
2019/05/31,0.0248,0.0287,-,-
2019/05/30,0.02483,0.02873,-,-
2019/05/29,0.02467,0.02857,-,-
2019/05/28,0.02473,0.02863,-,-
2019/05/27,0.02479,0.02869,-,-
2019/05/24,0.0248,0.0287,-,-
2019/05/23,0.02473,0.02863,-,-
2019/05/22,0.02469,0.02859,-,-
2019/05/21,0.02459,0.02849,-,-
2019/05/20,0.02454,0.02844,-,-
2019/05/17,0.02446,0.02836,-,-
2019/05/16,0.02442,0.02832,-,-
2019/05/15,0.02441,0.02831,-,-
2019/05/14,0.02445,0.02835,-,-
2019/05/13,0.02443,0.02833,-,-
2019/05/10,0.02456,0.02846,-,-
2019/05/09,0.02445,0.02835,-,-
2019/05/08,0.0247,0.0286,-,-
2019/05/07,0.02473,0.02863,-,-
2019/05/06,0.02468,0.02858,-,-
2019/05/03,0.02468,0.02858,-,-
2019/05/02,0.02481,0.02871,-,-
2019/06/28,0.02516,0.02906,-,-
2019/06/27,0.02512,0.02902,-,-
2019/06/26,0.02517,0.02907,-,-
2019/06/25,0.02514,0.02904,-,-
2019/06/24,0.0251,0.029,-,-
2019/06/21,0.025,0.0289,-,-
2019/06/20,0.02514,0.02904,-,-
2019/06/19,0.02491,0.02881,-,-
2019/06/18,0.02482,0.02872,-,-
2019/06/17,0.02483,0.02873,-,-
2019/06/14,0.02484,0.02874,-,-
2019/06/13,0.02489,0.02879,-,-
2019/06/12,0.02485,0.02875,-,-
