Date,Cash Buying Rate,Cash Selling Rate,Spot Buying Rate,Spot Selling Rate
2019/01/31,6.423,8.053,-,-
2019/01/30,6.393,8.023,-,-
2019/01/29,6.399,8.029,-,-
2019/01/28,6.395,8.025,-,-
2019/01/25,6.374,8.004,-,-
2019/01/24,6.362,7.992,-,-
2019/01/23,6.373,8.003,-,-
2019/01/22,6.381,8.011,-,-
2019/01/21,6.408,8.038,-,-
2019/01/19,6.405,8.035,-,-
2019/01/18,6.408,8.038,-,-
2019/01/17,6.402,8.032,-,-
2019/01/16,6.405,8.035,-,-
2019/01/15,6.425,8.055,-,-
2019/01/14,6.426,8.056,-,-
2019/01/11,6.426,8.056,-,-
2019/01/10,6.416,8.046,-,-
2019/01/09,6.396,8.026,-,-
2019/01/08,6.396,8.026,-,-
2019/01/07,6.398,8.028,-,-
2019/01/04,6.356,7.986,-,-
2019/01/03,6.362,7.992,-,-
2019/01/02,6.349,7.979,-,-
2019/02/27,6.47,8.1,-,-
2019/02/26,6.467,8.097,-,-
2019/02/25,6.472,8.102,-,-
2019/02/23,6.464,8.094,-,-
2019/02/22,6.468,8.098,-,-
2019/02/21,6.467,8.097,-,-
2019/02/20,6.481,8.111,-,-
2019/02/19,6.452,8.082,-,-
2019/02/18,6.462,8.092,-,-
2019/02/15,6.458,8.088,-,-
2019/02/14,6.485,8.115,-,-
2019/02/13,6.482,8.112,-,-
2019/02/12,6.468,8.098,-,-
2019/02/11,6.48,8.11,-,-
2019/02/01,6.411,8.041,-,-
2019/03/29,6.459,8.089,-,-
2019/03/28,6.475,8.105,-,-
2019/03/27,6.473,8.103,-,-
2019/03/26,6.485,8.115,-,-
2019/03/25,6.479,8.109,-,-
2019/03/22,6.497,8.127,-,-
2019/03/21,6.495,8.125,-,-
2019/03/20,6.478,8.108,-,-
2019/03/19,6.479,8.109,-,-
2019/03/18,6.472,8.102,-,-
2019/03/15,6.454,8.084,-,-
2019/03/14,6.465,8.095,-,-
2019/03/13,6.459,8.089,-,-
2019/03/12,6.473,8.103,-,-
2019/03/11,6.467,8.097,-,-
2019/03/08,6.461,8.091,-,-
2019/03/07,6.458,8.088,-,-
2019/03/06,6.444,8.074,-,-
2019/03/05,6.473,8.103,-,-
2019/03/04,6.47,8.1,-,-
2019/04/30,6.375,8.005,-,-
2019/04/29,6.384,8.014,-,-
2019/04/26,6.379,8.009,-,-
2019/04/25,6.376,8.006,-,-
2019/04/24,6.378,8.008,-,-
2019/04/23,6.379,8.009,-,-
2019/04/22,6.365,7.995,-,-
2019/04/19,6.361,7.991,-,-
2019/04/18,6.343,7.973,-,-
2019/04/17,6.36,7.99,-,-
2019/04/16,6.381,8.011,-,-
2019/04/15,6.41,8.04,-,-
2019/04/12,6.4,8.03,-,-
2019/04/11,6.407,8.037,-,-
2019/04/10,6.429,8.059,-,-
2019/04/09,6.436,8.066,-,-
2019/04/08,6.426,8.056,-,-
2019/04/03,6.461,8.091,-,-
2019/04/02,6.458,8.088,-,-
2019/04/01,6.455,8.085,-,-
2019/05/31,6.447,8.077,-,-
2019/05/30,6.438,8.068,-,-
2019/05/29,6.428,8.058,-,-
2019/05/28,6.414,8.044,-,-
2019/05/27,6.419,8.049,-,-
2019/05/24,6.429,8.059,-,-
2019/05/23,6.426,8.056,-,-
2019/05/22,6.441,8.071,-,-
2019/05/21,6.423,8.053,-,-
2019/05/20,6.422,8.052,-,-
2019/05/17,6.402,8.032,-,-
2019/05/16,6.39,8.02,-,-
2019/05/15,6.359,7.989,-,-
2019/05/14,6.369,7.999,-,-
2019/05/13,6.365,7.995,-,-
2019/05/10,6.354,7.984,-,-
2019/05/09,6.359,7.989,-,-
2019/05/08,6.36,7.99,-,-
2019/05/07,6.357,7.987,-,-
2019/05/06,6.36,7.99,-,-
