Date,Cash Buying Rate,Cash Selling Rate,Spot Buying Rate,Spot Selling Rate
2019/01/31,0.5157,0.6487,-,-
2019/01/30,0.5142,0.6472,-,-
2019/01/29,0.5139,0.6469,-,-
2019/01/28,0.5125,0.6455,-,-
2019/01/25,0.5125,0.6455,-,-
2019/01/24,0.5106,0.6436,-,-
2019/01/23,0.5122,0.6452,-,-
2019/01/22,0.51,0.643,-,-
2019/01/21,0.5107,0.6437,-,-
2019/01/19,0.5122,0.6452,-,-
2019/01/18,0.5137,0.6467,-,-
2019/01/17,0.515,0.648,-,-
2019/01/16,0.5177,0.6507,-,-
2019/01/15,0.5184,0.6514,-,-
2019/01/14,0.5166,0.6496,-,-
2019/01/11,0.5171,0.6501,-,-
2019/01/10,0.5159,0.6489,-,-
2019/01/09,0.5147,0.6477,-,-
2019/01/08,0.514,0.647,-,-
2019/01/07,0.5145,0.6475,-,-
2019/01/04,0.5141,0.6471,-,-
2019/01/03,0.5129,0.6459,-,-
2019/01/02,0.5127,0.6457,-,-
2019/02/27,0.5192,0.6522,-,-
2019/02/26,0.5181,0.6511,-,-
2019/02/25,0.5184,0.6514,-,-
2019/02/23,0.5186,0.6516,-,-
2019/02/22,0.5185,0.6515,-,-
2019/02/21,0.518,0.651,-,-
2019/02/20,0.5186,0.6516,-,-
2019/02/19,0.517,0.65,-,-
2019/02/18,0.5157,0.6487,-,-
2019/02/15,0.5148,0.6478,-,-
2019/02/14,0.5151,0.6481,-,-
2019/02/13,0.5181,0.6511,-,-
2019/02/12,0.5184,0.6514,-,-
2019/02/11,0.5175,0.6505,-,-
2019/02/01,0.515,0.648,-,-
2019/03/29,0.5126,0.6456,-,-
2019/03/28,0.5112,0.6442,-,-
2019/03/27,0.5129,0.6459,-,-
2019/03/26,0.5139,0.6469,-,-
2019/03/25,0.5134,0.6464,-,-
2019/03/22,0.5148,0.6478,-,-
2019/03/21,0.5096,0.6426,-,-
2019/03/20,0.5099,0.6429,-,-
2019/03/19,0.5096,0.6426,-,-
2019/03/18,0.5121,0.6451,-,-
2019/03/15,0.5127,0.6457,-,-
2019/03/14,0.5125,0.6455,-,-
2019/03/13,0.5116,0.6446,-,-
2019/03/12,0.5128,0.6458,-,-
2019/03/11,0.5185,0.6515,-,-
2019/03/08,0.5175,0.6505,-,-
2019/03/07,0.5183,0.6513,-,-
2019/03/06,0.5175,0.6505,-,-
2019/03/05,0.5169,0.6499,-,-
2019/03/04,0.5224,0.6554,-,-
2019/04/30,0.5194,0.6524,-,-
2019/04/29,0.5193,0.6523,-,-
2019/04/26,0.5185,0.6515,-,-
2019/04/25,0.519,0.652,-,-
2019/04/24,0.5172,0.6502,-,-
2019/04/23,0.5188,0.6518,-,-
2019/04/22,0.5192,0.6522,-,-
2019/04/19,0.5227,0.6557,-,-
2019/04/18,0.5226,0.6556,-,-
2019/04/17,0.5223,0.6553,-,-
2019/04/16,0.5229,0.6559,-,-
2019/04/15,0.5239,0.6569,-,-
2019/04/12,0.5228,0.6558,-,-
2019/04/11,0.5219,0.6549,-,-
2019/04/10,0.5205,0.6535,-,-
2019/04/09,0.5187,0.6517,-,-
2019/04/08,0.5178,0.6508,-,-
2019/04/03,0.5181,0.6511,-,-
2019/04/02,0.5144,0.6474,-,-
2019/04/01,0.5129,0.6459,-,-
2019/05/31,0.5324,0.6654,-,-
2019/05/30,0.5323,0.6653,-,-
2019/05/29,0.5291,0.6621,-,-
2019/05/28,0.5283,0.6613,-,-
2019/05/27,0.5286,0.6616,-,-
2019/05/24,0.5299,0.6629,-,-
2019/05/23,0.5273,0.6603,-,-
2019/05/22,0.5271,0.6601,-,-
2019/05/21,0.5251,0.6581,-,-
2019/05/20,0.5219,0.6549,-,-
2019/05/17,0.5204,0.6534,-,-
2019/05/16,0.5206,0.6536,-,-
2019/05/15,0.5205,0.6535,-,-
2019/05/14,0.5198,0.6528,-,-
2019/05/13,0.5196,0.6526,-,-
2019/05/10,0.5203,0.6533,-,-
2019/05/09,0.5185,0.6515,-,-
2019/05/08,0.5198,0.6528,-,-
2019/05/07,0.5224,0.6554,-,-
2019/05/06,0.5218,0.6548,-,-
2019/05/03,0.5224,0.6554,-,-
2019/05/02,0.5223,0.6553,-,-
2019/06/28,0.5327,0.6657,-,-
2019/06/27,0.5326,0.6656,-,-
2019/06/26,0.531,0.664,-,-
2019/06/25,0.5313,0.6643,-,-
2019/06/24,0.5316,0.6646,-,-
2019/06/21,0.5296,0.6626,-,-
2019/06/20,0.53,0.663,-,-
2019/06/19,0.5306,0.6636,-,-
2019/06/18,0.5328,0.6658,-,-
2019/06/17,0.5308,0.6638,-,-
2019/06/14,0.5324,0.6654,-,-
2019/06/13,0.5338,0.6668,-,-
2019/06/12,0.5311,0.6641,-,-
2019/06/11,0.5325,0.6655,-,-
2019/06/10,0.5296,0.6626,-,-
2019/06/06,0.5328,0.6658,-,-
2019/06/05,0.5326,0.6656,-,-
2019/06/04,0.5341,0.6671,-,-
2019/06/03,0.5331,0.6661,-,-
2019/07/31,0.5375,0.6705,-,-
2019/07/30,0.5368,0.6698,-,-
2019/07/29,0.535,0.668,-,-
2019/07/26,0.5352,0.6682,-,-
2019/07/25,0.5345,0.6675,-,-
2019/07/24,0.5339,0.6669,-,-
2019/07/23,0.5342,0.6672,-,-
2019/07/22,0.535,0.668,-,-
2019/07/19,0.5345,0.6675,-,-
2019/07/18,0.5361,0.6691,-,-
2019/07/17,0.5341,0.6671,-,-
2019/07/16,0.5362,0.6692,-,-
2019/07/15,0.5349,0.6679,-,-
2019/07/12,0.5341,0.6671,-,-
2019/07/11,0.5324,0.6654,-,-
2019/07/10,0.5315,0.6645,-,-
2019/07/09,0.5338,0.6668,-,-
2019/07/08,0.5339,0.6669,-,-
2019/07/05,0.534,0.667,-,-
2019/07/04,0.5344,0.6674,-,-
2019/07/03,0.5345,0.6675,-,-
2019/07/02,0.5339,0.6669,-,-
2019/07/01,0.5334,0.6664,-,-
2019/08/30,0.5295,0.6625,-,-
2019/08/29,0.5287,0.6617,-,-
2019/08/28,0.5269,0.6599,-,-
2019/08/27,0.5272,0.6602,-,-
2019/08/26,0.5254,0.6584,-,-
2019/08/23,0.5267,0.6597,-,-
2019/08/22,0.5269,0.6599,-,-
2019/08/21,0.5265,0.6595,-,-
2019/08/20,0.5269,0.6599,-,-
2019/08/19,0.5255,0.6585,-,-
2019/08/16,0.5245,0.6575,-,-
2019/08/15,0.5229,0.6559,-,-
2019/08/14,0.5272,0.6602,-,-
2019/08/13,0.527,0.66,-,-
2019/08/12,0.5289,0.6619,-,-
