Date,Cash Buying Rate,Cash Selling Rate,Spot Buying Rate,Spot Selling Rate
2019/01/31,3.02,3.54,3.36,3.46
2019/01/30,3,3.52,3.34,3.44
2019/01/29,3.02,3.54,3.36,3.46
2019/01/28,3.02,3.54,3.36,3.46
2019/01/25,3.01,3.53,3.35,3.45
2019/01/24,3.04,3.56,3.38,3.48
2019/01/23,3.04,3.56,3.38,3.48
2019/01/22,3.03,3.55,3.37,3.47
2019/01/21,3.04,3.56,3.38,3.48
2019/01/19,3.03,3.55,3.37,3.47
2019/01/18,3.04,3.56,3.38,3.48
2019/01/17,3.03,3.55,3.37,3.47
2019/01/16,3.05,3.57,3.39,3.49
2019/01/15,3.06,3.58,3.4,3.5
2019/01/14,3.06,3.58,3.4,3.5
2019/01/11,3.08,3.6,3.42,3.52
2019/01/10,3.08,3.6,3.42,3.52
2019/01/09,3.07,3.59,3.41,3.51
2019/01/08,3.07,3.59,3.41,3.51
2019/01/07,3.06,3.58,3.4,3.5
2019/01/04,3.05,3.57,3.39,3.49
2019/01/03,3.04,3.56,3.38,3.48
2019/01/02,3.08,3.6,3.42,3.52
2019/02/27,2.93,3.45,3.27,3.37
2019/02/26,2.92,3.44,3.26,3.36
2019/02/25,2.93,3.45,3.27,3.37
2019/02/23,2.91,3.43,3.25,3.35
2019/02/22,2.91,3.43,3.25,3.35
2019/02/21,2.91,3.43,3.25,3.35
2019/02/20,2.93,3.45,3.27,3.37
2019/02/19,2.94,3.46,3.28,3.38
2019/02/18,2.94,3.46,3.28,3.38
2019/02/15,2.93,3.45,3.27,3.37
2019/02/14,2.95,3.47,3.29,3.39
2019/02/13,2.94,3.46,3.28,3.38
2019/02/12,2.94,3.46,3.28,3.38
2019/02/11,2.94,3.46,3.28,3.38
2019/02/01,3.01,3.53,3.35,3.45
2019/03/29,2.94,3.46,3.28,3.38
2019/03/28,2.93,3.45,3.27,3.37
2019/03/27,2.94,3.46,3.28,3.38
2019/03/26,2.95,3.47,3.29,3.39
2019/03/25,2.95,3.47,3.29,3.39
2019/03/22,2.98,3.5,3.32,3.42
2019/03/21,2.99,3.51,3.33,3.43
2019/03/20,2.97,3.49,3.31,3.41
2019/03/19,2.95,3.47,3.29,3.39
2019/03/18,2.96,3.48,3.3,3.4
2019/03/15,2.95,3.47,3.29,3.39
2019/03/14,2.94,3.46,3.28,3.38
2019/03/13,2.91,3.43,3.25,3.35
2019/03/12,2.91,3.43,3.25,3.35
2019/03/11,2.9,3.42,3.24,3.34
2019/03/08,2.87,3.39,3.21,3.31
2019/03/07,2.94,3.46,3.28,3.38
2019/03/06,2.93,3.45,3.27,3.37
2019/03/05,2.91,3.43,3.25,3.35
2019/03/04,2.94,3.46,3.28,3.38
2019/04/30,2.86,3.38,3.2,3.3
2019/04/29,2.86,3.38,3.2,3.3
2019/04/26,2.86,3.38,3.2,3.3
2019/04/25,2.85,3.37,3.19,3.29
2019/04/24,2.91,3.43,3.25,3.35
2019/04/23,2.92,3.44,3.26,3.36
2019/04/22,2.93,3.45,3.27,3.37
2019/04/19,2.93,3.45,3.27,3.37
2019/04/18,2.92,3.44,3.26,3.36
2019/04/17,2.96,3.48,3.3,3.4
2019/04/16,2.95,3.47,3.29,3.39
2019/04/15,2.95,3.47,3.29,3.39
2019/04/12,2.94,3.46,3.28,3.38
2019/04/11,2.95,3.47,3.29,3.39
2019/04/10,2.95,3.47,3.29,3.39
2019/04/09,2.95,3.47,3.29,3.39
2019/04/08,2.93,3.45,3.27,3.37
2019/04/03,2.94,3.46,3.28,3.38
2019/04/02,2.93,3.45,3.27,3.37
2019/04/01,2.95,3.47,3.29,3.39
2019/05/31,2.92,3.44,3.26,3.36
2019/05/30,2.92,3.44,3.26,3.36
2019/05/29,2.9,3.42,3.24,3.34
2019/05/28,2.91,3.43,3.25,3.35
2019/05/27,2.91,3.43,3.25,3.35
2019/05/24,2.9,3.42,3.24,3.34
2019/05/23,2.89,3.41,3.23,3.33
2019/05/22,2.88,3.4,3.22,3.32
2019/05/21,2.87,3.39,3.21,3.31
2019/05/20,2.87,3.39,3.21,3.31
2019/05/17,2.86,3.38,3.2,3.3
2019/05/16,2.86,3.38,3.2,3.3
2019/05/15,2.85,3.37,3.19,3.29
2019/05/14,2.86,3.38,3.2,3.3
2019/05/13,2.83,3.35,3.17,3.27
2019/05/10,2.83,3.35,3.17,3.27
2019/05/09,2.82,3.34,3.16,3.26
2019/05/08,2.85,3.37,3.19,3.29
2019/05/07,2.85,3.37,3.19,3.29
2019/05/06,2.84,3.36,3.18,3.28
2019/05/03,2.84,3.36,3.18,3.28
2019/05/02,2.86,3.38,3.2,3.3
2019/06/28,2.96,3.48,3.3,3.4
2019/06/27,2.97,3.49,3.31,3.41
2019/06/26,2.98,3.5,3.32,3.42
2019/06/25,2.97,3.49,3.31,3.41
2019/06/24,2.95,3.47,3.29,3.39
2019/06/21,2.93,3.45,3.27,3.37
2019/06/20,2.93,3.45,3.27,3.37
2019/06/19,2.9,3.42,3.24,3.34
2019/06/18,2.94,3.46,3.28,3.38
2019/06/17,2.94,3.46,3.28,3.38
2019/06/14,2.96,3.48,3.3,3.4
2019/06/13,2.94,3.46,3.28,3.38
2019/06/12,2.94,3.46,3.28,3.38
2019/06/11,2.95,3.47,3.29,3.39
2019/06/10,2.95,3.47,3.29,3.39
2019/06/06,2.94,3.46,3.28,3.38
2019/06/05,2.95,3.47,3.29,3.39
2019/06/04,2.95,3.47,3.29,3.39
2019/06/03,2.93,3.45,3.27,3.37
2019/07/31,2.87,3.39,3.21,3.31
2019/07/30,2.87,3.39,3.21,3.31
2019/07/29,2.89,3.41,3.23,3.33
2019/07/26,2.9,3.42,3.24,3.34
2019/07/25,2.91,3.43,3.25,3.35
2019/07/24,2.89,3.41,3.23,3.33
2019/07/23,2.91,3.43,3.25,3.35
2019/07/22,2.92,3.44,3.26,3.36
2019/07/19,2.94,3.46,3.28,3.38
2019/07/18,2.93,3.45,3.27,3.37
2019/07/17,2.92,3.44,3.26,3.36
2019/07/16,2.93,3.45,3.27,3.37
2019/07/15,2.93,3.45,3.27,3.37
2019/07/12,2.93,3.45,3.27,3.37
2019/07/11,2.92,3.44,3.26,3.36
2019/07/10,2.9,3.42,3.24,3.34
2019/07/09,2.91,3.43,3.25,3.35
