Date,Cash Buying Rate,Cash Selling Rate,Spot Buying Rate,Spot Selling Rate
2019/01/31,22.27,23.18,22.76,22.94
2019/01/30,22.18,23.09,22.67,22.85
2019/01/29,22.21,23.12,22.7,22.88
2019/01/28,22.17,23.08,22.66,22.84
2019/01/25,22.12,23.03,22.61,22.79
2019/01/24,22.13,23.04,22.62,22.8
2019/01/23,22.14,23.05,22.63,22.81
2019/01/22,22.12,23.03,22.61,22.79
2019/01/21,22.13,23.04,22.62,22.8
2019/01/19,22.12,23.03,22.61,22.79
2019/01/18,22.16,23.07,22.65,22.83
2019/01/17,22.16,23.07,22.65,22.83
2019/01/16,22.18,23.09,22.67,22.85
2019/01/15,22.22,23.13,22.71,22.89
2019/01/14,22.2,23.11,22.69,22.87
2019/01/11,22.22,23.13,22.71,22.89
2019/01/10,22.19,23.1,22.68,22.86
2019/01/09,22.13,23.04,22.62,22.8
2019/01/08,22.12,23.03,22.61,22.79
2019/01/07,22.14,23.05,22.63,22.81
2019/01/04,22.08,22.99,22.57,22.75
2019/01/03,22.03,22.94,22.52,22.7
2019/01/02,22.01,22.92,22.5,22.68
2019/02/27,22.26,23.17,22.75,22.93
2019/02/26,22.23,23.14,22.72,22.9
2019/02/25,22.23,23.14,22.72,22.9
2019/02/23,22.24,23.15,22.73,22.91
2019/02/22,22.21,23.12,22.7,22.88
2019/02/21,22.21,23.12,22.7,22.88
2019/02/20,22.21,23.12,22.7,22.88
2019/02/19,22.15,23.06,22.64,22.82
2019/02/18,22.17,23.08,22.66,22.84
2019/02/15,22.13,23.04,22.62,22.8
2019/02/14,22.14,23.05,22.63,22.81
2019/02/13,22.17,23.08,22.66,22.84
2019/02/12,22.12,23.03,22.61,22.79
2019/02/11,22.13,23.04,22.62,22.8
2019/02/01,22.21,23.12,22.7,22.88
2019/03/29,22.17,23.08,22.66,22.84
2019/03/28,22.18,23.09,22.67,22.85
2019/03/27,22.2,23.11,22.69,22.87
2019/03/26,22.27,23.18,22.76,22.94
2019/03/25,22.23,23.14,22.72,22.9
2019/03/22,22.26,23.17,22.75,22.93
2019/03/21,22.3,23.21,22.79,22.97
2019/03/20,22.24,23.15,22.73,22.91
2019/03/19,22.25,23.16,22.74,22.92
2019/03/18,22.24,23.15,22.73,22.91
2019/03/15,22.23,23.14,22.72,22.9
2019/03/14,22.22,23.13,22.71,22.89
2019/03/13,22.2,23.11,22.69,22.87
2019/03/12,22.2,23.11,22.69,22.87
2019/03/11,22.17,23.08,22.66,22.84
2019/03/08,22.14,23.05,22.63,22.81
2019/03/07,22.16,23.07,22.65,22.83
2019/03/06,22.15,23.06,22.64,22.82
2019/03/05,22.19,23.1,22.68,22.86
2019/03/04,22.19,23.1,22.68,22.86
2019/04/30,22.11,23.02,22.6,22.78
2019/04/29,22.12,23.03,22.61,22.79
2019/04/26,22.09,23,22.58,22.76
2019/04/25,22.08,22.99,22.57,22.75
2019/04/24,22.13,23.04,22.62,22.8
2019/04/23,22.15,23.06,22.64,22.82
2019/04/22,22.16,23.07,22.65,22.83
2019/04/19,22.17,23.08,22.66,22.84
2019/04/18,22.19,23.1,22.68,22.86
2019/04/17,22.22,23.13,22.71,22.89
2019/04/16,22.23,23.14,22.72,22.9
2019/04/15,22.24,23.15,22.73,22.91
2019/04/12,22.18,23.09,22.67,22.85
2019/04/11,22.22,23.13,22.71,22.89
2019/04/10,22.21,23.12,22.7,22.88
2019/04/09,22.21,23.12,22.7,22.88
2019/04/08,22.16,23.07,22.65,22.83
2019/04/03,22.21,23.12,22.7,22.88
2019/04/02,22.16,23.07,22.65,22.83
2019/04/01,22.18,23.09,22.67,22.85
2019/05/31,22.37,23.28,22.86,23.04
2019/05/30,22.34,23.25,22.83,23.01
2019/05/29,22.25,23.16,22.74,22.92
2019/05/28,22.27,23.18,22.76,22.94
2019/05/27,22.3,23.21,22.79,22.97
2019/05/24,22.31,23.22,22.8,22.98
2019/05/23,22.24,23.15,22.73,22.91
2019/05/22,22.27,23.18,22.76,22.94
2019/05/21,22.25,23.16,22.74,22.92
2019/05/20,22.25,23.16,22.74,22.92
2019/05/17,22.18,23.09,22.67,22.85
2019/05/16,22.18,23.09,22.67,22.85
2019/05/15,22.15,23.06,22.64,22.82
2019/05/14,22.16,23.07,22.65,22.83
2019/05/13,22.13,23.04,22.62,22.8
2019/05/10,22.14,23.05,22.63,22.81
2019/05/09,22.11,23.02,22.6,22.78
2019/05/08,22.15,23.06,22.64,22.82
2019/05/07,22.12,23.03,22.61,22.79
2019/05/06,22.1,23.01,22.59,22.77
2019/05/03,22.09,23,22.58,22.76
2019/05/02,22.13,23.04,22.62,22.8
2019/06/28,22.39,23.3,22.88,23.06
2019/06/27,22.36,23.27,22.85,23.03
2019/06/26,22.4,23.31,22.89,23.07
2019/06/25,22.38,23.29,22.87,23.05
2019/06/24,22.38,23.29,22.87,23.05
2019/06/21,22.34,23.25,22.83,23.01
2019/06/20,22.38,23.29,22.87,23.05
2019/06/19,22.34,23.25,22.83,23.01
2019/06/18,22.39,23.3,22.88,23.06
2019/06/17,22.41,23.32,22.9,23.08
2019/06/14,22.48,23.39,22.97,23.15
2019/06/13,22.49,23.4,22.98,23.16
2019/06/12,22.47,23.38,22.96,23.14
2019/06/11,22.45,23.36,22.94,23.12
2019/06/10,22.41,23.32,22.9,23.08
2019/06/06,22.4,23.31,22.89,23.07
2019/06/05,22.42,23.33,22.91,23.09
2019/06/04,22.41,23.32,22.9,23.08
2019/06/03,22.4,23.31,22.89,23.07
2019/07/31,22.12,23.03,22.61,22.79
2019/07/30,22.09,23,22.58,22.76
2019/07/29,22.1,23.01,22.59,22.77
2019/07/26,22.14,23.05,22.63,22.81
2019/07/25,22.18,23.09,22.67,22.85
2019/07/24,22.2,23.11,22.69,22.87
2019/07/23,22.22,23.13,22.71,22.89
2019/07/22,22.27,23.18,22.76,22.94
2019/07/19,22.28,23.19,22.77,22.95
2019/07/18,22.28,23.19,22.77,22.95
2019/07/17,22.25,23.16,22.74,22.92
2019/07/16,22.29,23.2,22.78,22.96
2019/07/15,22.32,23.23,22.81,22.99
