Date,Cash Buying Rate,Cash Selling Rate,Spot Buying Rate,Spot Selling Rate
2019/01/31,0.8599,1.0479,0.9685,1.0085
2019/01/30,0.8553,1.0433,0.9639,1.0039
2019/01/29,0.8532,1.0412,0.9618,1.0018
2019/01/28,0.8529,1.0409,0.9615,1.0015
2019/01/25,0.8494,1.0374,0.958,0.998
2019/01/24,0.8489,1.0369,0.9575,0.9975
2019/01/23,0.8494,1.0374,0.958,0.998
2019/01/22,0.8468,1.0348,0.9554,0.9954
2019/01/21,0.8478,1.0358,0.9564,0.9964
2019/01/19,0.8475,1.0355,0.9561,0.9961
2019/01/18,0.8495,1.0375,0.9581,0.9981
2019/01/17,0.8489,1.0369,0.9575,0.9975
2019/01/16,0.8477,1.0357,0.9563,0.9963
2019/01/15,0.8428,1.0308,0.9514,0.9914
2019/01/14,0.8412,1.0292,0.9498,0.9898
2019/01/11,0.841,1.029,0.9496,0.9896
2019/01/10,0.8399,1.0279,0.9485,0.9885
2019/01/09,0.8381,1.0261,0.9467,0.9867
2019/01/08,0.8371,1.0251,0.9457,0.9857
2019/01/07,0.8402,1.0282,0.9488,0.9888
2019/01/04,0.8392,1.0272,0.9478,0.9878
2019/01/03,0.8364,1.0244,0.945,0.985
2019/01/02,0.8292,1.0172,0.9378,0.9778
2019/02/27,0.8561,1.0441,0.9647,1.0047
2019/02/26,0.8597,1.0477,0.9683,1.0083
2019/02/25,0.8604,1.0484,0.969,1.009
2019/02/23,0.8604,1.0484,0.969,1.009
2019/02/22,0.8618,1.0498,0.9704,1.0104
2019/02/21,0.865,1.053,0.9736,1.0136
2019/02/20,0.8681,1.0561,0.9767,1.0167
2019/02/19,0.8637,1.0517,0.9723,1.0123
2019/02/18,0.8631,1.0511,0.9717,1.0117
2019/02/15,0.8626,1.0506,0.9712,1.0112
2019/02/14,0.8599,1.0479,0.9685,1.0085
2019/02/13,0.8607,1.0487,0.9693,1.0093
2019/02/12,0.8596,1.0476,0.9682,1.0082
2019/02/11,0.8569,1.0449,0.9655,1.0055
2019/02/01,0.8575,1.0455,0.9661,1.0061
2019/03/29,0.8454,1.0334,0.954,0.994
2019/03/28,0.8445,1.0325,0.9531,0.9931
2019/03/27,0.8471,1.0351,0.9557,0.9957
2019/03/26,0.8509,1.0389,0.9595,0.9995
2019/03/25,0.8517,1.0397,0.9603,1.0003
2019/03/22,0.8478,1.0358,0.9564,0.9964
2019/03/21,0.8489,1.0369,0.9575,0.9975
2019/03/20,0.8466,1.0346,0.9552,0.9952
2019/03/19,0.8501,1.0381,0.9587,0.9987
2019/03/18,0.8498,1.0378,0.9584,0.9984
2019/03/15,0.85,1.038,0.9586,0.9986
2019/03/14,0.8502,1.0382,0.9588,0.9988
2019/03/13,0.8527,1.0407,0.9613,1.0013
2019/03/12,0.8517,1.0397,0.9603,1.0003
2019/03/11,0.8516,1.0396,0.9602,1.0002
2019/03/08,0.8476,1.0356,0.9562,0.9962
2019/03/07,0.8419,1.0299,0.9505,0.9905
2019/03/06,0.8439,1.0319,0.9525,0.9925
2019/03/05,0.8449,1.0329,0.9535,0.9935
2019/03/04,0.8452,1.0332,0.9538,0.9938
2019/04/30,0.8427,1.0307,0.9513,0.9913
2019/04/29,0.8442,1.0322,0.9528,0.9928
2019/04/26,0.8415,1.0295,0.9501,0.9901
2019/04/25,0.8397,1.0277,0.9483,0.9883
2019/04/24,0.8404,1.0284,0.949,0.989
2019/04/23,0.841,1.029,0.9496,0.9896
2019/04/22,0.8439,1.0319,0.9525,0.9925
2019/04/19,0.8451,1.0331,0.9537,0.9937
2019/04/18,0.8451,1.0331,0.9537,0.9937
2019/04/17,0.8466,1.0346,0.9552,0.9952
2019/04/16,0.8471,1.0351,0.9557,0.9957
2019/04/15,0.8479,1.0359,0.9565,0.9965
2019/04/12,0.8467,1.0347,0.9553,0.9953
2019/04/11,0.8471,1.0351,0.9557,0.9957
2019/04/10,0.8451,1.0331,0.9537,0.9937
2019/04/09,0.8439,1.0319,0.9525,0.9925
2019/04/08,0.8413,1.0293,0.9499,0.9899
2019/04/03,0.848,1.036,0.9566,0.9966
2019/04/02,0.8465,1.0345,0.9551,0.9951
2019/04/01,0.8467,1.0347,0.9553,0.9953
2019/05/31,0.8737,1.0617,0.9823,1.0223
2019/05/30,0.8699,1.0579,0.9785,1.0185
2019/05/29,0.8676,1.0556,0.9762,1.0162
2019/05/28,0.8677,1.0557,0.9763,1.0163
2019/05/27,0.8652,1.0532,0.9738,1.0138
2019/05/24,0.8652,1.0532,0.9738,1.0138
2019/05/23,0.8626,1.0506,0.9712,1.0112
2019/05/22,0.862,1.05,0.9706,1.0106
2019/05/21,0.8618,1.0498,0.9704,1.0104
2019/05/20,0.8621,1.0501,0.9707,1.0107
2019/05/17,0.8623,1.0503,0.9709,1.0109
2019/05/16,0.8629,1.0509,0.9715,1.0115
2019/05/15,0.8613,1.0493,0.9699,1.0099
2019/05/14,0.8648,1.0528,0.9734,1.0134
2019/05/13,0.8569,1.0449,0.9655,1.0055
2019/05/10,0.8547,1.0427,0.9633,1.0033
2019/05/09,0.8492,1.0372,0.9578,0.9978
2019/05/08,0.8493,1.0373,0.9579,0.9979
2019/05/07,0.8446,1.0326,0.9532,0.9932
2019/05/06,0.8449,1.0329,0.9535,0.9935
2019/05/03,0.8409,1.0289,0.9495,0.9895
2019/05/02,0.842,1.03,0.9506,0.9906
2019/06/28,0.8879,1.0759,0.9965,1.0365
2019/06/27,0.8856,1.0736,0.9942,1.0342
2019/06/26,0.8889,1.0769,0.9975,1.0375
2019/06/25,0.8877,1.0757,0.9963,1.0363
2019/06/24,0.8858,1.0738,0.9944,1.0344
2019/06/21,0.8838,1.0718,0.9924,1.0324
2019/06/20,0.8826,1.0706,0.9912,1.0312
2019/06/19,0.8799,1.0679,0.9885,1.0285
2019/06/18,0.88,1.068,0.9886,1.0286
2019/06/17,0.8835,1.0715,0.9921,1.0321
2019/06/14,0.8879,1.0759,0.9965,1.0365
2019/06/13,0.8858,1.0738,0.9944,1.0344
2019/06/12,0.8829,1.0709,0.9915,1.0315
2019/06/11,0.8805,1.0685,0.9891,1.0291
2019/06/10,0.8781,1.0661,0.9867,1.0267
2019/06/06,0.877,1.065,0.9856,1.0256
2019/06/05,0.8764,1.0644,0.985,1.025
2019/06/04,0.88,1.068,0.9886,1.0286
2019/06/03,0.8771,1.0651,0.9857,1.0257
2019/07/31,0.8872,1.0752,0.9958,1.0358
2019/07/30,0.884,1.072,0.9926,1.0326
2019/07/29,0.8835,1.0715,0.9921,1.0321
2019/07/26,0.8804,1.0684,0.989,1.029
2019/07/25,0.8823,1.0703,0.9909,1.0309
2019/07/24,0.8823,1.0703,0.9909,1.0309
2019/07/23,0.8819,1.0699,0.9905,1.0305
2019/07/22,0.8835,1.0715,0.9921,1.0321
2019/07/19,0.8856,1.0736,0.9942,1.0342
2019/07/18,0.8832,1.0712,0.9918,1.0318
2019/07/17,0.8814,1.0694,0.99,1.03
2019/07/16,0.8804,1.0684,0.989,1.029
2019/07/15,0.882,1.07,0.9906,1.0306
2019/07/12,0.8836,1.0716,0.9922,1.0322
2019/07/11,0.8889,1.0769,0.9975,1.0375
2019/07/10,0.8854,1.0734,0.994,1.034
2019/07/09,0.8877,1.0757,0.9963,1.0363
2019/07/08,0.889,1.077,0.9976,1.0376
2019/07/05,0.8897,1.0777,0.9983,1.0383
2019/07/04,0.8902,1.0782,0.9988,1.0388
2019/07/03,0.8937,1.0817,1.0023,1.0423
2019/07/02,0.8881,1.0761,0.9967,1.0367
2019/07/01,0.8903,1.0783,0.9989,1.0389
2019/08/30,0.9015,1.0895,1.0101,1.0501
2019/08/29,0.9033,1.0913,1.0119,1.0519
2019/08/28,0.9018,1.0898,1.0104,1.0504
2019/08/27,0.9033,1.0913,1.0119,1.0519
