Date,Cash Buying Rate,Cash Selling Rate,Spot Buying Rate,Spot Selling Rate
2019/01/31,0.00000,0.00000,2.26,2.34
2019/01/30,0.00000,0.00000,2.22,2.3
2019/01/29,0.00000,0.00000,2.2,2.28
2019/01/28,0.00000,0.00000,2.21,2.29
2019/01/25,0.00000,0.00000,2.2,2.28
2019/01/24,0.00000,0.00000,2.19,2.27
2019/01/23,0.00000,0.00000,2.18,2.26
2019/01/22,0.00000,0.00000,2.18,2.26
2019/01/21,0.00000,0.00000,2.18,2.26
2019/01/19,0.00000,0.00000,2.18,2.26
2019/01/18,0.00000,0.00000,2.2,2.28
2019/01/17,0.00000,0.00000,2.2,2.28
2019/01/16,0.00000,0.00000,2.2,2.28
2019/01/15,0.00000,0.00000,2.19,2.27
2019/01/14,0.00000,0.00000,2.17,2.25
2019/01/11,0.00000,0.00000,2.18,2.26
2019/01/10,0.00000,0.00000,2.17,2.25
2019/01/09,0.00000,0.00000,2.17,2.25
2019/01/08,0.00000,0.00000,2.16,2.24
2019/01/07,0.00000,0.00000,2.17,2.25
2019/01/04,0.00000,0.00000,2.13,2.21
2019/01/03,0.00000,0.00000,2.08,2.16
2019/01/02,0.00000,0.00000,2.1,2.18
2019/02/27,0.00000,0.00000,2.17,2.25
2019/02/26,0.00000,0.00000,2.18,2.26
2019/02/25,0.00000,0.00000,2.17,2.25
2019/02/23,0.00000,0.00000,2.16,2.24
2019/02/22,0.00000,0.00000,2.16,2.24
2019/02/21,0.00000,0.00000,2.16,2.24
2019/02/20,0.00000,0.00000,2.14,2.22
2019/02/19,0.00000,0.00000,2.13,2.21
2019/02/18,0.00000,0.00000,2.14,2.22
2019/02/15,0.00000,0.00000,2.13,2.21
2019/02/14,0.00000,0.00000,2.15,2.23
2019/02/13,0.00000,0.00000,2.2,2.28
2019/02/12,0.00000,0.00000,2.19,2.27
2019/02/11,0.00000,0.00000,2.22,2.3
2019/02/01,0.00000,0.00000,2.27,2.35
2019/03/29,0.00000,0.00000,2.06,2.14
2019/03/28,0.00000,0.00000,2.06,2.14
2019/03/27,0.00000,0.00000,2.08,2.16
2019/03/26,0.00000,0.00000,2.1,2.18
2019/03/25,0.00000,0.00000,2.09,2.17
2019/03/22,0.00000,0.00000,2.12,2.2
2019/03/21,0.00000,0.00000,2.13,2.21
2019/03/20,0.00000,0.00000,2.08,2.16
2019/03/19,0.00000,0.00000,2.09,2.17
2019/03/18,0.00000,0.00000,2.09,2.17
2019/03/15,0.00000,0.00000,2.09,2.17
2019/03/14,0.00000,0.00000,2.1,2.18
2019/03/13,0.00000,0.00000,2.11,2.19
2019/03/12,0.00000,0.00000,2.12,2.2
2019/03/11,0.00000,0.00000,2.1,2.18
2019/03/08,0.00000,0.00000,2.08,2.16
2019/03/07,0.00000,0.00000,2.12,2.2
2019/03/06,0.00000,0.00000,2.13,2.21
2019/03/05,0.00000,0.00000,2.13,2.21
2019/03/04,0.00000,0.00000,2.12,2.2
2019/04/30,0.00000,0.00000,2.11,2.19
2019/04/29,0.00000,0.00000,2.11,2.19
2019/04/26,0.00000,0.00000,2.1,2.18
2019/04/25,0.00000,0.00000,2.09,2.17
2019/04/24,0.00000,0.00000,2.1,2.18
2019/04/23,0.00000,0.00000,2.13,2.21
2019/04/22,0.00000,0.00000,2.14,2.22
2019/04/19,0.00000,0.00000,2.15,2.23
2019/04/18,0.00000,0.00000,2.15,2.23
2019/04/17,0.00000,0.00000,2.16,2.24
2019/04/16,0.00000,0.00000,2.15,2.23
2019/04/15,0.00000,0.00000,2.17,2.25
2019/04/12,0.00000,0.00000,2.15,2.23
2019/04/11,0.00000,0.00000,2.17,2.25
2019/04/10,0.00000,0.00000,2.15,2.23
2019/04/09,0.00000,0.00000,2.15,2.23
2019/04/08,0.00000,0.00000,2.13,2.21
2019/04/03,0.00000,0.00000,2.14,2.22
2019/04/02,0.00000,0.00000,2.12,2.2
2019/04/01,0.00000,0.00000,2.11,2.19
2019/05/31,0.00000,0.00000,2.09,2.17
2019/05/30,0.00000,0.00000,2.11,2.19
2019/05/29,0.00000,0.00000,2.08,2.16
2019/05/28,0.00000,0.00000,2.12,2.2
2019/05/27,0.00000,0.00000,2.14,2.22
2019/05/24,0.00000,0.00000,2.14,2.22
2019/05/23,0.00000,0.00000,2.14,2.22
2019/05/22,0.00000,0.00000,2.15,2.23
2019/05/21,0.00000,0.00000,2.13,2.21
2019/05/20,0.00000,0.00000,2.14,2.22
2019/05/17,0.00000,0.00000,2.14,2.22
2019/05/16,0.00000,0.00000,2.15,2.23
2019/05/15,0.00000,0.00000,2.14,2.22
2019/05/14,0.00000,0.00000,2.14,2.22
2019/05/13,0.00000,0.00000,2.13,2.21
2019/05/10,0.00000,0.00000,2.13,2.21
2019/05/09,0.00000,0.00000,2.1,2.18
2019/05/08,0.00000,0.00000,2.11,2.19
2019/05/07,0.00000,0.00000,2.09,2.17
2019/05/06,0.00000,0.00000,2.09,2.17
2019/05/03,0.00000,0.00000,2.08,2.16
2019/05/02,0.00000,0.00000,2.1,2.18
2019/06/28,0.00000,0.00000,2.15,2.23
2019/06/27,0.00000,0.00000,2.15,2.23
2019/06/26,0.00000,0.00000,2.13,2.21
2019/06/25,0.00000,0.00000,2.12,2.2
2019/06/24,0.00000,0.00000,2.13,2.21
2019/06/21,0.00000,0.00000,2.11,2.19
2019/06/20,0.00000,0.00000,2.14,2.22
2019/06/19,0.00000,0.00000,2.12,2.2
2019/06/18,0.00000,0.00000,2.08,2.16
2019/06/17,0.00000,0.00000,2.08,2.16
2019/06/14,0.00000,0.00000,2.08,2.16
2019/06/13,0.00000,0.00000,2.08,2.16
2019/06/12,0.00000,0.00000,2.09,2.17
2019/06/11,0.00000,0.00000,2.09,2.17
2019/06/10,0.00000,0.00000,2.06,2.14
2019/06/06,0.00000,0.00000,2.06,2.14
2019/06/05,0.00000,0.00000,2.08,2.16
2019/06/04,0.00000,0.00000,2.13,2.21
2019/06/03,0.00000,0.00000,2.11,2.19
2019/07/31,0.00000,0.00000,2.15,2.23
2019/07/30,0.00000,0.00000,2.14,2.22
2019/07/29,0.00000,0.00000,2.14,2.22
2019/07/26,0.00000,0.00000,2.15,2.23
2019/07/25,0.00000,0.00000,2.19,2.27
2019/07/24,0.00000,0.00000,2.19,2.27
2019/07/23,0.00000,0.00000,2.2,2.28
2019/07/22,0.00000,0.00000,2.18,2.26
2019/07/19,0.00000,0.00000,2.2,2.28
2019/07/18,0.00000,0.00000,2.18,2.26
2019/07/17,0.00000,0.00000,2.17,2.25
2019/07/16,0.00000,0.00000,2.19,2.27
2019/07/15,0.00000,0.00000,2.19,2.27
2019/07/12,0.00000,0.00000,2.19,2.27
2019/07/11,0.00000,0.00000,2.18,2.26
2019/07/10,0.00000,0.00000,2.15,2.23
2019/07/09,0.00000,0.00000,2.15,2.23
2019/07/08,0.00000,0.00000,2.15,2.23
2019/07/05,0.00000,0.00000,2.17,2.25
2019/07/04,0.00000,0.00000,2.17,2.25
2019/07/03,0.00000,0.00000,2.15,2.23
2019/07/02,0.00000,0.00000,2.14,2.22
2019/07/01,0.00000,0.00000,2.15,2.23
2019/08/30,0.00000,0.00000,2.01,2.09
2019/08/29,0.00000,0.00000,2,2.08
2019/08/28,0.00000,0.00000,2.01,2.09
2019/08/27,0.00000,0.00000,2.01,2.09
2019/08/26,0.00000,0.00000,2.01,2.09
2019/08/23,0.00000,0.00000,2.03,2.11
2019/08/22,0.00000,0.00000,2.03,2.11
2019/08/21,0.00000,0.00000,2.01,2.09
2019/08/20,0.00000,0.00000,2,2.08
2019/08/19,0.00000,0.00000,1.99,2.07
2019/08/16,0.00000,0.00000,2.02,2.1
2019/08/15,0.00000,0.00000,2.01,2.09
2019/08/14,0.00000,0.00000,2.03,2.11
2019/08/13,0.00000,0.00000,2.01,2.09
2019/08/12,0.00000,0.00000,2,2.08
2019/08/09,0.00000,0.00000,2.03,2.11
2019/08/08,0.00000,0.00000,2.04,2.12
2019/08/07,0.00000,0.00000,2.07,2.15
2019/08/06,0.00000,0.00000,2.09,2.17
2019/08/05,0.00000,0.00000,2.08,2.16
2019/08/02,0.00000,0.00000,2.1,2.18
2019/08/01,0.00000,0.00000,2.11,2.19
2019/09/30,0.00000,0.00000,2,2.08
2019/09/27,0.00000,0.00000,2.01,2.09
2019/09/26,0.00000,0.00000,2.02,2.1
2019/09/25,0.00000,0.00000,2.02,2.1
2019/09/24,0.00000,0.00000,2.04,2.12
2019/09/23,0.00000,0.00000,2.03,2.11
2019/09/20,0.00000,0.00000,2.05,2.13
2019/09/19,0.00000,0.00000,2.07,2.15
2019/09/18,0.00000,0.00000,2.07,2.15
2019/09/17,0.00000,0.00000,2.06,2.14
2019/09/16,0.00000,0.00000,2.07,2.15
2019/09/12,0.00000,0.00000,2.08,2.16
2019/09/11,0.00000,0.00000,2.08,2.16
2019/09/10,0.00000,0.00000,2.08,2.16
2019/09/09,0.00000,0.00000,2.07,2.15
2019/09/06,0.00000,0.00000,2.07,2.15
2019/09/05,0.00000,0.00000,2.07,2.15
2019/09/04,0.00000,0.00000,2.05,2.13
2019/09/03,0.00000,0.00000,2.01,2.09
2019/09/02,0.00000,0.00000,2.03,2.11
2019/10/31,0.00000,0.00000,1.98,2.06
2019/10/30,0.00000,0.00000,2.04,2.12
2019/10/29,0.00000,0.00000,2.05,2.13
2019/10/28,0.00000,0.00000,2.05,2.13
2019/10/25,0.00000,0.00000,2.04,2.12
2019/10/24,0.00000,0.00000,2.05,2.13
2019/10/23,0.00000,0.00000,2.04,2.12
2019/10/22,0.00000,0.00000,2.03,2.11
2019/10/21,0.00000,0.00000,2.02,2.1
2019/10/18,0.00000,0.00000,2.02,2.1
2019/10/17,0.00000,0.00000,2.02,2.1
2019/10/16,0.00000,0.00000,2,2.08
2019/10/15,0.00000,0.00000,2.03,2.11
2019/10/14,0.00000,0.00000,2.01,2.09
2019/10/09,0.00000,0.00000,1.98,2.06
2019/10/08,0.00000,0.00000,1.99,2.07
2019/10/07,0.00000,0.00000,2,2.08
2019/10/05,0.00000,0.00000,2.01,2.09
2019/10/04,0.00000,0.00000,2,2.08
2019/10/03,0.00000,0.00000,2,2.08
2019/10/02,0.00000,0.00000,1.98,2.06
2019/10/01,0.00000,0.00000,1.99,2.07
2019/11/29,0.00000,0.00000,2.03,2.11
2019/11/28,0.00000,0.00000,2.02,2.1
2019/11/27,0.00000,0.00000,2.02,2.1
2019/11/26,0.00000,0.00000,2.02,2.1
2019/11/25,0.00000,0.00000,2.03,2.11
2019/11/22,0.00000,0.00000,2.04,2.12
2019/11/21,0.00000,0.00000,2.02,2.1
2019/11/20,0.00000,0.00000,2.01,2.09
2019/11/19,0.00000,0.00000,2.02,2.1
2019/11/18,0.00000,0.00000,2.02,2.1
2019/11/15,0.00000,0.00000,2.02,2.1
2019/11/14,0.00000,0.00000,2,2.08
2019/11/13,0.00000,0.00000,2,2.08
2019/11/12,0.00000,0.00000,2,2.08
2019/11/11,0.00000,0.00000,1.99,2.07
2019/11/08,0.00000,0.00000,2.01,2.09
2019/11/07,0.00000,0.00000,2.01,2.09
2019/11/06,0.00000,0.00000,2.01,2.09
2019/11/05,0.00000,0.00000,2.01,2.09
2019/11/04,0.00000,0.00000,2.01,2.09
2019/11/01,0.00000,0.00000,1.98,2.06
2019/12/31,0.00000,0.00000,2.08,2.16
2019/12/30,0.00000,0.00000,2.1,2.18
2019/12/27,0.00000,0.00000,2.09,2.17
2019/12/26,0.00000,0.00000,2.08,2.16
2019/12/25,0.00000,0.00000,2.08,2.16
2019/12/24,0.00000,0.00000,2.07,2.15
2019/12/23,0.00000,0.00000,2.07,2.15
2019/12/20,0.00000,0.00000,2.07,2.15
2019/12/19,0.00000,0.00000,2.06,2.14
2019/12/18,0.00000,0.00000,2.04,2.12
2019/12/17,0.00000,0.00000,2.05,2.13
2019/12/16,0.00000,0.00000,2.04,2.12
2019/12/13,0.00000,0.00000,2.05,2.13
2019/12/12,0.00000,0.00000,2.02,2.1
2019/12/11,0.00000,0.00000,2.02,2.1
2019/12/10,0.00000,0.00000,2.04,2.12
2019/12/09,0.00000,0.00000,2.04,2.12
2019/12/06,0.00000,0.00000,2.04,2.12
2019/12/05,0.00000,0.00000,2.05,2.13
2019/12/04,0.00000,0.00000,2.04,2.12
2019/12/03,0.00000,0.00000,2.05,2.13
2019/12/02,0.00000,0.00000,2.03,2.11
2020/01/31,0.00000,0.00000,2.002,2.082
2020/01/30,0.00000,0.00000,2.017,2.097
2020/01/22,0.00000,0.00000,2.032,2.112
2020/01/21,0.00000,0.00000,2.016,2.096
2020/01/20,0.00000,0.00000,2.029,2.109
2020/01/17,0.00000,0.00000,2.043,2.123
2020/01/16,0.00000,0.00000,2.038,2.118
2020/01/15,0.00000,0.00000,2.04,2.12
2020/01/14,0.00000,0.00000,2.029,2.109
2020/01/13,0.00000,0.00000,2.047,2.127
2020/01/10,0.00000,0.00000,2.073,2.153
2020/01/09,0.00000,0.00000,2.081,2.161
2020/01/08,0.00000,0.00000,2.069,2.149
2020/01/07,0.00000,0.00000,2.078,2.158
2020/01/06,0.00000,0.00000,2.061,2.141
2020/01/03,0.00000,0.00000,2.062,2.142
2020/01/02,0.00000,0.00000,2.111,2.191
2020/02/27,0.00000,0.00000,1.942,2.022
2020/02/26,0.00000,0.00000,1.953,2.033
2020/02/25,0.00000,0.00000,1.971,2.051
2020/02/24,0.00000,0.00000,1.972,2.052
2020/02/21,0.00000,0.00000,1.963,2.043
2020/02/20,0.00000,0.00000,1.967,2.047
2020/02/19,0.00000,0.00000,1.974,2.054
2020/02/18,0.00000,0.00000,1.959,2.039
2020/02/17,0.00000,0.00000,1.975,2.055
2020/02/15,0.00000,0.00000,1.971,2.051
2020/02/14,0.00000,0.00000,1.978,2.058
2020/02/13,0.00000,0.00000,1.966,2.046
2020/02/12,0.00000,0.00000,1.991,2.071
2020/02/11,0.00000,0.00000,1.968,2.048
2020/02/10,0.00000,0.00000,1.958,2.038
2020/02/07,0.00000,0.00000,1.969,2.049
2020/02/06,0.00000,0.00000,1.998,2.078
2020/02/05,0.00000,0.00000,1.989,2.069
2020/02/04,0.00000,0.00000,1.992,2.072
2020/02/03,0.00000,0.00000,1.988,2.068
2020/03/31,0.00000,0.00000,1.643,1.723
2020/03/30,0.00000,0.00000,1.649,1.729
2020/03/27,0.00000,0.00000,1.684,1.764
2020/03/26,0.00000,0.00000,1.692,1.772
2020/03/25,0.00000,0.00000,1.705,1.785
2020/03/24,0.00000,0.00000,1.668,1.748
2020/03/23,0.00000,0.00000,1.673,1.753
2020/03/20,0.00000,0.00000,1.716,1.796
2020/03/19,0.00000,0.00000,1.704,1.784
2020/03/18,0.00000,0.00000,1.759,1.839
2020/03/17,0.00000,0.00000,1.793,1.873
2020/03/16,0.00000,0.00000,1.778,1.858
2020/03/13,0.00000,0.00000,1.805,1.885
2020/03/12,0.00000,0.00000,1.793,1.873
2020/03/11,0.00000,0.00000,1.842,1.922
2020/03/10,0.00000,0.00000,1.832,1.912
2020/03/09,0.00000,0.00000,1.817,1.897
2020/03/06,0.00000,0.00000,1.879,1.959
2020/03/05,0.00000,0.00000,1.918,1.998
2020/03/04,0.00000,0.00000,1.905,1.985
2020/03/03,0.00000,0.00000,1.898,1.978
2020/03/02,0.00000,0.00000,1.898,1.978
2020/04/30,0.00000,0.00000,1.601,1.681
2020/04/29,0.00000,0.00000,1.579,1.659
2020/04/28,0.00000,0.00000,1.557,1.637
2020/04/27,0.00000,0.00000,1.548,1.628
2020/04/24,0.00000,0.00000,1.536,1.616
2020/04/23,0.00000,0.00000,1.536,1.616
2020/04/22,0.00000,0.00000,1.551,1.631
2020/04/21,0.00000,0.00000,1.536,1.616
2020/04/20,0.00000,0.00000,1.552,1.632
2020/04/17,0.00000,0.00000,1.562,1.642
2020/04/16,0.00000,0.00000,1.573,1.653
2020/04/15,0.00000,0.00000,1.571,1.651
2020/04/14,0.00000,0.00000,1.629,1.709
2020/04/13,0.00000,0.00000,1.625,1.705
2020/04/10,0.00000,0.00000,1.633,1.713
2020/04/09,0.00000,0.00000,1.625,1.705
