Store,phone,email,address,website
Canadian Blood Services - Kingston,,,850 Gardiners Rd Suite BKingston  ONK7M 3X9,www.blood.ca
Canadian Blood Services,613-739-2300,feedback@blood.ca,1800 Alta Vista DrOttawa  ONK1G 4J5,www.blood.ca
Holter and Blood Pressure Monitoring,613-332-1565,info@northhastingsfht.ca,c/o Sandra McGrathPO Box 1089Bancroft  ONK0L 1C0,www.bcfht.org
Blood Pressure Clinics,613-354-8937,info@kchc.ca,26 Dundas St WNapanee  ONK7R 1Z4,www.kchc.ca/napanee/napanee-area-community-health-...
Cancer Program - Stuart Street,613-544-2630,,25 King St WKingston  ONK7L 5P9,www.kingstonhsc.ca/cancer-care
Cancer Centre of Southeastern Ontario - Stuart Street,613-544-2630,,25 King St WKingston  ONK7L 5P9,www.kingstonhsc.ca/cancer-care
Aboriginal Patient Navigator,613-549-6666 ext 3851,Dionne.Nolan@kingstonhsc.ca,25 King St WKingston  ONK7L 5P9,www.kingstonhsc.ca/cancer-care
Chemotherapy Clinic,613-354-3301 Ext 263,,8 Richmond Park DrNapanee  ONK7R 2Z4,web.lacgh.napanee.on.ca/chemotherapy
Supportive/ Palliative Care Services,613-267-1500 Ext 2180,,33 Drummond St WPerth  ONK7H 2K1,www.psfdh.on.ca
Oncology - Medical Day Unit - Regional Systemic Treatment Program Level 4,613-283-2330,,60 Cornelia St WSmiths Falls  ONK7A 2H9,www.psfdh.on.ca
Cancer Centre,New patient registration 613-737-7700 ext 70120,,c/o Clinical DirectorBox 940Ottawa  ONK1H 8L6,www.ottawahospital.on.ca/en/clinical-services/dept...
General Campus,24 hours 613-722-7000,webmaster@toh.on.ca,501 Smyth RdOttawa  ONK1H 8L6,www.ottawahospital.on.ca
Complex Continuing Care,613-345-5649,quality@brockvillegeneralhospital.ca,42 Garden StBrockville  ONK6V 2C3,www.brockvillegeneralhospital.ca
Gateway Community Health Centre,613-478-1211,,Bag Service 99Tweed  ONK0K 3J0,www.gatewaychc.org
Dental Clinic,613-966-5500 ext 680,info@hpeph.ca,179 North Park StBelleville  ONK8P 4P1,www.hpepublichealth.ca
Dental Health,613-507-6064,info@kchc.ca,263 Weller Ave Unit 4Kingston  ONK7K 2V4,www.kchc.ca
Dental Services and Healthy Smiles Ontario,613-549-1232 ext 1218 or ext 1605,,221 Portsmouth AveKingston  ONK7M 1V5,www.kflaph.ca
Oral Health Services - Healthy Smiles Ontario,613-345-5685,contact@healthunit.org,458 Laurier BlvdBrockville  ONK6V 7A3,www.healthunit.org
Dental Services and Programs,613-345-5685,,458 Laurier BlvdBrockville  ONK6V 7A3,healthunit.org/clinics-classes/oral-health-clinic/
Community Health - Oral Health,Health: 613-967-3603Social: 613-967-0122,socialreception@mbq-tmt.org,50 Meadow DrDeseronto  ONK0K 1X0,
Dental,613-283-1086,info@rideauchs.ca,2 Gould St  Unit 118Smiths Falls  ONK7A 2S5,www.rideauchs.ca
Dental Surgery,613-224-4599,info@drwwayne.com,75 Spring StAlmonte  ONK0A 1A0,
Dental Care For Low-Income Seniors,416-916-0204,,c/o Ontario Seniors Dental Care ProgramStation PPO Box 159Toronto  ONM5S 2S7,www.ontario.ca/page/dental-care-low-income-seniors
Healthy Smiles Ontario,,,33 King St W  PO Box 645Oshawa  ONL1H 8X1,www.ontario.ca/page/get-dental-care
Faculty of Dentistry, Dental Clinic,416-864-8000 ; Children's Clinic 416-864-8280,,Faculty of Dentistry124 Edward StToronto  ONM5G 1G6,patients.dentistry.utoronto.ca/patients
Belleville X Ray and Ultrasound,613-969-0264,belleville@one-mail.on.ca,150 Sidney St  Unit 6Belleville  ONK8P 5E2,www.cbimaging.ca
Bluewater Imaging - Belleville,613-968-5539,info@bluewaterimaging.ca,210 Dundas St  Suite 301Belleville  ONK8N 1E2,www.bluewaterimaging.ca
