Store,phone,email,address,website
Canadian Blood Services - Barrie Area Office - Blood Donor Centre,705-730-1719,feedback@blood.ca,231 Bayview Dr  Suite 100Barrie  ONL4N 4Y5,www.blood.ca
Canadian Blood Services - Orillia - Blood Donor Services,General Information and Donor Appointment Booking: 1-888-2-DONATE * 1-888-236-6283,,Orillia  On,www.blood.ca
Canadian Blood Services,613-739-2300,feedback@blood.ca,1800 Alta Vista DrOttawa  ONK1G 4J5,www.blood.ca
Cancer Prevention, Screening and Education - Screening Hotline,,,Simcoe Muskoka Regional Cancer Centre201 Georgian DrBarrie  ONL4M 6M2,www.rvh.on.ca/smrcp/SitePages/hotline.aspx
Simcoe Muskoka Regional Cancer Program,705-728-9090,,Simcoe Muskoka Regional Cancer Centre201 Georgian DrBarrie  ONL4M 6M2,www.rvh.on.ca/smrcp/SitePages/SMRCPHome.aspx
Simcoe Muskoka Regional Cancer Program, Indigenous Project Coordinator,,,Simcoe Muskoka Regional Cancer Centre201 Georgian DrBarrie  ONL4M 6M2,www.rvh.on.ca
Beausoleil Family Health Centre,705-247-2035,bfhc@chimnissing.ca,156 Mkade Kegwin MiikanChristian Island  ONL9M 0A9,www.chimnissing.ca
Georgian College - Barrie Campus - Bldg M - Room M141 - Oral Health Clinic,705-722-5114,oralhealthclinic@georgiancollege.ca,M Bldg - Sadlon Centre for Health and Wellness1 Georgian Dr  Room M141Barrie  ONL4M 3X9,www.georgiancollege.ca/community-alumni/health-and...
Social and Community Services Division - County-wide Assistance Dental Emergencies, Dentures, Eyeglasses,705-722-3132 ext 1109From Beeton 905-729-4514 ext 1109,,c/o Social Services DivisionSimcoe County Administration Centre1110 Hwy 26  WMidhurst  ONL0L 1X0,www.simcoe.ca/dpt/scs/about
Healthy Smiles Ontario,Health Connection 705-721-7520,,80 Bradford St  Suite 403Barrie  ONL4N 6S7,www.simcoemuskokahealth.org
Simcoe Muskoka District Health Unit - Gravenhurst Branch - 5 Pineridge Gate - Healthy Smiles Ontario,Health Connection 705-721-7520,,5 Pineridge Gate  Unit 2Gravenhurst  ONP1P 1Z3,www.simcoemuskokahealth.org
Healthy Smiles Ontario - Mobile Clinics,Health Connection 705-721-7520,,5 Pineridge Gate  Unit 2Gravenhurst  ONP1P 1Z3,www.simcoemuskokahealth.org
Simcoe Muskoka District Health Unit - Mobile Service - Healthy Smiles Ontario - Mobile Clinics,Health Connection 705-721-7520,,,www.simcoemuskokahealth.org
Healthy Smiles Ontario - Mobile Clinics,Health Connection 705-721-7520,,Orillia Common Roof Building169 Front St S  Unit 120  main floorOrillia  ONL3V 4S8,www.simcoemuskokahealth.org
Dental Care For Low-Income Seniors,416-916-0204,,c/o Ontario Seniors Dental Care ProgramStation PPO Box 159Toronto  ONM5S 2S7,www.ontario.ca/page/dental-care-low-income-seniors
Healthy Smiles Ontario,,,33 King St W  PO Box 645Oshawa  ONL1H 8X1,www.ontario.ca/page/get-dental-care
Faculty of Dentistry, Dental Clinic,416-864-8000 ; Children's Clinic 416-864-8280,,Faculty of Dentistry124 Edward StToronto  ONM5G 1G6,patients.dentistry.utoronto.ca/patients
Barrie Endoscopy Clinic,705-797-1112,barrie.endoscopy@gmail.com,5 Quarry Ridge Rd  Lower Level 1Barrie  ONL4M 7G1,www.barrie-endoscopy.ca
Barrie Vascular Associates,705-722-8738,,50 Alliance BlvdBarrie  ONL4M 5K3,www.barrievascular.com/
Diagnostic Imaging Department,Bookings: 705-444-8670,,459 Hume StCollingwood  ONL9Y 1W9,www.cgmh.on.ca
Georgian Radiology Consultants - Barrie - Huronia Rd,Office 705-739-1028 * Ultrasound and Bone Density Central Booking Line 705-726-7442,,480 Huronia Rd  Suite 101Barrie  ONL4N 6M2,www.georgianradiology.com
Georgian Radiology Consultants - Barrie - Lakeside Terrace,Office 705-722-8036 * Ultrasound and Bone Density Central Booking Line 705-726-7442,,Little Lake Health Centre11 Lakeside TerBarrie  ONL4M 0H9,www.georgianradiology.com
Georgian Radiology Consultants - Collingwood,Office 705-444-9280,,The Shipyards28 Huron St  Suite 400Collingwood  ONL9Y 1C4,www.georgianradiology.com
Georgian Radiology Consultants - Innisfil,Office 705-431-5641 * Ultrasound and Bone Mineral Density Central Booking Line 705-726-7442,,7325 Yonge St  Suite 1300Innisfil  ONL9S 2M6,www.georgianradiology.com/
Georgian Radiology Consultants - Wasaga Beach,Office 705-422-2255 * Ultrasound and Bone Density Central Booking Line 705-726-7442,,Ramblewood Medical Centre14 Ramblewood Dr  Unit 105Wasaga Beach  ONL9Z 0C4,www.georgianradiology.com
Ontario Medical Imaging - Ontario Medical Imaging. Midland,705-526-5000,,Huronia Medical Centre240 Penetanguishene Rd  Ste 210Midland  ONL4R 4P4,
Ontario Medical Imaging - Orillia - Memorial Avenue X-ray & Ultrasound,705-326-2244,,119 Memorial Ave  Ste 105Orillia  ONL3V 5X1,
Orillia X-Ray and Ultrasound,705-327-0744,,Dental Centre  Building16 O'Brien St  Basement LevelOrillia  ONL3V 5S2,
PACE (Partners in Advanced Cardiac Evaluation) - Barrie,705-721-4422,info@pace-cardiology.com,Little Lake Health Centre11 Lakeside Ter  Unit 302Barrie  ONL4M 0H9,www.pace-cardiology.com
Ontario Breast Screening Program,Mammography Line: 705-739-5610,,Royal Victoria Regional Health Centre201 Georgian Dr  1st FlrBarrie  ONL4M 6M2,www.rvh.on.ca
STL Diagnostic Imaging,,,150 Bridgeland Ave  Suite 207Toronto  ONM6A 1Z5,www.stlimaging.ca/index.cfm
Emergency Department,705-445-2550,,459 Hume StCollingwood  ONL9Y 1W9,www.cgmh.on.ca
Emergency Department,705-526-1300,,PO Box 760Midland  ONL4R 4P4,www.gbgh.on.ca
Huntsville District Memorial Hospital Site, Emergency Department,705-789-2311,info@mahc.ca,100 Frank Miller DrHuntsville  ONP1H 1H7,www.mahc.ca
South Muskoka Memorial Hospital Site, Emergency Department,Main Switchboard: 705-645-4404,info@mahc.ca,South Muskoka Memorial Hospital75 Ann StBracebridge  ONP1L 2E4,www.mahc.ca
Emergency Department,705-325-2201,,170 Colborne St WOrillia  ONL3V 2Z3,www.osmh.on.ca
Emergency Department,Patient Inquiry and General Information 705-728-9802 * automated attendant 705-728-9090,,Royal Victoria Regional Health Centre201 Georgian DrBarrie  ONL4M 6M2,www.rvh.on.ca
Algonquin Family Health Team - Huntsville - Canada Summit Centre - Wellness Hub,705-789-5986,,Canada Summit Centre20 Park Dr  2nd FlrHuntsville  ONP1H 1P5,www.algonquinfht.ca
Algonquin Family Health Team - Huntsville - Howland Building,705-787-0846,,Howland Building100 Frank Miller DrHuntsville  ONP1H 1H7,www.algonquinfht.ca
Barrie and Community Family Health Team,705-721-0370,,Barrie Primary Care Campus370 Bayview Dr  3rd FlrBarrie  ONL4N 7L3,barriefht.ca
Mental Health Services,Administrative Assistant: 705-726-4225 ext 2611 or ext 2612 * Office: 705-721-0370 ext 1,,Barrie Primary Care Campus370 Bayview Dr  3rd FlrBarrie  ONL4N 7L3,barriefht.ca
Cottage Country Family Health Team - Bracebridge - Bracebridge Medical Arts Centre,705-645-2281,,Bracebridge Medical Arts Centre36 McDonald St  Unit 1Bracebridge  ONP1L 2C2,www.ccfht.ca
Cottage Country Family Health Team - Bracebridge - Hiram St,705-646-9045,,205 Hiram St  Suite 2Bracebridge  ONP1L 2C1,www.ccfht.ca
Cottage Country Family Health Team - Gravenhurst - Gravenhurst Medical Clinic,705-687-2794,,5 Pineridge Gate  Unit 1Gravenhurst  ONP1P 1Z3,www.ccfht.ca/
