Store,phone,email,address,website
Canadian Blood Services - Head Office, Sudbury,705-674-2636,,944 Barry Downe RdSudbury  ONP3A 3V3,www.blood.ca
Canadian Blood Services,613-739-2300,feedback@blood.ca,1800 Alta Vista DrOttawa  ONK1G 4J5,www.blood.ca
Northeast Cancer Centre,705-522-6237,,41 Ramsey Lake RdSudbury  ONP3E 5J1,www.hsnsudbury.ca
Daffodil Terrace Lodge,705-523-7333,,41 Ramsey Lake RdSudbury  ONP3E 5J1,www.hsnsudbury.ca
Oncology,705-567-5251,administration@kdhospital.com,145 Government Rd EKirkland Lake  ONP2N 3P4,
Lady Dunn Health Centre - Wawa,705-856-2335,kogilvie@ldhc.com,PO Box 179Wawa  ONP0S 1K0,www.ldhc.com
Oncology Program,705-377-5311,inquiries@mhc.on.ca,Box 170Mindemoya  ONP0P 1S0,www.mhc.on.ca
Algoma District Cancer Program,705-759-3434 ext 4450,publicaffairs@sah.on.ca,750 Great Northern RdSault Ste Marie  ONP6B 0A8,www.sah.on.ca
Oncology Program,705-267-6387,generalinquiries@tadh.com,700 Ross Ave ETimmins  ONP4N 8P2,www.tadh.com
Simcoe Muskoka Regional Cancer Program,705-728-9090,,Simcoe Muskoka Regional Cancer Centre201 Georgian DrBarrie  ONL4M 6M2,www.rvh.on.ca/smrcp/SitePages/SMRCPHome.aspx
Complex Continuing Care,705-267-2131,generalinquiries@tadh.com,700 Ross Ave ETimmins  ONP4N 8P2,www.tadh.com
Complex Chronic Care,705-658-4544,,PO Box 284Attawapiskat First Nation  ONP0L 1A0,www.waha.ca
Fort Albany Hospital,705-278-3330,,PO Box 91Fort Albany  ONP0L 1H0,www.waha.ca
Dental Hygiene Clinic,705-474-7600 ext 5251,angelina.bodick@canadorecollege.ca,PO Box 5001North Bay  ONP1B 8K9,www.canadorecollege.ca
Dental Hygiene Clinic,705-521-6021,info@collegeboreal.ca,21 Lasalle BlvdSudbury  ONP3A 6B1,www.collegeboreal.ca
North Bay Parry Sound District Health Unit,705-474-1400,contact@healthunit.ca,345 Oak St WNorth Bay  ONP1B 2T2,www.myhealthunit.ca
Healthy Smiles Ontario Dental Clinic,705-474-1400 ext 5328,teeth@healthunit.ca,345 Oak St WNorth Bay  ONP1B 2T2,www.myhealthunit.ca
Parry Sound Office,705-746-5801,contact@healthunit.ca,Parry Sound Mall70 Joseph St  Unit 302Parry Sound  ONP2A 2G5,www.myhealthunit.ca
Growing Healthy Families,705-272-3394,cochran@porcupinehu.on.ca,Minto CentreBox 550Cochrane  ONP0L 1C0,www.porcupinehu.on.ca/en/your-community/branch-off...
Growing Healthy Families,705-362-4854,hrst@porcupinehu.on.ca,Box 2470Hearst  ONP0L 1N0,www.porcupinehu.on.ca/en/your-community/branch-off...
Growing Healthy Families,807-868-2091,hornepay@porcupinehu.on.ca,Box 127Hornepayne  ONP0M 1Z0,www.porcupinehu.on.ca/en/your-community/branch-off...
Growing Healthy Families,705-258-2247,ifalls@porcupinehu.on.ca,Box 575Iroquois Falls  ONP0K 1G0,www.porcupinehu.on.ca/en/your-community/branch-off...
Growing Healthy Families,705-335-6101,kapusk@porcupinehu.on.ca,4 Ash StKapuskasing  ONP5N 2C8,www.porcupinehu.on.ca/en/your-community/branch-off...
Growing Healthy Families,705-273-2954,math@porcupinehu.on.ca,Bingham Memorial HospitalBox 490Matheson  ONP0K 1N0,www.porcupinehu.on.ca/en/your-community/branch-off...
Growing Healthy Families,705-336-2294,moosonee@porcupinehu.on.ca,Box 730Moosonee  ONP0L 1Y0,www.porcupinehu.on.ca/en/your-community/branch-off...
Sexual Health Clinic,705-336-2294,moosonee@porcupinehu.on.ca,Box 730Moosonee  ONP0L 1Y0,www.porcupinehu.on.ca/en/your-community/branch-off...
Growing Healthy Families,705-338-2654,srfalls@porcupinehu.on.ca,Box 388Smooth Rock Falls  ONP0L 2B0,www.porcupinehu.on.ca/en/your-community/branch-off...
Growing Healthy Families,705-267-1181,info4you@porcupinehu.on.ca,Postal Bag 2012Timmins  ONP4N 8B7,www.porcupinehu.on.ca/en/your-community/branch-off...
Growing Healthy Families,705-860-9200,,PO Box 485Chapleau  ONP0M 1K0,www.phsd.ca
Growing Healthy Families,705-522-9200,,10 Elm St  Unit 130Sudbury  ONP3C 5N3,www.phsd.ca
Growing Healthy Families,705-222-9202,,Espanola Mall800 Centre St  Unit 100 CEspanola  ONP5E 1J3,www.phsd.ca
Growing Healthy Families,705-370-9200,,PO Box 87Mindemoya  ONP0P 1S0,www.phsd.ca
Growing Healthy Families,705-522-9200,,1300 Paris StSudbury  ONP3E 3A3,www.phsd.ca
Growing Healthy Families,705-222-9201,,PO Box 58St Charles  ONP0M 2W0,www.phsd.ca
Dental Services,705-658-4544 ext 2207,,PO Box 664Moose Factory  ONP0L 1W0,www.waha.ca
Dental Services,705-473-2525,reception@weenusk.ca,PO Box 1Peawanuck  ONP0L 2H0,
Dental Health,807-468-3147,,210 First St NKenora  ONP9N 2K4,www.nwhu.on.ca
Dental Care For Low-Income Seniors,416-916-0204,,c/o Ontario Seniors Dental Care ProgramStation PPO Box 159Toronto  ONM5S 2S7,www.ontario.ca/page/dental-care-low-income-seniors
Healthy Smiles Ontario,,,33 King St W  PO Box 645Oshawa  ONL1H 8X1,www.ontario.ca/page/get-dental-care
Faculty of Dentistry, Dental Clinic,416-864-8000 ; Children's Clinic 416-864-8280,,Faculty of Dentistry124 Edward StToronto  ONM5G 1G6,patients.dentistry.utoronto.ca/patients
Algonquin X-Ray and Ultrasound Services - North Bay,705-476-6228,,1221 Algonquin Ave  Suite 104North Bay  ONP1B 4Y3,
Diagnostic Ultrasound Services - North Bay,705-472-2898,dusnb@cogeco.net,60 Champlain St  Suite 101North Bay  ONP1B 7M4,
Diagnostic Imaging,705-544-2301,bcook@edhospital.on.ca,Box 69Englehart  ONP0J 1H0,www.edhospital.on.ca
Diagnostic Imaging,705-869-1420 ext 3500,info@esphosp.on.ca,825 McKinnon DrEspanola  ONP5E 1R4,www.erhhc.on.ca
Gore Bay Medical Centre - Family Practice and X-Ray,705-282-2262,,Box 219Gore Bay  ONP0P 1H0,www.gorebaymedicalcentre.ca
Diagnostic Imaging,705-759-5551Appointments (other): 705-759-5556,,240 McNabb StSault Ste Marie  ONP6B 1Y5,www.ghc.on.ca
Medical Imaging,Booking appointment: 705-523-7100 ext 7277,,41 Ramsey Lake RdSudbury  ONP3E 5J1,www.hsnsudbury.ca
Diagnostic Imaging,705-567-5251,administration@kdhospital.com,145 Government Rd EKirkland Lake  ONP2N 3P4,
Lady Dunn Health Centre - Wawa,705-856-2335,kogilvie@ldhc.com,PO Box 179Wawa  ONP0S 1K0,www.ldhc.com
Diagnostic Imaging,705-368-2322,inquiries@mhc.on.ca,Box 640Little Current  ONP0P 1K0,www.mhc.on.ca
Diagnostic Imaging,705-377-5311,inquiries@mhc.on.ca,Box 170Mindemoya  ONP0P 1S0,www.mhc.on.ca
Diagnostic Imaging,705-744-5511 ext 2243,lcote@mattawahospital.ca,Box 70Mattawa  ONP0H 1V0,www.mattawahealth.ca
Bingham Memorial Hospital - Matheson,705-273-2424,,Box 70Matheson  ONP0K 1N0,www.micsgroup.com
X-Ray Services,705-382-2900 ext 224,info@mahc.ca,Almaguin Highlands Health Centre150 Huston StBurk's Falls  ONP0A 1C0,www.mahc.ca/en/services/Diagnostics.asp
MyHealth Centre - Sault Ste Marie - Bone Mineral Density, X-ray and Ultrasound,,info@myhealthcentre.ca,Doctor's Building955 Queen St E  Suite 50Sault Ste Marie  ONP6A 2C3,www.myhealthcentre.ca/location/sault-ste-marie/
MyHealth Centre - Sudbury Larch - Cardiology, Mammography, X-ray and Ultrasound,,info@myhealthcentre.ca,Larch Medical Centre65 Larch St  suite 103Sudbury  ONP3E 1B8,myhealthcentre.ca/location/sudbury-larch/
MyHealth Centre - Sudbury Lasalle - X-ray and Ultrasound,,info@myhealthcentre.ca,1122 Lasalle Blvd  suite 107Sudbury  ONP3A 1Y4,myhealthcentre.ca/location/sudbury-lasalle
MyHealth Centre - Sudbury Long Lake - X-ray and Ultrasound,,info@myhealthcentre.ca,Four Corners Medical Arts Centre2009 Long Lake Rd  Suite B3Sudbury  ONP3C 6C3,myhealthcentre.ca/location/sudbury-long-lake/
North Bay Regional Health Centre,705-474-8600,,PO Box 2500North Bay  ONP1B 5A4,www.nbrhc.on.ca
