Store,phone,email,address,website
Canadian Blood Services,613-739-2300,feedback@blood.ca,1800 Alta Vista DrOttawa  ONK1G 4J5,www.blood.ca
Atikokan General Hospital,07-597-4215,,PO Box 2490Atikokan  ONP0T 1C0,www.aghospital.on.ca
Out Patient Care,807-597-4215,,PO Box 2490Atikokan  ONP0T 1C0,www.aghospital.on.ca
Dryden Regional Health Centre,807-223-8201,,PO Box 3003Dryden  ONP8N 2Z6,www.drhc.on.ca
Oncology,807-223-8201 Ext 1288,,c/o OncologyPO Box 3003Dryden  ONP8N 2Z6,www.drhc.on.ca
Lake of The Woods District Hospital,807-468-9861,admin@lwdh.on.ca,21 Sylvan St WKenora  ONP9N 3W7,www.lwdh.on.ca
North of Superior Healthcare Group - Wilson Memorial General Hospital,807-229-1740,,Box 780Marathon  ONP0T 2E0,www.nosh.ca
Sioux Lookout Meno Ya Win Health Centre,807-737-3030,info@slmhc.on.ca,PO Box 909Sioux Lookout  ONP8T 1B4,www.slmhc.on.ca
Cancer Care,807-684-7200,,Regional Cancer Care980 Oliver RdThunder Bay  ONP7B 6V4,www.tbrhsc.net
Dental Clinic,807-475-6436,,1450 Nakina Dr  Rm D101Thunder Bay  ONP7C 4W1,www.confederationcollege.ca/dental-clinic
Healthy Smiles Ontario - Northern Ontario - Find Location - Healthy Smiles Ontario Program,,,Northern Ontario,ontario.ca/healthysmiles
Northwestern Health Unit Mobile Dental Office,Main Office 807-223-3301Mobile Office Cell 807-216-7879,,Kurz Building75 D Van Horne AveDryden  ONP8N 2B2,www.nwhu.on.ca/ourservices/DentalHealth/Pages/Free...
Dental Health,807-468-3147,,210 First St NKenora  ONP9N 2K4,www.nwhu.on.ca
Dental Health Program,807-774-1476,,c/o Dental HealthPO Box 20Sandy Lake  ONP0V 1V0,sandylake.firstnation.ca/?q=sandy-lake-health-auth...
Ambulatory Care Clinics,807-343-2431,sjcg@tbh.net,35 Algoma St NThunder Bay  ONP7B 5G7,www.sjcg.net
Children's Oral Health Services,807-625-5984,,999 Balmoral StThunder Bay  ONP7B 6E7,www.tbdhu.com
Dental Care For Low-Income Seniors,416-916-0204,,c/o Ontario Seniors Dental Care ProgramStation PPO Box 159Toronto  ONM5S 2S7,www.ontario.ca/page/dental-care-low-income-seniors
Healthy Smiles Ontario,,,33 King St W  PO Box 645Oshawa  ONL1H 8X1,www.ontario.ca/page/get-dental-care
Atikokan General Hospital,07-597-4215,,PO Box 2490Atikokan  ONP0T 1C0,www.aghospital.on.ca
Out Patient Care,807-597-4215,,PO Box 2490Atikokan  ONP0T 1C0,www.aghospital.on.ca
Diagnostic Imaging,807-223-8253,,c/o Diagnostic ImagingPO Box 3003Dryden  ONP8N 2Z6,www.drhc.on.ca/programs-services/diagnostic-imagin...
Geraldton District Hospital,807-854-1862,,Bag 4Geraldton  ONP0T 1M0,www.geraldtondh.com/
Emergency Department,807-854-1862 Ext 128,,500 Hogarth Ave WGeraldton  ONP0T 1M0,www.geraldtondh.com/
Lake of The Woods District Hospital,807-468-9861,admin@lwdh.on.ca,21 Sylvan St WKenora  ONP9N 3W7,www.lwdh.on.ca
North of Superior Healthcare Group - McCausland Hospital (The),807-825-3273,admin.tb@nosh.ca,PO Box 370Terrace Bay  ONP0T 2W0,www.nosh.ca
