Store,phone,email,address,website
Canadian Blood Services,613-739-2300,feedback@blood.ca,1800 Alta Vista DrOttawa  ONK1G 4J5,www.blood.ca
Chippewa Health Centre,519-289-5641,info@cottfn.com,322 Chippewa RdMuncey  ONN0L 1Y0,www.cottfn.com/health-department/
Wellness for Seniors,519-595-8755,milvertonoutreach@knollcrestlodge.com,PO Box 453Milverton  ONN0K 1M0,www.knollcrestlodge.com
Health Services,519-289-2957,ahws@munsee.ca,289 Jubilee Rd  RR 1Muncey  ONN0L 1Y0,
Exercise and Wellness,,info@onecaresupport.ca,Betty Cardno Memorial Centre317 Huron StClinton  ONN0M 1L0,www.onecaresupport.ca/services/maintaining-your-he...
Exercise and Wellness,,info@onecaresupport.ca,Betty Cardno Memorial Centre317 Huron StClinton  ONN0M 1L0,www.onecaresupport.ca/services/maintaining-your-he...
Exercise and Wellness,,info@onecaresupport.ca,Betty Cardno Memorial Centre317 Huron StClinton  ONN0M 1L0,www.onecaresupport.ca/services/maintaining-your-he...
Wellness,519-348-9765,maco@ritzlutheranvilla.com,4118A Rd 164  RR 5Mitchell  ONN0K 1N0,www.ritzlutheranvilla.com/maco/home.html
Wellness Programs,519-284-3272,homesupport@town.stmarys.on.ca,Box 998St Marys  ONN4X 1B6,www.townofstmarys.com/en/recreation-and-culture/Ho...
Blood Pressure Clinic,St Thomas: 519-637-6408East Elgin: 519-765-2999,,175 S Edgeware RdSt Thomas  ONN5P 4C4,www.vonme.ca
Blood Pressure Clinic,Administration: 519-659-2273,,1151 Florence St  Suite 200London  ONN5W 2M7,vonme.ca
Blood Pressure Clinic,519-268-7028,jill.ouimette@von.ca,Thames Centre Recreation Complex2066 Dorchester RdDorchester  ONN0L 1G2,www.vonme.ca
Blood Pressure Clinic,519-245-3170,laura.bos@von.ca,274 Head St NStrathroy  ONN7G 4L7,www.vonme.ca
Community Blood Pressure Clinic,519-768-1715,info@wechc.on.ca,153 Main StWest Lorne  ONN0L 2P0,wechc.on.ca/programs/community-support-services-fo...
Cardio Vascular Awareness Program (CHAP),519-236-4373 ext 632,s.masse@bluewaterresthome.com,37792 Zurich-Hensall RdZurich  ONN0M 2T0,www.bwrh.ca
Blood Pressure Clinic,519-238-1556 ext 231,,69 Main St EGrand Bend  ONN0M 1T0,www.gbachc.ca/community-and-wellness-programs
Childhood Cancer Program - Hematology/Oncology,519-685-8500 ext 57396,,800 Commissioners Rd E  Zone B  Level 1London  ONN6A 5W9,www.lhsc.on.ca/hematology-oncology
Cancer Centre,Information: 519-376-2121 ext 3922Oncology Clinic: 519-376-2121 ext 2566Bookings: 519-376-2121 ext 3921,web@gbhs.on.ca,1800 8th St E  Box 1800Owen Sound  ONN4K 6M9,www.gbhs.on.ca/cancer-centre/
London Regional Cancer Program,Automated Switchboard: 519-685-8500General Information: 519-685-8380Patient Information: 519-667-6619,,,www.lhsc.on.ca/About_Us/LRCP/
Urology Centre,519-646-6100 ext 66053,comdept@sjhc.london.on.ca,PO Box 5777  Stn BLondon  ONN6A 4V2,www.sjhc.london.on.ca/urology
Chemotherapy Unit,519-631-2030 ext 2217,publicrelations@stegh.on.ca,South Building  Wing A189 Elm StSt Thomas  ONN5R 5C4,www.stegh.on.ca/hospital-services/chemotherapy
Chemotherapy,519-272-8210 ext 2330,,West Building  Level 346 General Hospital DrStratford  ONN5A 2Y6,www.hpha.ca/chemotherapy
Chemotherapy Unit,519-357-3210 ext 5220,,270 Carling TerraceWingham  ONN0G 2W0,www.lwha.ca/care/oncology/
