Store,phone,email,address,website
Canadian Blood Services - Elora - Blood Donor Clinic,,,c/o Lisa Syms130 Silvercreek Pkwy NGuelph  ONN1H 7Y5,www.blood.ca
Canadian Blood Services - Guelph - Blood Donor Clinic,,,Guelph Blood Donor Clinic130 Silvercreek Pkwy NGuelph  ONN1H 7Y5,www.blood.ca
Canadian Blood Services - KW Blood Donor Clinic,519-884-5646,,94 Bridgeport Rd EWaterloo  ONN2J 2J9,www.blood.ca
Canadian Blood Services,613-739-2300,feedback@blood.ca,1800 Alta Vista DrOttawa  ONK1G 4J5,www.blood.ca
Cambridge Memorial Hospital,519-621-2333,information@cmh.org,700 Coronation BlvdCambridge  ONN1R 3G2,www.cmh.org
Outpatient Clinic and POGO (Oncology) - Pediatric Oncology Group of Ontario Satellite Clinic,519-749-4300 ext 5590,childservices@grhosp.on.ca,835 King St WKitchener  ONN2G 1G3,www.grhosp.on.ca/care/services-departments/childre...
Grand River Regional Cancer Centre,519-749-4380,info@grhosp.on.ca,835 King St WKitchener  ONN2G 1G3,www.grhosp.on.ca
Waterloo Wellington Regional Cancer Program,519-749-4370 ext 2833,,835 King St WKitchener  ONN2G 1G3,www.grhosp.on.ca/care/services-departments/cancer/...
Childhood Cancer Program - Hematology/Oncology,519-685-8500 ext 57396,,800 Commissioners Rd E  Zone B  Level 1London  ONN6A 5W9,www.lhsc.on.ca/hematology-oncology
Oncology and Medical Day Care Clinic,905-336-4103,,1245 Lakeshore Rd  Level 1  South Tower  200 WingBurlington  ONL7S 0A2,www.josephbranthospital.ca/en/programs-and-service...
London Regional Cancer Program,Automated Switchboard: 519-685-8500General Information: 519-685-8380Patient Information: 519-667-6619,,,www.lhsc.on.ca/About_Us/LRCP/
Urology Centre,519-646-6100 ext 66053,comdept@sjhc.london.on.ca,PO Box 5777  Stn BLondon  ONN6A 4V2,www.sjhc.london.on.ca/urology
Complex Continuing Care,519-272-8210 ext 2474,,46 General Hospital DrStratford  ONN5A 2Y6,www.hpha.ca/
Dental Health Program,519-575-4400,publichealth@regionofwaterloo.ca,150 Main St  1st FlCambridge  ONN1R 6P9,www.regionofwaterloo.ca/en/health-and-wellness/den...
Dental Health Program,519-575-4400,publichealth@regionofwaterloo.ca,99 Regina St S  2nd FlWaterloo  ONN2J 4V3,www.regionofwaterloo.ca/en/health-and-wellness/den...
Wellington-Dufferin-Guelph Public Health,,info@wdgpublichealth.ca,c/o ReceptionWellington-Dufferin-Guelph Public Health490 Charles Allan WayFergus  ONN1M 2W3,www.wdgpublichealth.ca
Guelph - Chancellors Way,519-822-2715,info@wdgpublichealth.ca,c/o ReceptionWellington-Dufferin-Guelph Public Health160 Chancellors WayGuelph  ONN1G 0E1,www.wdgpublichealth.ca
Dental Services,519-822-2715 ext 2661,info@wdgpublichealth.ca,c/o ReceptionWellington-Dufferin-Guelph Public Health490 Charles Allan WayFergus  ONN1M 2W3,www.wdgpublichealth.ca/clinics-classes/dental-clin...
Mount Forest Office,519-822-2715,info@wdgpublichealth.ca,c/o ReceptionWellington-Dufferin-Guelph Public Health490 Charles Allan WayFergus  ONN1M 2W3,www.wdgpublichealth.ca
Preventive Dental Program,,info@wdgpublichealth.ca,c/o ReceptionWellington-Dufferin-Guelph Public Health490 Charles Allan WayFergus  ONN1M 2W3,www.wdgpublichealth.ca/clinics-classes/dental-clin...
WAVE Clinic,416-415-4547,chsclientservices@georgebrown.ca,51 Dockside Dr  3rd FlToronto  ONM5A 0B6,www.georgebrown.ca/clinic
Halton. Halton Region Health Department - Oakville - Halton Regional Centre - Oral Health,Mon-Sun 24 hours 905-825-6000 or call 3-1-1,accesshalton@halton.ca,c/o Halton Region Health Department  Oral Health Program  Level 2Halton Regional Centre1151 Bronte RdOakville  ONL6M 3L1,www.halton.ca/For-Residents/Public-Health/Oral-Hea...
Dental Care For Low-Income Seniors,416-916-0204,,c/o Ontario Seniors Dental Care ProgramStation PPO Box 159Toronto  ONM5S 2S7,www.ontario.ca/page/dental-care-low-income-seniors
Healthy Smiles Ontario,,,33 King St W  PO Box 645Oshawa  ONL1H 8X1,www.ontario.ca/page/get-dental-care
Faculty of Dentistry, Dental Clinic,416-864-8000 ; Children's Clinic 416-864-8280,,Faculty of Dentistry124 Edward StToronto  ONM5G 1G6,patients.dentistry.utoronto.ca/patients
Cambridge Medical Imaging,519-740-1790,info@cambridgemedicalimaging.ca,Cambridge Delta Medical Centre614 Coronation Blvd  Suite 103Cambridge  ONN1R 3E8,www.cambridgemedicalimaging.ca
Cambridge Memorial Hospital,519-621-2333,information@cmh.org,700 Coronation BlvdCambridge  ONN1R 3G2,www.cmh.org
Emergency Department,519-621-2330 * 519-621-2333,,700 Coronation BlvdCambridge  ONN1R 3G2,www.cmh.org/programs/department-emergency-medicine
Waterloo Wellington Breast Centre - Ontario Breast Screening Program,519-749-4270,info@grhosp.on.ca,3570 King St EKitchener  ONN2A 2W1,www.grhosp.on.ca/care/services-departments/medical...
Medical Imaging,General: 519-749-4262,info@grhosp.on.ca,835 King St WKitchener  ONN2G 1G3,www.grhosp.on.ca/care/services-departments/medical...
Diagnostic Imaging,519-843-2010 ext 3234,,235 Union St EFergus  ONN1M 1W3,www.gmch.ca/diagnostic-imaging
Diagnostic Imaging,519-837-6401,info@gghorg.ca,115 Delhi StGuelph  ONN1E 4J4,www.gghorg.ca/diagnostic-imaging
Guelph Medical Imaging - Guelph - 33 Farley Dr,226-314-1537,,33 Farley Dr  Unit 11-12Guelph  ONN1L 0B7,www.guelphmedicalimaging.com
Guelph Medical Imaging - Guelph - 54 Cardigan St,226-314-0778,,54 Cardigan StGuelph  ONN1H 3Z6,www.guelphmedicalimaging.com
Guelph Medical Imaging - Guelph - 83 Dawson Rd,226-314-1190,,Guelph Medical Place83 Dawson Rd  Suite 105Guelph  ONN1H 1B1,www.guelphmedicalimaging.com
Kitchener-Waterloo Vascular Laboratory,519-585-1116,,932 King St W  Suite 7Kitchener  ONN2G 1G4,www.kwvascularlab.ca/
KMH Cardiology Centres - Kitchener,,info@kmhlabs.com,751B Victoria St S  Suite 108Kitchener  ONN2M 5N4,kmhlabs.com
Medi-Share,519-576-5533,,564 Belmont Ave W  Suite 304Kitchener  ONN2M 5N6,www.medishare.ca
North Wellington Health Care - Louise Marshall Hospital,519-323-2210,,630 Dublin StMount Forest  ONN0G 2L3,www.nwhealthcare.ca
North Wellington Health Care - Palmerston and District Hospital,519-343-2030,,500 Whites Rd  PO Box 130Palmerston  ONN0G 2P0,pdh.nwhealthcare.ca/
Oxford Medical Imaging (Kitchener - Belmont Ave),226-646-4555,info@oxfordmedicalimaging.ca,Belmont Professional Centre564 Belmont Ave W  Suite 101Kitchener  ONN2M 5N6,www.oxfordmedicalimaging.ca
Diagnostic Imaging,519-749-6635 * 519-749-6990,info@smgh.ca,911 Queen's BlvdKitchener  ONN2M 1B2,www.smgh.ca/care-services-support/diagnostic-imagi...
Cardiac Diagnostic Testing,519-749-6938,info@smgh.ca,911 Queen's BlvdKitchener  ONN2M 1B2,www.smgh.ca/patient-care-programs/regional-cardiac...
True North Imaging (Boardwalk Diagnostic Imaging (The)) - Waterloo - The Boardwalk,519-576-8760,,Medical Centre430 The Boardwalk  Suite 108Waterloo  ONN2T 0C1,truenorthimaging.com
True North Imaging - Canamera X-Ray and Ultrasound,519-623-9464,,350 Conestoga Blvd  Unit B9Cambridge  ONN1R 7L7,www.truenorthimaging.com
True North Imaging - Fairway X-Ray and Ultrasound,519-748-6844,,385 Fairway Rd SKitchener  ONN2C 1X2,www.truenorthimaging.com
