Store,phone,email,address,website
Canadian Blood Services - Ancaster,,,35 Stone Church RdAncaster  ONL9K 1S4,www.blood.ca/en/blood/donor-centre-hours-locations
Canadian Blood Services - Burlington,,,1250 Brant StBurlington  ONL7P 1X8,www.blood.ca/en/blood/donor-centre-hours-locations
Canadian Blood Services - St Catharines,,,395-397 Ontario StSt Catharines  ONL2N 7N6,www.blood.ca/en/blood/donor-centre-hours-locations
Canadian Blood Services,613-739-2300,feedback@blood.ca,1800 Alta Vista DrOttawa  ONK1G 4J5,www.blood.ca
Brant Community Cancer Clinic,519-751-5585,,200 Terrace Hill StBrantford  ONN3R 1G9,www.bchsys.org/en/care-services/cancer-clinic.aspx
Juravinski Cancer Centre,905-387-9495,,699 Concession StHamilton  ONL8V 5C2,www.hamiltonhealthsciences.ca/about-us/our-organiz...
Supportive and Palliative Care Program,905-387-9711 ext 64315,,699 Concession StHamilton  ONL8V 5C2,www.hamiltonhealthsciences.ca/areas-of-care/progra...
Indigenous Cancer Care Program,905-521-2100 ext 63312,,699 Concession StHamilton  ONL8V 5C2,www.hamiltonhealthsciences.ca/areas-of-care/progra...
Oncology Day Services,905-521-2100 ext 43772,,711 Concession St  Level 4  Section BHamilton  ONL8V 1C3,www.hamiltonhealthsciences.ca/areas-of-care/progra...
Hematology and Oncology Clinic,905-521-2100 ext 75608,,1200 Main St W  Level 3  Section F(Red)Hamilton  ONL8N 3Z5,www.hamiltonhealthsciences.ca/mcmaster-childrens-h...
Oncology and Medical Day Care Clinic,905-336-4103,,1245 Lakeshore Rd  Level 1  South Tower  200 WingBurlington  ONL7S 0A2,www.josephbranthospital.ca/en/programs-and-service...
Walker Family Cancer Centre,905-682-6451,,1200 Fourth AveSt Catharines  ONL2S 0A9,www.niagarahealth.on.ca/site/cancer-care-oncology
Childhood Cancer Program - Hematology/Oncology,519-685-8500 ext 57396,,800 Commissioners Rd E  Zone B  Level 1London  ONN6A 5W9,www.lhsc.on.ca/hematology-oncology
London Regional Cancer Program,Automated Switchboard: 519-685-8500General Information: 519-685-8380Patient Information: 519-667-6619,,,www.lhsc.on.ca/About_Us/LRCP/
Urology Centre,519-646-6100 ext 66053,comdept@sjhc.london.on.ca,PO Box 5777  Stn BLondon  ONN6A 4V2,www.sjhc.london.on.ca/urology
Complex Continuing Care,519-272-8210 ext 2474,,46 General Hospital DrStratford  ONN5A 2Y6,www.hpha.ca/
Children and Youth Dental Services,519-753-4937 ext 450,dental@bchu.org,194 Terrace Hill StBrantford  ONN3R 1G7,www.bchu.org/ServicesWeProvide/Dental/Pages/Free-D...
Ontario Seniors Dental Care Program,Ontario Seniors Dental Care Program: 416-916-0204Health Unit Dental Services: 519-753-4937 ext 450,dental@bchu.org,c/o Ontario Seniors Dental Care ProgramStn P  PO Box 159Toronto  ONM5S 2S7,www.bchu.org/ServicesWeProvide/Dental/Pages/Free-D...
Ontario Seniors Dental Care Program,905-734-1141 ext 2282,cschn@cschn.ca,c/o Ontario Seniors Dental Care ProgramStn P  PO Box 159Toronto  ONM5S 2S7,www.cschn.ca/english
Preventive Dental Clinic,905-734-111 ext 2356,cschn@cschn.ca,810 East Main StWelland  ONL3B 3Y4,www.cschn.ca/nos-services/clinique-medicale/servic...
Ontario Seniors Dental Care Program,Ontario Seniors Dental Care Program: 416-916-0204Health Unit: 905-318-6623,,c/o Ontario Seniors Dental Care ProgramStn P  PO Box 159Toronto  ONM5S 2S7,www.hnhu.org/health-topic/free-routine-dental-care...
Haldimand-Norfolk Preventive Dental Clinic,905-318-6623 ext 3293,,117 Forest St EDunnville  ONN1A 1B9,hnhu.org/health-topic/haldimand-norfolk-preventati...
