Store,phone,email,address,website
Canadian Blood Services - Blood Donor Clinics-Brampton,,,,www.blood.ca
Canadian Blood Services - Blood Donor Clinics-Caledon/Bolton,,,,www.blood.ca
Canadian Blood Services - Blood Donor Clinics-Dufferin County,,,,www.blood.ca
Canadian Blood Services - Blood Donor Clinics-Etobicoke,,,,www.blood.ca
Canadian Blood Services - Blood Donor Clinics-Woodbridge,,,,www.blood.ca
Canadian Blood Services,613-739-2300,feedback@blood.ca,1800 Alta Vista DrOttawa  ONK1G 4J5,www.blood.ca
Canadian Blood Services - Mississauga - Donor Centre,1-888-2-DONATE (1-888-236-6283),,765 Britannia Rd W  Unit 2Mississauga  ONL5V 2Y1,www.blood.ca
Oncology,519-941-2702,,100 Rolling Hills DrOrangeville  ONL9W 4X9,www.headwatershealth.ca/Areas-of-Care/Ambulatory-S...
Cancer Care,905-494-2120,,2100 Bovaird Dr EBrampton  ONL6R 3J7,www.williamoslerhs.ca/patients-and-families/progra...
Early Detection of Lung Cancer,905-494-6628,,2100 Bovaird Dr EBrampton  ONL6R 3J7,www.williamoslerhs.ca/patients-and-families/progra...
Inpatient Services,905-494-6418,,Brampton Civic Hospital  Entrance "A"  ROSE elevaors  Level 52100 Bovaird Dr EBrampton  ONL6R 3J7,www.williamoslerhs.ca/patients-and-families/progra...
Outpatient Services - Oncology Clinic Team,905-494-2120,,2100 Bovaird Dr EBrampton  ONL6R 3J7,www.williamoslerhs.ca/patients-and-families/progra...
Cancer Care - Early Detection of Lung Cancer,905-494-6628,,101 Humber College BlvdEtobicoke  ONM9V 1R8,www.williamoslerhs.ca/patients-and-families/progra...
Trillium Health Partners - Children's Services,905-848-7100905-813-4421416-521-4120,,100 Queensway WMississauga  ONL5B 1B8,www.trilliumhealthpartners.ca/patientservices/chil...
Trillium Health Partners - Credit Valley Hospital,905-813-2200 or 905-813-3971 (Patient Inquiry),Patient.Relations@thp.ca,2200 Eglinton Ave W  Room 1A100Mississauga  ONL5M 2N1,trilliumhealthpartners.ca
Inpatient Oncology,905-813-1100,Patient.Relations@thp.ca,2200 Eglinton Ave W  Room 1A100  OAMississauga  ONL5M 2N1,trilliumhealthpartners.ca/patientservices/cancerse...
Psychosocial Oncology and Supportive Care,905-813-1100 ext 4862,Patient.Relations@thp.ca,2200 Eglinton Ave W  Room 1A100Mississauga  ONL5M 2N1,trilliumhealthpartners.ca/patientservices/cancerse...
Inpatient Oncology,905-848-7580,Patient.RelationsMH@trilliumhealthpartners.ca,100 Queensway W  6J OncologyMississauga  ONL5B 1B8,trilliumhealthpartners.ca/patientservices/cancerse...
Complex Continuing Care,519-941-7202,,100 Rolling Hills DrOrangeville  ONL9W 4X9,www.headwatershealth.ca/Areas-of-Care/Complex-Cont...
Complex Continuing Care,905-494-2120 ext 56437,,2100 Bovaird Dr EBrampton  ONL6R 3J7,www.williamoslerhs.ca/patients-and-families/progra...
McCall Centre For Continuing Care,416-259-2573,mgd_mccall@extendicare.com,140 Sherway DrEtobicoke  ONM9C 1A4,www.mccallcentre.ca
Dental Care For Low-Income Seniors,416-916-0204,,c/o Ontario Seniors Dental Care ProgramStation PPO Box 159Toronto  ONM5S 2S7,www.ontario.ca/page/dental-care-low-income-seniors
Public Health - Wellington-Dufferin-Guelph - Orangeville Office,,info@wdgpublichealth.ca,180 Broadway AveOrangeville  ONL9W 1K3,www.wdgpublichealth.ca
Public Health - Wellington-Dufferin-Guelph - Shelburne Office,,info@wdgpublichealth.ca,Mel Lloyd Centre167 Centre St  2nd FlShelburne  ONL0N 1S4,www.wdgpublichealth.ca
Dental Services and Clinic Locations for Children and Youth,905-799-7700- Brampton and Mississauga905-584-2216-Caledon,peelhealth@peelregion.ca,10 Peel Centre Dr  Suite A and BBrampton  ONL6T 4B9,www.peelregion.ca/health/dental-health/peel-dclocs...
Region of Peel, Public Health - Healthy Smiles Ontario,905-799-7700                                                                                Caledon residents call free of charge 905-584-2216,,,www.peelregion.ca/dental
Health Care Services - Dental Services,416-338-1790,info@rexdalechc.com,8 Taber RdEtobicoke  ONM9W 3A4,www.rexdalechc.com
