Store,phone,email,address,website
Canadian Blood Services - Mississauga - Donor Centre,1-888-2-DONATE (1-888-236-6283),,765 Britannia Rd W  Unit 2Mississauga  ONL5V 2Y1,www.blood.ca
Canadian Blood Services,613-739-2300,feedback@blood.ca,1800 Alta Vista DrOttawa  ONK1G 4J5,www.blood.ca
Colorectal Diagnostic Assessment Program,905-845-2571 ext 3155,infodesk@haltonhealthcare.on.ca,3001 Hospital Gate  Cancer Care Clinic  Area EOakville  ONL6M 0L8,www.haltonhealthcare.on.ca/services_/28763/t28337-...
Diagnostic Assessment Program (DAP),905-813-1100 ext 4464,mhcwrcp@trilliumhealthpartners.ca,Trillium Health Partners  Credit Valley Hospital  Carlo Fidani Regional Cancer Centre2200 Eglinton Ave W  4th Floor  Cancer AdministrationMississauga  ONL5M 2N1,mhcwcancer.ca/TheCancerJourney/Diagnosis/Diagnosti...
Oakville Trafalgar Memorial Hospital - Cancer Care Clinic,905-338-4635,pr@haltonhealthcare.on.ca,3001 Hospital Gate  Area E - Cancer care Clinic / Medical Day CareOakville  ONL6M 0L8,www.haltonhealthcare.on.ca/services_/28763/t28337-...
Trillium Health Partners - Credit Valley Hospital - Carlo Fidani Regional Cancer Centre - Cancer Care Clinic,Main number: 905-813-4439Radiation Reception: 905-813-4411Rebooking Clerk: 905-813-5159,mhcwrcp@trilliumhealthpartners.ca,c/o Carlo Fidani Regional Cancer CentreCredit Valley Hospital2200 Eglinton Ave W  4th FloorMississauga  ONL5M 2N1,trilliumhealthpartners.ca/patientservices/cancerse...
Trillium Health Partners - Queensway Health Centre - Betty and Buster Lockwood Cancer Detection and Treatment Centre - Cancer Care Clinic,416-521-4110 or 905-848-7164 (Patient Relations),patient.relations@thp.ca,Queensway Health Centre150 Sherway DrEtobicoke  ONM9C 1A5,trilliumhealthpartners.ca/patientservices/cancerse...
Trillium Health Partners - Children's Services,905-848-7100905-813-4421416-521-4120,,100 Queensway WMississauga  ONL5B 1B8,www.trilliumhealthpartners.ca/patientservices/chil...
Trillium Health Partners - Credit Valley Hospital,905-813-2200 or 905-813-3971 (Patient Inquiry),Patient.Relations@thp.ca,2200 Eglinton Ave W  Room 1A100Mississauga  ONL5M 2N1,trilliumhealthpartners.ca
Carlo Fidani Regional Cancer Centre,905-813-2200905-848-7164 (Patient Relations),Patient.Relations@thp.ca,2200 Eglinton Ave W  Room 1A100Mississauga  ONL5M 2N1,trilliumhealthpartners.ca/patientservices/cancerse...
REACT Clinic,905-813-4412,Patient.Relations@thp.ca,2200 Eglinton Ave W  Room 1A100Mississauga  ONL5M 2N1,trilliumhealthpartners.ca/patientservices/cancerse...
Inpatient Oncology,905-813-1100,Patient.Relations@thp.ca,2200 Eglinton Ave W  Room 1A100  OAMississauga  ONL5M 2N1,trilliumhealthpartners.ca/patientservices/cancerse...
