Store,phone,email,address,website
Canadian Blood Services,613-739-2300,feedback@blood.ca,1800 Alta Vista DrOttawa  ONK1G 4J5,www.blood.ca
Haematology/Oncology Program,416-813-5859,,555 University AveToronto  ONM5G 1X8,www.sickkids.ca/haematologyoncology/index.html
Oncology (Cancer Care),416-469-6580 ext 2624,,825 Coxwell AveToronto  ONM4C 3E7,www.tehn.ca/programs-services/medicine/oncology-ca...
Oncology and Haematology Clinic,416-469-6580 ext 2624,,825 Coxwell AveToronto  ONM4C 3E7,www.tehn.ca/oncology-and-haematology-clinic
Thoracic Surgery,Switchboard: 416-461-8272Patient Directory Line: 416-469-6487,,825 Coxwell AveToronto  ONM4C 3E7,www.tehn.ca/programs-services/surgery/general-surg...
Urology,Switchboard: 416-461-8272Patient Directory Line: 416-469-6487,,825 Coxwell AveToronto  ONM4C 3E7,www.tehn.ca/programs-services/surgery/urology
Colorectal Diagnostic Assessment Program,Switchboard 416-596-4200Patient Inquiry 416-586-8300,,Joseph and Wolf Lebovic Health Complex600 University AveToronto  ONM5G 1X5,www.mountsinai.on.ca/care/colorectal-diagnostic-as...
Ruth Burnett Centre for Outpatient Oncology,416-586-4800 ext 8243,,Joseph and Wolf Lebovic Health Complex600 University Ave  12th FlToronto  ONM5G 1X5,www.mountsinai.on.ca/care/ruth-burnett/ruth-burnet...
Odette Cancer Centre,416-480-5000,questions@sunnybrook.ca,2075 Bayview AveToronto  ONM4N 3M5,sunnybrook.ca/content/?page=odette-cancer-centre
Bone Metastasis Clinic,416-480-4205,questions@sunnybrook.ca,2075 Bayview Ave  T-wing  ground FlToronto  ONM4N 3M5,sunnybrook.ca/content/?page=occ-bonemetastasis
Cutaneous Lymphoma Clinic,416-480-5000,questions@sunnybrook.ca,T-wing  1st Fl2075 Bayview AveToronto  ONM4N 3M5,sunnybrook.ca/content/?page=occ-cutlymph
Familial GI Clinic,416-480-5000,questions@sunnybrook.ca,T-wing  1st Fl2075 Bayview AveToronto  ONM4N 3M5,www.sunnybrook.ca/content/?page=occ-familialgi
Head and Neck Clinic,416-480-6100 ext 4951,questions@sunnybrook.ca,2075 Bayview AveToronto  ONM4N 3M5,sunnybrook.ca/content/?page=occ-headneck-about
Louise Temerty Breast Cancer Centre - Immediate Breast Reconstruction Program,416-480-4205,questions@sunnybrook.ca,2075 Bayview Ave  M-wing  6th FlToronto  ONM4N 3M5,sunnybrook.ca/content/?page=occ-breast-reconstruct...
Louise Temerty Breast Cancer Centre - Young Women with Breast Cancer Program - PYNK,416-480-5000 ext 7938,questions@sunnybrook.ca,2075 Bayview Ave  M Wing  6th FlToronto  ONM4N 3M5,sunnybrook.ca/content/?page=pynk-young-women-breas...
Melanoma Clinic,416-480-6100 ext 5248,,2075 Bayview Ave  T-wing  1st FlToronto  ONM4N 3M5,sunnybrook.ca/content/?page=occ-melanomaclinic
Prevention, High Risk, Early Disease Surveillance Prostate Clinic,416-480-5000,questions@sunnybrook.ca,T-wing  1st Fl2075 Bayview AveToronto  ONM4N 3M5,sunnybrook.ca/content/?page=occ-phreds
Skin Clinic,416-480-4205,questions@sunnybrook.ca,2075 Bayview Ave  T-wing  1st FlToronto  ONM4N 3M5,sunnybrook.ca/content/?page=occ-skinclinic
Thoracic Oncology Care,416-480-6100 ext 4951,questions@sunnybrook.ca,2075 Bayview AveToronto  ONM4N 3M5,sunnybrook.ca/content/?page=occ-thoracic-about
Transition Care Clinic,416-480-5000,questions@sunnybrook.ca,2075 Bayview Ave  T- wingToronto  ONM4N 3M5,sunnybrook.ca/content/?page=odette-cancer-centre
Outpatient Chemotherapy,416-530-6043,,30 The Queensway  Ground Fl Glendale WingToronto  ONM6R 1B5,www.stjoestoronto.ca/areas-of-care/cancer-care/
Urology Clinic,416-530-6043,,30 The Queensway  Ground Fl Glendale WingToronto  ONM6R 1B5,www.stjoestoronto.ca/areas-of-care/outpatient-clin...
Inpatient Oncology Unit,416-864-5222,,30 Bond StToronto  ONM5B 1W8,www.stmichaelshospital.com/programs/oncology/index...
Oncology Medical Daycare Unit,416-864-5222,,2 Donnelly Wing South30 Bond StToronto  ONM5B 1W8,www.stmichaelshospital.com/programs/medical-daycar...
Adolescent & Young Adult (AYA) Oncology Program,416-946-4501 ext 5890,,610 University AveToronto  ONM5G 2M9,www.uhn.ca/PrincessMargaret/Clinics/Adolescent_You...
Bladder Tumour Multidisciplinary Cystoscopy Clinic,416-340-3882,,610 University Ave  2nd Fl  Norman Urquhart BuildingToronto  ONM5G 2M9,www.uhn.ca/Surgery/Clinics/Bladder_Tumour_Clinic
