Store,phone,email,address,website
Canadian Blood Services Blood Donor Clinic - Richmond Hill,,feedback@blood.ca,Hillcrest Mall9350 Yonge St  C0018Richmond Hill  ONL4C 5G2,myaccount.blood.ca/
Canadian Blood Services,613-739-2300,feedback@blood.ca,1800 Alta Vista DrOttawa  ONK1G 4J5,www.blood.ca
Canadian College of Naturopathic Medicine Integrative Cancer Centre,416-498-9763,iccinfo@ccnm.edu,1255 Sheppard Ave EToronto  ONM2K 1E2,rsnc.ca/integrative-cancer-centre
Stronach Regional Cancer Centre,905-883-5800,icsregional@southlakeregional.or,596 Davis DrNewmarket  ONL3Y 2P9,stronachregionalcancercentre.com/central-regional-...
Chemotherapy Treatment,905-830-5800,icsregional@southlakeregional.or,596 Davis Dr  Level 2Newmarket  ONL3Y 2P9,www.stronachregionalcancercentre.com/patient-and-c...
Radiation Therapy - Bahen Chant Radiation Treatment Centre,905-830-5800,icsregional@southlakeregional.or,596 Davis Dr  Ground FloorNewmarket  ONL3Y 2P9,www.southlakeregional.org/cancer
Simcoe Muskoka Regional Cancer Program,705-728-9090,,Simcoe Muskoka Regional Cancer Centre201 Georgian DrBarrie  ONL4M 6M2,www.rvh.on.ca/smrcp/SitePages/SMRCPHome.aspx
Trillium Health Partners - Children's Services,905-848-7100905-813-4421416-521-4120,,100 Queensway WMississauga  ONL5B 1B8,www.trilliumhealthpartners.ca/patientservices/chil...
McCall Centre For Continuing Care,416-259-2573,mgd_mccall@extendicare.com,140 Sherway DrEtobicoke  ONM9C 1A4,www.mccallcentre.ca
APLUS Institute - Dental Hygiene Program,416-222-0500,info@aplusinstitute.com,4950 Yonge St  Suite 15  Concourse levelToronto  ONM2N 6K1,www.aplusinstitute.com
Dental Care For Low-Income Seniors,416-916-0204,,c/o Ontario Seniors Dental Care ProgramStation PPO Box 159Toronto  ONM5S 2S7,www.ontario.ca/page/dental-care-low-income-seniors
Social and Community Services Division - County-wide Assistance Dental Emergencies, Dentures, Eyeglasses,705-722-3132 ext 1109From Beeton 905-729-4514 ext 1109,,c/o Social Services DivisionSimcoe County Administration Centre1110 Hwy 26  WMidhurst  ONL0L 1X0,www.simcoe.ca/dpt/scs/about
Simcoe Muskoka District Health Unit - Mobile Service - Healthy Smiles Ontario - Mobile Clinics,Health Connection 705-721-7520,,,www.simcoemuskokahealth.org
Child and Family Health Division,Health Connection 1-800-361-5653,childfamily@york.ca,17250 Yonge StNewmarket  ONL3Y 6Z1,www.york.ca/parenting
Evangel Hall Mission,416-504-3563,information@evangelhall.ca,552 Adelaide St WToronto  ONM5V 3W8,www.evangelhall.ca
WAVE Clinic,416-415-4547,chsclientservices@georgebrown.ca,51 Dockside Dr  3rd FlToronto  ONM5A 0B6,www.georgebrown.ca/clinic
Healthy Smiles Ontario,,,33 King St W  PO Box 645Oshawa  ONL1H 8X1,www.ontario.ca/page/get-dental-care
Health Care Services - Dental Services,416-338-1790,info@rexdalechc.com,8 Taber RdEtobicoke  ONM9W 3A4,www.rexdalechc.com
Health Services, Health Promotion, Pathways to Education - Services in Partnership,416-744-0066,info@rexdalechc.com,8 Taber RdEtobicoke  ONM9W 3A4,www.rexdalechc.com
Healthy Smiles Ontario,Health Connection 705-721-7520,,80 Bradford St  Suite 403Barrie  ONL4N 6S7,www.simcoemuskokahealth.org
Faculty of Dentistry, Dental Clinic,416-864-8000 ; Children's Clinic 416-864-8280,,Faculty of Dentistry124 Edward StToronto  ONM5G 1G6,patients.dentistry.utoronto.ca/patients
Accurate Imaging Diagnostics,905-763-0009,info@accurateimagingdiagnostics.com,31 Disera Dr  Suite 200Thornhill  ONL4J 0A7,www.accurateimagingdiagnostics.com
Alliston Diagnostic Centre,705-434-0074,info@adcentre.ca,117 Young St  Unit 21-23Alliston  ONL9R 0E9,
Aurora Medical Centre X-Ray and Ultrasound,905-727-6232,info@omiclinics.ca,15017 Yonge St  Suite 101Aurora  ONL4G 1M5,www.omiclinics.ca
Bathurst Medical Centre X-Ray and Ultrasound,416-636-2196,info@omiclinics.ca,4256 Bathurst St  Unit 104Toronto  ONM3H 5Y8,www.omiclinics.ca
Bayview and Sheppard Diagnostic Clinic - BSA Diagnostics Medical Imaging,416-590-7915,,701 Sheppard Ave E  Suite 316Toronto  ONM2K 2Z3,www.bsadiagnostics.com
Bluewater Imaging - North York - 2221 Keele St,416-235-1249,info@bluewaterimaging.ca,2221 Keele St  Suite 106Toronto  ONM6M 3Z5,www.bluewaterimaging.ca
Bluewater Imaging - North York - 2737 Keele St,416-462-0064,info@bluewaterimaging.ca,2737 Keele St  Suite 114Toronto  ONM3M 3T6,www.bluewaterimaging.ca
Bluewater Imaging - North York - 960 Lawrence Ave W,416-462-0064,info@bluewaterimaging.ca,960 Lawrence Ave W  Suite 203Toronto  ONM6A 3B5,www.bluewaterimaging.ca/
Bluewater Imaging - Toronto - 2010 Eglinton Ave W,416-462-0064,info@bluewaterimaging.ca,2010 Eglinton Ave W  Suite 100Toronto  ONM6E 2K3,www.bluewaterimaging.ca
Bluewater Imaging - Woodbridge - 4600 Hwy 7,416-462-0064,info@bluewaterimaging.ca,4600 Hwy 7  Suite LL30Woodbridge  ONL4L 4Y7,www.bluewaterimaging.ca
Ontario Breast Screening Program,416-462-0064,obspwoodbridge@bluewaterimaging.ca,4600 Hwy 7  lower level 30Woodbridge  ONL4L 4Y7,www.bluewaterimaging.ca
Cachet Centre X-Ray and Ultrasound - Ontario Medical Imaging,905-887-3831,info@omiclinics.ca,9255 Woodbine AveMarkham  ONL6C 1Y9,www.omiclinics.ca
Canadian Vascular Laboratories - Newmarket,905-953-9044,info@cvlab.ca,535 Mulock Dr  Suite 300Newmarket  ONL3Y 5H2,www.cvlab.ca/
Canadian Vascular Laboratories - Thornhill,416-221-9001,info@cvlab.ca,30 Disera Dr  Suite 200Thornhill  ONL4J 0A7,www.cvlab.ca/
CardioMatters Diagnostics - Thornhill,905-881-0334,steeles@cardiomatters.com,398 Steeles Ave W  Unit 11-14Thornhill  ONL4J 6X3,www.cardiomatters.com
CCMSU Medical Imaging,416-391-5778,info@ccmsu.com,240 Duncan Mill Rd  Suite 804Toronto  ONM3B 3S6,www.ccmsu.com
Central X-Ray and Ultrasound,905-775-8404,,Shoppes at Summerlyn459 Holland St W  Unit 4FBradford  ONL3Z 0C1,www.centralxray.ca
Dixie X-ray Associates - North York - 2065 Finch Ave W,416-745-8050,info@dixiexray.com,Oakdale Medical Bldg2065 Finch Ave WToronto  ONM3N 2V7,www.dixiexray.com
Dixie X-Ray Associates - Vaughan - Weston Rd,905-850-7478,,Columbus Medical Arts Building8333 Weston Rd  Suite B1Woodbridge  ONL4L 8E2,www.dixiexray.com
DMS X-Ray and Ultrasound,416-628-7710,,7155 Woodbine Ave  Suite B-104Markham  ONL3R 1A3,www.humbervalleyimaging.com/locations
Downsview Clinic Cardiology and Ultrasound,416-633-0045,,906 Sheppard Ave W  Suite 6Toronto  ONM3H 2T5,www.downsviewclinic.ca
Downsview X-Ray and Ultrasound,416-633-6619,downsviewbookings@gmail.com,2830 Keele St  Unit 201Toronto  ONM3M 3E5,www.downsviewxrayultrasound.com/
Epic X-Ray and Ultrasound Cardiac Services,905-780-1125,,9651 Yonge StRichmond Hill  ONL4C 1V7,
Excellence Health Care X-Ray and Ultrasound,416-782-6333,Reception@ExcellenceHC.ca,Dufferin Business Centre2700 Dufferin St  Unit 56Toronto  ONM6B 4J3,www.excellencehc.ca
