Store,phone,email,address,website
Canadian Blood Services - Oshawa Blood Donor Clinic,,feedback@blood.ca,1300 Harmony Rd NOshawa  ONL1K 2B1,www.blood.ca
Canadian Blood Services - Peterborough Blood Donor Clinic,705-749-9564,feedback@blood.ca,55 George St NPeterborough  ONK9J 3G2,www.blood.ca
Canadian Blood Services - Scarborough Mobile Unit - 1250 Markham Rd,,feedback@blood.ca,Global Kingdom Ministries1250 Markham RdToronto  ONM1H 2Y9,www.blood.ca
Canadian Blood Services - Scarborough Mobile Unit - 2331 Lawrence Ave E,,feedback@blood.ca,McGregor Park Community Centre2331 Lawrence Ave EToronto  ONM1P 2P5,www.blood.ca
Canadian Blood Services - Scarborough Mobile Unit - 2901 Markham Rd,,feedback@blood.ca,Markham Convention Centre2901 Markham RdToronto  ONM1X 0B6,www.blood.ca
Canadian Blood Services - Scarborough Mobile Unit - 3250 Finch Ave E,,feedback@blood.ca,Finch Alliance Church3250 Finch Ave EToronto  ONM1W 2Y1,www.blood.ca
Canadian Blood Services - Scarborough Mobile Unit - 56 Lawson Rd,,feedback@blood.ca,St. Dunstan of Canterbury Church56 Lawson RdToronto  ONM1C 2J2,www.blood.ca
Canadian Blood Services,613-739-2300,feedback@blood.ca,1800 Alta Vista DrOttawa  ONK1G 4J5,www.blood.ca
Infusion Clinic,905-433-4002,on-scheduling@bayshore.ca,1 Mary St N Unit COshawa  ONL1G 7W8,www.bayshore.ca/office-locations/oshawa/
R. S. McLaughlin Durham Regional Cancer Centre,905-576-8711 ext 33282,,1 Hospital CourtOshawa  ONL1G 2B9,www.lakeridgehealth.on.ca
Aboriginal Patient Navigator,905-576-8711 ext 32554,kmacleodbeaver@lakeridgehealth.on.ca,1 Hospital CourtOshawa  ONL1G 2B9,www.lakeridgehealth.on.ca
Northumberland Hills Hospital,905-372-6811,info@nhh.ca,1000 DePalma DrCobourg  ONK9A 5W6,www.nhh.ca
Colposcopy Clinic,705-876-5117,info@prhc.on.ca,1 Hospital Dr  W4Peterborough  ONK9J 7C6,www.prhc.on.ca
Community Dental Clinic,705-879-4100 press 2,dental@ccckl.ca,c/o Community Care City of Kawartha LakesKent Place Mall189 Kent St W  Suite 206Lindsay  ONK9V 5G6,www.ccckl.ca
