Store,phone,email,address,website
24 Canadian Forces Health Services Centre - Pharmacy,613-392-2811 ext 3712,,PO Box 1000Astra  ONK0K 3W0,www.cafconnection.ca/Trenton/Home.aspx
Amherstview Drugs - Kingston - Bath Rd,613-389-7301,,4499 Bath RdAmherstview  ONK7N 1A6,www.amherstviewdrugs.com
Brighton Global Health Pharmacy,613-475-6555,brightonpharmacy@gmail.com,12 Elizabeth StBrighton  ONK0K 1H0,www.facebook.com/Brightons-Global-Health-Pharmacy-...
Brockville Medical Pharmacy,613-498-1100,,100 Strowger Blvd  Suite 108Brockville  ONK6V 5J9,
Bryan's Pharmacy,613-542-7277,,235 Gore RdKingston  ONK7L 5H6,www.bryanspharmacy.ca/
Canadian Drug Mart,613-392-3330,,74 Dundas St WTrenton  ONK8V 3P3,
Costco Pharmacy - Kingston,613-545-0700,,1015 Centennial DrKingston  ONK7P 3B7,www.costco.ca/warehouse-locations/kingston-on-533....
County Drugstore,613-471-1200,countydrugstore@gmail.com,c/o Karl Sitarski219 Main StPicton  ONK0K 2T0,
Division Pharmacy,613-776-9292,divisionstreetrx@gmail.com,472 Division St  Unit 2Kingston  ONK7K 4B1,www.facebook.com/pages/category/Pharmacy---Drugsto...
DrugSmart Pharmacy - Kingston - Earl St (Queen's Centre),613-507-7775,dsp101@drugsmartpharmacy.ca,284 Earl St  Unit B400Kingston  ONK7L 2H8,www.drugsmartpharmacy.ca
DrugSmart Pharmacy - Sydenham,613-376-3842,dsp001@drugsmartpharmacy.ca,PO Box 449Sydenham  ONK0H 2T0,www.drugsmartpharmacy.ca
Food and Drug Basics Pharmacy - Belleville - Dundas St E,613-967-4785,,470 Dundas St EBelleville  ONK8N 1E9,www.metro.ca
Food and Drug Basics Pharmacy - Kingston - Bath Rd,613-549-6161,,1300 Bath RdKingston  ONK7M 4X5,www.foodbasics.ca
FreshCo Pharmacy - Kingston,613-542-7473,,2327 Princess StKingston  ONK7M 3G1,freshco.com
Graham's Clinic Pharmacy,613-767-8512,david@grahamspharmacy.ca,175 Princess StKingston  ONK7L 1A9,grahamspharmacy.ca/
Graham's Pharmacy,613-542-4111,david@grahamspharmacy.ca,168 Princess StKingston  ONK7L 1B1,
Guardian Pharmacy - Belleville (Kellys Drug Store),613-962-5388,,411 Bridge St EBelleville  ONK8N 1P7,www.kellysdrugstore.com
Guardian Pharmacy - Belleville - North Front St (Bellfront),613-779-9779,,366 North Front St  Unit 1Belleville  ONK8P 5E6,www.guardian-ida-pharmacies.ca/en/ontario/bellevil...
Guardian Pharmacy - Madoc - Durham St S,613-473-4112,,57 St Lawrence St EMadoc  ONK0K 2K0,www.guardian-pharmacy.ca
Guardian Pharmacy - Napanee,613-354-3321,,PO Box 126Napanee  ONK7R 3M3,www.guardian-ida-pharmacies.ca/en/ontario/napanee/...
Guardian Pharmacy - Northbrook (Tobia's),613-336-8111,info@tobiapharmacy.com,12357 Hwy 41Northbrook  ONK0H 2G0,www.tobiapharmacy.com
