Store,phone,email,address,website
A & B Pharmacy - Barrie,705-722-3343,,505 Yonge StBarrie  ONL4N 4E1,
Arcade and Jory Pharmacy,705-526-8011,,286 King StMidland  ONL4R 3M6,
Ben's Pharmacy - Orillia,705-327-7776,benspharmacyorillia@gmail.com,210 Memorial Ave  Unit 122Orillia  ONL3V 7V1,
Ben's Pharmacy - Rama,705-329-4548,,5884 Rama Rd SRama  ONL3V 6H6,
Ben's Pharmacy - Washago,705-689-5515,,PO Box 490Washago  ONL0K 2B0,
Brechin Pharmacy,705-484-0074,,Brechin  ONL0K 1B0,
Canadian Drug Mart - Barrie,705-739-1800,wellingtonwalkin200@gmail.com,200 Wellington St WBarrie  ONL4N 1K9,www.barriewalkinclinic.ca/
City Med Pharmacy,705-327-3300,mycitymedpharmacy@gmail.com,43 Colborne St WOrillia  ONL3V 2Y5,www.citymedpharmacy.com
Colborne Pharmacy - Orillia,705-325-1115,,61 Colborne St WOrillia  ONL3V 2Y6,
Collingwood Health Centre Pharmacy,705-444-2268,,Collingwood Health Centre186 Erie St  Ste 108Collingwood  ONL9Y 4T3,
Costco Pharmacy - Barrie,705-733-0521,,41 Mapleview Dr EBarrie  ONL4N 9A9,www.costcopharmacy.ca/
Downtown Dispensary,705-325-4010,,188 Mississaga St EOrillia  ONL3V 1V9,
Drug Basics - Orillia,705-325-3257,,Food Basics975 West Ridge BlvdOrillia  ONL3V 8A3,www.foodbasics.ca
Dunlop IDA Pharmacy - Barrie - Anne St,705-737-2300,,7 Anne St S  Unit 3Barrie  ONL4N 2C4,
Eagle Ridge Pharmacy PharmaChoice,705-503-5551,eagleridgerx@gmail.com,Eagle Ridge Professional Centre480 Huronia Rd  Suite 103Barrie  ONL4N 6M2,eagleridgepharmacy.ca/
Elmvale Pharmasave,705-322-6464,elmvalepharmasave@gmail.com,1-70 Young StElmvale  ONL0L 1P0,www.elmvalepharmacy.com
Express Aid Pharmacy - Grove St E,705-720-2262,eapgrove@gmail.com,477 Grove St E  Unit 15Barrie  ONL4M 6M3,www.expressaidpharmacy.com
First Medical Pharmacy - Barrie,705-721-4616,,Victoria Village72 Ross StBarrie  ONL4N 1G3,
Fittons IDA Pharmacy - Community Pharmacy and Opiate Addiction Treatment,705-325-2999,,425 West St N  Unit 20/20BOrillia  ONL3V 7R2,www.ida-pharmacy.ca
Food and Drug Basics Pharmacy - Barrie,705-719-2311,,555 Essa RdBarrie  ONL4N 6A9,www.foodbasics.ca/drug-basics.en.html#resultat
Georgian Bay Clinic (The),705-527-4641,gbayclinic@gmail.com,286 King StMidland  ONL4R 3M6,
Guardian Pharmacy - Alcona,705-294-5500,alconapharmacy@yahoo.ca,1070 Innisfil Beach Rd  Unit 14Innisfil  ONL9S 4T9,
Guardian Pharmacy - Angus,705-424-5931,angusbordenpharmacy@yahoo.com,6 River Dr  Unit 1Angus  ONL0M 1B2,www.angusguardianpharmacy.com
Guardian Pharmacy - Coldwater,705-686-3356,coldwaterpharmacy@rogers.com,45 River StColdwater  ONL0K 1E0,
Guardian Pharmacy - Victoria Harbour,705-506-0301,taypharmacy@gmail.com,PO Box 179Victoria Harbour  ONL0K 2A0,www.simcoemed.com
Huntsville Place Mall Pharmacy,705-788-2896,,70 King William StHuntsville  ONP1H 2A5,
IDA - Creemore Village Pharmacy,705-466-2311,buyer@creemorevillagepharmacy.com,171 Mill StCreemore  ONL0M 1G0,creemorevillagepharmacy.com
IDA Pharmacy - Collingwood,705-445-4711,info@stuartellispharmacy.ca,169 Hurontario StCollingwood  ONL9Y 2M1,stuartellispharmacy.ca
IDA Pharmacy - Gravenhurst,705-687-2207,,PO Box 1300Gravenhurst  ONP1P 1X2,www.ida-pharmacy.ca
IDA Pharmacy - Huntsville,Pharmacy 705-789-2561 * Home Healthcare 705-789-7534,info@huntsvilleshometownida.ca,10 Main St EHuntsville  ONP1H 2C9,www.huntsvilleshometownida.ca
IDA Pharmacy - Wasaga Beach,705-429-7557 * Prescriptions: 705-429-2515,,30 45th St  Unit 1Wasaga Beach  ONL9Z 0A6,www.ida-pharmacy.ca
Independent Grocer Loblaws Pharmacy - Bracebridge,705-646-8995,,270 Wellington StBracebridge  ONP1L 1B9,www.drugstorepharmacy.ca
Innisfil Pharmasave,705-436-9999,innisfilpharmasave@gmail.com,Innisfil Medical Clinic1081 Innisfil Beach RdInnisfil  ONL9S 0N2,www.pharmasave.com
Laclie Guardian Pharmacy,705-325-1111,lacliepharmacyorillia@gmail.com,400 Laclie St  Unit 1Orillia  ONL3V 4P5,www.pharmacyorillia.ca
Letitia Pharmacy - Leacock Dr,705-725-6033,elena@letitiapharmacy.com,420 Leacock DrBarrie  ONL4N 5G5,
Little Avenue Pharmacy,705-503-0606,pch705@pharmachoice.com,110 Little Ave  Unit 11Barrie  ONL4N 4K8,www.littleavenuepharmacy.com
Loblaw Great Food DRUGStore Pharmacy - Collingwood,705-445-0461,phr01127@loblaw.ca,12 Hurontario StCollingwood  ONL9Y 3Z4,www.loblawgreatfood.ca
Loblaw Pharmacy #1005 - Barrie - Bayfield St,705-735-9884,phr01005@loblaw.ca,472 Bayfield St NBarrie  ONL4M 5A2,www.loblaws.ca/pharmacy
Loblaw Pharmacy - Orillia,Pharmacy: 705-325-5196Zehrs: 705-325-5777,,289 Coldwater RdOrillia  ONL3V 6J3,www.drugstorepharmacy.ca
Loblaws DRUGStore Pharmacy - Huntsville,705-787-0922,phr02719@loblaw.ca,131 Howland DrHuntsville  ONP1H 2P7,www.drugstorepharmacy.ca
Major's Pharmacy,705-429-9191,majorspharmacy@outlook.com,587 River Rd W  Unit 9Wasaga Beach  ONL9Z 2P2,
Mapleview Medical Pharmacy,705-503-6200,,225 Mapleview Dr E  Unit 2Barrie  ONL4N 0W5,www.mapleviewpharmacy.com
Metro Pharmacy - Collingwood,705-446-2002,,640 First StCollingwood  ONL9Y 4Y7,www.metro.ca
Metro Pharmacy - Orillia,705-323-9334,,70 Front St NOrillia  ONL3V 4R8,www.metro.ca
Mini Major's Pharmacy,705-429-6700,majorspharmacy@outlook.com,14 Ramblewood Dr  Suite 103Wasaga Beach  ONL9Z 0C4,
Muskoka Medical Centre Pharmacy,705-789-1785,remedysrx348@gmail.com,Huntsville Professional Building348 Muskoka Rd 3 N  Unit 101Huntsville  ONP1H 1H8,www.remedys.ca
New Life Family Pharmacy,705-733-1228,newlifefamilypharmacy@gmail.com,201 Hurst Dr  Unit 12Barrie  ONL4N 8K8,
Orillia Pharmacy,705-325-5555,orilliapharmacy@rogers.com,16 O'Brien St  Unit 101Orillia  ONL3V 5S2,orilliapharmacy.com
Pharma Plus - Barrie - Duckworth St,705-739-0027,,353 Duckworth StBarrie  OnL4M 3X8,www.rexall.ca
Pharma Plus - Barrie - Wellington St,705-727-0006,1396rx@rexall.ca,121 Wellington St WBarrie  OnL4N 1L3,www.rexall.ca
Pharmachoice - Port Carling - Apothecary Shop (The),705-765-6866,apothecaryshop6866@gmail.com,Box 418Port Carling  ONP0B 1J0,www.pharmachoice.com/locations/the-apothecary-shop
Pharmasave - Allandale Pharmasave,705-728-2823,,21 C Essa RdBarrie  ONL4N 3K4,www.pharmasaveallandale.com/
Pharmasave - Collingwood,705-444-7997,collingwoodpharmasave@gmail.com,460 Hume St  Unit 6Collingwood  ONL9Y 1W6,
Pharmasave - Cookstown,705-458-1292,pharmasave01@bellnet.ca,52 Queen St  Unit 2Cookstown  ONL0L 1L0,www.pharmasave.com
Pharmasave - Huntsville,705-789-7300,,29 Main St EHuntsville  ONP1H 2C6,www.pharmasave.ca
