Store,phone,email,address,website
Alban Pharmacy,705-857-2349,smorin@noelvillepharm.ca,PO Box 100Alban  ONP0M 1A0,
Algonquin Pharmasave and Compounding Centre - North Bay,705-474-8630,,1221 Algonquin AveNorth Bay  ONP1B 4Y3,www.algonquinpharmasave.com
Apothecarium Pharmacy - Sault Ste Marie,705-949-1000,pharmacist@apothecarium.ca,341 Trunk RdSault Ste Marie  ONP6A 3S9,
Arnica Medical Pharmacy - Burk's Falls,705-382-2111,,162 Huston StBurk's Falls  ONP0A 1C0,
Ben's Pharmacy - Parry Sound,705-746-4811,benspharmcy@gmail.com,60 Bowes St  Unit 102Parry Sound  ONP2A 2L3,
Bradley Pharmacy - Sudbury,705-675-5693,bradleypharmacy@hotmail.com,430 Notre Dame AveSudbury  ONP3C 5K7,
Central Algoma Pharmacy - Bruce Mines,705-785-3555,centralalgoma@remedysrx.ca,Central Algoma Health Centre9242 Hwy 17 EBruce Mines  ONP0R 1C0,www.brucemines.ca/health%20centre.html
Central Mall Drug Mart - Sault Ste Marie,705-942-7987,,701 Pine StSault Ste Marie  ONP6B 3G2,
Central Pharmacy - Gore Bay,705-282-2409,,PO Box 60Gore Bay  ONP0P 1H0,
Costco Pharmacy - Sudbury,705-524-8255 ext 4,w257phm@costco.com,1465 KingswaySudbury  ONP3B 0A5,www.costco.ca
Drug Basics - Sudbury,705-523-9994,100538rx3@metro.ca,1875 Regent St SSudbury  ONP3E 3Z7,
Earlton's Pharmacy,705-563-8300,ealtonpharmacy@gmail.com,14 10th StEarlton  ONP0J 1E0,
Pharmacy,705-544-2301 ext 5266,,Box 69Englehart  ONP0J 1H0,www.edhospital.on.ca
Pharmacy,705-869-1420,info@esphosp.on.ca,825 McKinnon DrEspanola  ONP5E 1R4,www.erhhc.on.ca
Family Care Pharmacy - Iroquois Falls,705-232-2084,,190 Main StIroquois Falls  ONP0K 1G0,
Fares Health Group Pharmacy - North Bay,705-495-8117,info@nbregionalpharmacy.ca,PO Box 2500North Bay  ONP1B 5A4,www.nbregionalpharmacy.ca
Fenlon's Pharmacy - Wawa,705-856-2800,,88 Broadway AveWawa  ONP0S 1K0,
Findlay's Drug Store - New Liskeard,705-647-8186,info@findlaysdrugstore.com,247 Whitewood Ave WNew Liskeard  ONP0J 1P0,
Food and Drug Basics Pharmacy - Sault Ste Marie - 701 Pine St,705-945-8725,100505rx3@metro.ca,701 Pine StSault Ste Marie  ONP6B 3G2,
