Store,phone,email,address,website
Advantage Pharmacy - Curans Health Centre,807-346-8199,,1165 Barton StThunder Bay  ONP7B 5N3,
Ear Falls Pharmacy,807-222-2038,,PO Box 100Ear Falls  ONP0V 1T0,
Emo Drugs,Main: 807-482-2360807-482-2430,emodrugs@hotmail.com,PO Box 120Emo  ONP0W 1E0,
Extra Foods DRUGStore Pharmacy - Dryden,807-221-4444,,PO Box 878Dryden  ONP8N 2Z5,www.extrafoods.ca/store-locator/details/9078
Fort Frances Clinic Dispensary,807-274-6204,ffcdisp@jam21.net,301 Victoria AveFort Frances  ONP9A 2C1,
Guardian Pharmacy - Terrace Bay (Stewart),807-825-3666,,PO Box 670Terrace Bay  ONP0T 2W0,www.guardian-ida-pharmacies.ca
Janzen's Pharmacy - Thunder Bay - Bay St,807-345-1191,,296 Bay StThunder Bay  ONP7B 1R8,www.janzens.ca
Johnson's Pharmacy - Kenora,807-468-7412,,116 Main St SKenora  ONP9N 1S9,
Keewatin Family Pharmacy,807-547-6337,,Box 1069Keewatin  ONP0X 1C0,
Manitouwadge Pharmacy,807-826-3888,,2 Huron WalkManitouwadge  ONP0T 2C0,www.pharmachoice.com/
Marathon Drug Associates,807-229-1670,,2 Hemlo DrMarathon  ONP0T 2E0,www.guardian-ida-pharmacies.ca/
Medical Centre Pharmacy - Paterson Medical Centre,807-468-4414,,45 Wolsley StKenora  ONP9N 3W7,
Metro Pharmacy - Thunder Bay,807-344-1040,,640 River StThunder Bay  ONP7A 3S4,www.metro.ca/en/find-a-grocery/308
Nofrills DRUGStore Pharmacy - Kenora,807-468-1868,,534 Park StKenora  ONP9N 1A1,www.nofrills.ca
Oak Medical Arts - Academy,807-344-2282,,554 Beverly StThunder Bay  ONP7B 5V2,www.oakmedicalarts.com
Oak Medical Arts - Mountdale Pharmacy,807-577-8700,,620 Arthur St WThunder Bay  ONP7E 5R8,www.oakmedicalarts.com
Oak Medical Arts - River Terrace,807-343-0010,,1260 Golf Links RdThunder Bay  ONP7B 0A1,www.oakmedicalarts.com
Oak Medical Arts - Waterfront,807-767-7002,,106 Cumberland St NThunder Bay  ONP7A 4M2,www.oakmedicalarts.com
Pharmasave - Dryden,807-223-7337,,35 Whyte Ave  Unit 1Dryden  ONP8N 1Z2,
Pharmasave - Fort Frances,807-274-5383,,140 Scott StFort Frances  ONP9A 1G6,pharmasave.com/store/pharmasave-fort-frances/
Pharmasave - Kenora (Tilley's),807-468-7913,,201 Main St SKenora  ONP9N 1T3,
Rainy Lake First Nations Pharmacy - Fort Frances,807-274-3319,edwinb@vianet.ca,c/o EJ BruyerePO Box 326Fort Frances  ONP9A 3M7,
Rainy River Drugs,807-852-3264,rainyriverdrugs@hotmail.ca,PO Box 160Rainy River  ONP0W 1L0,
Real Canadian Superstore DRUGStore Pharmacy - Thunder Bay,807-343-4535,,971 Carrick StThunder Bay  ONP7B 6L9,www.drugstorepharmacy.ca
Red Lake Pharmacy,807-727-2255,,Box 890Red Lake  ONP0V 2M0,
Remedy'sRx Pharmacy - Sioux Lookout,807-737-4998,siouxremedysrx@bellnet.ca,PO Box 699Sioux Lookout  ONP8T 1B1,
Rexall Drug Store - Atikokan,807-597-2785,8167rx@rexall.ca,PO Box 490Atikokan  ONP0T 1C0,www.rexall.ca
Rexall Drug Store - Sioux Lookout - Front St,807-737-1100,6955rx@rexall.ca,PO Box 159Sioux Lookout  ONP8T 1A3,www.rexall.ca
Rexall Pharmacy - Geraldton,807-854-1025,6928rx@rexall.ca,305 Main StGeraldton  ONP0T 1M0,www.rexall.ca
Rexall Pharmacy - Longlac,807-876-1212,6905rx@rexall.ca,101 King StLonglac  ONP0T 2A0,www.rexall.ca
Rexall Pharmacy - Nipigon,807-887-2325,6936rx@rexall.ca,54 Front StNipigon  ONP0T 2J0,www.rexall.ca
Rexall Pharmacy - Thunder Bay (West Arthur Place),807-622-7079,8170rx@rexall.ca,1265 Arthur St E  Suite 100  1st FlThunder Bay  ONP7E 6E7,www.rexall.ca/storelocator/
RX Drug Mart - Sioux Lookout - Fourth Ave N,807-737-3434,,PO Box 1804Sioux Lookout  ONP8T 1C5,
Safeway Pharmacy - Fort Frances,807-274-0363,rx4809@sobeys.com,417 Scott StFort Frances  ONP9A 1H3,
Safeway Pharmacy - Thunder Bay - Arthur St W,807-475-4470,rx4811@sobeys.com,115 Arthur St WThunder Bay  ONP7E 5P7,www.safeway.ca
Safeway Pharmacy - Thunder Bay - Court St,807-345-1719,rx4807@sobeys.com,70 Court St NThunder Bay  ONP7A 4T8,www.safeway.ca
Safeway Pharmacy - Thunder Bay - Dawson Rd,807-768-0508,rx4812@sobeys.com,1015 Dawson RdThunder Bay  ONP7B 6S7,www.safeway.ca
Shoppers Drug Mart - Dryden,807-223-3535,asdm1292@shoppersdrugmart.ca,25 Duke StDryden  ONP8N 1E6,www1.shoppersdrugmart.ca/en/store-locator/store/12...
Shoppers Drug Mart - Fort Frances,807-274-5351,asdm1392@shoppersdrugmart.ca,375 Scott StFort Frances  ONP9A 1H1,www1.shoppersdrugmart.ca/en/Store-Locator/store/13...
Shoppers Drug Mart - Kenora,807-468-8869,asdm1355@shoppersdrugmart.ca,305 Main St SKenora  ONP9N 1T4,www1.shoppersdrugmart.ca
Shoppers Drug Mart - Thunder Bay - 1186 Memorial Ave,807-623-3601,asdm680@shoppersdrugmart.ca,1186 Memorial Ave  Pad 1Thunder Bay  ONP7B 5K5,www.shoppersdrugmart.ca
Shoppers Drug Mart - Thunder Bay - 300 Memorial Ave,807-343-3010,asdm1337@shoppersdrugmart.ca,300 Memorial AveThunder Bay  ONP7B 3Y2,www.shoppersdrugmart.ca
Shoppers Drug Mart - Thunder Bay - 572 Arthur St W,807-577-9700,asdm1312@shoppersdrugmart.ca,572 Arthur St WThunder Bay  ONP7E 5R7,www.shoppersdrugmart.ca
Shoppers Drug Mart - Thunder Bay - 900 Arthur St E,807-623-2390,asdm677@shoppersdrugmart.ca,900 Arthur St EThunder Bay  ONP7E 5M8,www.shoppersdrugmart.ca
Shoppers Drug Mart - Thunder Bay - Arundel St,807-683-6206,asdm1534@shoppersdrugmart.ca,320 Arundel StThunder Bay  ONP7A 1L3,www.shoppersdrugmart.ca
Shoppers Drug Mart - Thunder Bay - Court St N,807-345-5611,asdm681@shoppersdrugmart.ca,194 Court St NThunder Bay  ONP7A 4V7,www.shoppersdrugmart.ca
Shoppers Drug Mart - Thunder Bay - Edward St N,807-475-5385,asdm679@shoppersdrugmart.ca,425 Edward St NThunder Bay  ONP7C 4P7,www.shoppersdrugmart.ca
Shoppers Drug Mart - Thunder Bay - Frederica St W,807-475-7337,asdm1536@shoppersdrugmart.ca,151 Frederica St WThunder Bay  ONP7E 3V8,www.shoppersdrugmart.ca
Shoppers Drug Mart - Thunder Bay - Red River Rd,807-767-4411,asdm1525@shoppersdrugmart.ca,901 Red River RdThunder Bay  ONP7B 1K3,www.shoppersdrugmart.ca
Shoppers Drug Mart - Thunder Bay - Ridgeway Clinic,807-623-7431,asdm3027@shoppersdrugmart.ca,1001 Ridgeway St EThunder Bay  ONP7E 5H8,www.shoppersdrugmart.ca
Shoppers Drug Mart - Thunder Bay - River St,807-345-8012,asdm678@shoppersdrugmart.ca,640 River StThunder Bay  ONP7A 3S4,www.shoppersdrugmart.ca
Thunder Bay Medical Centre,Building Manager: 807-344-7071,tbaymedcentre@gmail.com,63 Algoma St N  Suite 100Thunder Bay  ONP7A 4Z6,tbaymedicalcentre.com
Thunder Bay Medical Pharmacy - Medisystem Pharmacy,807-345-5022,,977 Alloy Dr  Unit 9Thunder Bay  ONP7B 5Z8,www.medicalpharmacies.com
