Store,phone,email,address,website
Access Care Pharmacy,519-290-6100,1accesscarepharmacy@gmail.com,35 Metcalf StWoodstock  ONN4S 3E6,
AIM Drug Mart Pharmacy,519-432-3763,aimdrugmart@gmail.com,450 Central Ave  Unit 109London  ONN6B 2E8,
Bayside Pharmacy,519-534-5090,bayside@sunshinedrugs.com,PO Box 1150Wiarton  ONN0H 2T0,www.guardian-ida-pharmacies.ca/en/ontario/wiarton/...
Beaverbrook Pharmacy,519-641-1499,,1261 Beaverbrook AveLondon  ONN6H 0G6,www.guardian-ida-pharmacies.ca/en/ontario/london/b...
Bellwood Pharmacy,519-457-6026,contact@bellwoodrx.com,Bellwood Plaza900 Oxford St E  Unit 14London  ONN5Y 5A1,www.bellwoodrx.com
Berkshire Pharmacy,519-601-3784,,460 Berkshire DrLondon  ONN6J 3S1,
Blyth Pharmacy,226-256-8383,ghiasi_ramin@yahoo.com,442 Queen St  PO Box 396Blyth  ONN0M 1H0,rominaghiasi3.wixsite.com/website-5
Canadian Apothecary,519-439-4100,info@canadianapothecary.com,1064 Adelaide St NLondon  ONN5Y 2N1,www.canadianapothecary.com
Care Plus Pharmacy,519-204-4608,,100 Belmont Dr  Unit 9London  ONN6J 4W3,
Carerx Pharmacy,519-668-7246,info-london@classiccare.ca,112 Newbold CourtLondon  ONN6E 1Z7,carerx.ca/
Carling Heights Pharmacy,519-451-7775,,124 Barker StLondon  ONN5Y 1Y1,
CDS Pharmacy - Ailsa Craig,519-293-3246,,163 Main StAilsa Craig  ONN0M 1A0,
CDS Pharmacy - London - Wonderland Rd N,519-472-2345,,1695 Wonderland Rd N  Unit BLondon  ONN6G 4W3,
CDS Pharmacy - Mount Brydges,519-264-2000,,22534 Adelaide RdMount Brydges  ONN0L 1W0,
Chapman's Pharmacy,519-439-8411,,650 Dundas StLondon  ONN5W 2Y8,
Chesley Pharmacy,226-433-2433,,38 1st Ave SChesley  ONN0G 1L0,
Commissioners Pharmacy,519-438-5555,,163 Commissioners Rd WLondon  ONN6J 1X9,www.commissionerspharmacy.com
Costco Pharmacy - London - Wellington Rd S,519-691-0643,,4313 Wellington Rd SLondon  ONN6E 2Z8,www.costco.ca/warehouse-locations/westminster-on-l...
Costco Pharmacy - London - Wonderland Rd N,519-474-5303,,693 Wonderland Rd NLondon  ONN6H 4L1,www.costco.ca/warehouse-locations/n-london-london-...
Delaware Pharmacy,519-652-5558,delawarepharmacy@bellnet.ca,11569 Longwoods RdDelaware  ONN0L 1E0,www.delawarepharmacy.ca
Dundas Pharmacy,519-601-3555,,1560 Dundas St  Unit 5London  ONN5W 3C1,
Ernest Pharmacy,519-681-1888,,1408 Ernest AveLondon  ONN6E 3B2,
Excel Pharmacy - PharmaChoice - Ilderton - Heritage Dr (Excel),519-666-0440,,36 Heritage DrIlderton  ONN0M 2A0,www.pharmachoice.com/locations/excel/
First Ave Pharmacy,519-207-5111,info@firstavepharmacy.com,c/o Phong Do24 First Ave  Unit 4St Thomas  ONN5R 4M5,www.firstavepharmacy.com
FJS Wellness Pharmacy,519-472-4444,,925 Wonderland Rd S  Unit BLondon  ONN6K 3R5,
Flesherton Pharmacy,519-924-3007,,Box 370Flesherton  ONN0C 1E0,
FMC Pharmacy,519-858-8000,fmcpharmacy215@gmail.com,c/o Michael Bosta215 Fanshawe Park Rd W  Suite 102London  ONN6G 5A9,
Food and Drug Basics Pharmacy - London,519-471-3699,,Manax's Food and Drug Basics509 Commissioners Rd WLondon  ONN6J 1Y5,www.foodbasics.ca
Food and Drug Basics Pharmacy - Stratford,519-271-4555,,925 Ontario StStratford  ONN5A 6W5,www.foodbasics.ca
Grace Drug Store,519-473-1001,gracemedicines@gmail.com,Grace Medical Building1070 Gainsborough RdLondon  ONN6H 5L5,
Retail Pharmacy,519-372-3926,web@gbhs.on.ca,1800 8th St E  Box 1800Owen Sound  ONN4K 6M9,www.gbhs.on.ca/pharmacy
Guardian Pharmacy - Belmont (Belmont Pharmacy),519-558-2010,pharmacybelmont@gmail.com,14091 Belmont RdBelmont  ONN0L 1B0,www.guardian-ida-pharmacies.ca/en/ontario/belmont/...
Guardian Pharmacy - Exeter,519-235-1570,,38-44 Thames Rd EExeter  ONN0M 1S3,www.guardian-pharmacy.ca
Guardian Pharmacy - Glencoe,519-287-2731,,Box 247Glencoe  ONN0L 1M0,www.guardian-ida-pharmacies.ca/en/ontario/glencoe/...
Guardian Pharmacy - Ingersoll,519-303-0255,gmikhaiel@yahoo.com,17 Thames St SIngersoll  ONN5C 2S8,www.guardian-ida-pharmacies.ca/en/ontario/ingersol...
Guardian Pharmacy - London - Dundas St (Coulter's),519-451-0750,info@coulterspharmacy.com,1709 Dundas St ELondon  ONN5W 3E1,www.guardian-ida-pharmacies.ca/en/ontario/london/c...
