Store,phone,email,address,website
A and K Pharmacy,519-954-2002,,301 King St E  Unit 204Kitchener  ONN2G 2L2,
AIM Medical Pharmacy,519-576-8226,,550 King St EKitchener  ONN2G 2L8,
Apothecare Pharmacy,519-954-1055,pharmacist@apothecarepharmacy.ca,439 Park StKitchener  ONN2G 1N4,www.apothecarepharmacy.ca
Arkell Pharmacy,519-822-7859,pharmacy@arkellmedical.ca,403 Arkell Rd  Unit 4Guelph  ONN1L 1E5,www.arkellmedical.ca
Beechwood Forest Pharmacy,519-579-6400,,890 Glasgow StKitchener  ONN2N 3G6,
Beechwood Wellness Pharmacy,519-884-1025,beechwoodwellnesspharmacy@gmail.com,420 Erb St W  Unit 7Waterloo  ONN2L 6H6,
Belgage Pharmacy,519-576-2900,info@belgagepharmacy.com,525 Belmont Ave WKitchener  ONN2M 5E2,belgagepharmacy.com
Belmont Park Pharmacy,519-742-4654,myhealthpark@gmail.com,535 Belmont Ave WKitchener  ONN2M 5E9,
Beveridge and Brown Clinic Pharmacy,519-623-4116,beveridge.pharmacy@gmail.com,167 Hespeler RdCambridge  ONN1R 3H7,
Cambridge Medical Pharmacy,5192198500,cambridgemedicalpharmacy@gmail.com,c/o Cambridge Medical Pharmacy1174 King StreetCambridge  ONN3H3P6,
Campus Drugmart and Postal Outlet - Guelph,Pharmacy 519-823-5511Postal outlet 1-866-607-6301,,35 Harvard RdGuelph  ONN1G 3A2,www.guardian-ida-pharmacies.ca/en/ontario/guelph/c...
Casey's Pharmacy,519-622-2350,,115 Christopher DrCambridge  ONN1R 4S1,brierdale.com
Centre Wellington Remedy'sRx - Fergus,226-383-9461,cwellington2017@gmail.com,855 St David St N  Unit 1Fergus  ONN1M 2W3,www.remedys.ca/store.html/centrewellington
Chancellors Way Pharmacy,519-824-6445,info@cwpharm.ca,175 Chancellors WayGuelph  ONN1G 0E9,chancellorswaypharmacy.com
Chiron Compounding Pharmacy,519-824-7887,,503 Imperial Rd N  Unit 3Guelph  ONN1H 6T9,www.chironcompounding.com
Cook's Pharmacy (New Hamburg - Huron St),519-662-2640,newhamburg@cooksrx.ca,75 Huron StNew Hamburg  ONN3A 1K1,www.guardian-ida-pharmacies.ca/en/ontario/new-hamb...
Cook's Pharmacy (Wellesley - Queen's Bush Rd),519-656-2240,wellesley@cooksrx.ca,1201C Queen's Bush RdWellesley  ONN0B 2T0,www.guardian-ida-pharmacies.ca/en/ontario/wellesle...
Coronation Medical Pharmacy,519-623-4221,cambridgepharmacy@gmail.com,695 Coronation BlvdCambridge  ONN1R 7J9,www.remedys.ca/en/ontario/cambridge/coronation-med...
Costco Pharmacy - Guelph,519-780-5710,,19 Elmira Rd SGuelph  ONN1K 0B6,www.costco.ca
Costco Pharmacy - Kitchener Warehouse,519-653-4408,,4438 King St EKitchener  ONN2G 3W6,www.costcopharmacy.ca
Costco Pharmacy - Waterloo Warehouse,226-215-1115,,930 Erb St WWaterloo  ONN2J 3Z4,www.costcopharmacy.ca
Doon Village Pharmacy,519-895-8989,rx@doonvillagepharmacy.ca,601 Doon Village RdKitchener  ONN2P 1T6,www.doonrx.com
Dundalk Village Pharmacy,519-923-2215,dundalkvillagepharmacy@gmail.com,1 Main St EDundalk  ONN0C 1B0,www.guardian-ida-pharmacies.ca/en/ontario/dundalk/...
Edinburgh Pharmacy - Guelph,519-265-6002,medical@edinburghmedical.ca,492 Edinburgh Rd SGuelph  ONN1G 4Z1,
Eramosa Pharmacy - Guelph,519-265-5251,eramosapharmacy@gmail.com,247 Eramosa Rd  Units 2 and 3Guelph  ONN1E 2M5,eramosapharmacy.ca
Erin Pharmacy,519-315-2000 ; 519-315-2001,,6 Thompson CresErin  ONN0B 1T0,
Fairway River Pharmacy,519-896-6666,fairiverpharmacy@gmail.com,1401 River Rd E  Suite 4BKitchener  ONN2A 3X9,www.guardian-ida-pharmacies.ca/en/ontario/kitchene...
Fergus Pharmacy and Compounding Centre,226-383-8000,ferguspharmacy@gmail.com,500 Garafraxa St E  Unit BFergus  ONN1M 1E7,www.ferguspharmacy.com
Food and Drug Basics Pharmacy (Cambridge - Water St),519-622-6868,,95 Water St NCambridge  ONN1R 3B5,www.foodbasics.ca
Food and Drug Basics Pharmacy (Elmira - Arthur St),519-669-3003,,232 Arthur St SElmira  ONN3B 2P2,www.foodbasics.ca
Food and Drug Basics Pharmacy (Kitchener - Fairway Rd),519-896-3100,,655 Fairway Rd SKitchener  ONN2C 1X4,www.foodbasics.ca
Food and Drug Basics Pharmacy (Kitchener - Highland Rd),519-578-4343,,370 Highland Rd WKitchener  ONN2M 5J9,www.foodbasics.ca
Food and Drug Basics Pharmacy (Kitchener - Ottawa St),519-894-8282,,1405 Ottawa St NKitchener  ONN2A 1H3,www.foodbasics.ca
Food and Drug Basics Pharmacy - Guelph,519-766-4666,,222 Silvercreek Pkwy NGuelph  ONN1H 8E8,www.foodbasics.ca/expert.en.html
Forbes Park Pharmacy,519-658-0001,info@forbesparkpharmacy.com,Forbes Park Medical Centre26 Forbes StCambridge  ONN3C 2E2,www.forbesparkpharmacy.com
Franklin Pharmacy,519-629-3857,,Franklin Medical Centre1150 Franklin BlvdCambridge  ONN1R 7J2,www.franklinmedicalcentre.com
Frederick Mall Pharmacy,519-745-4700,frederickmallpharmacy@gmail.com,385 Frederick StKitchener  ONN2H 2P2,www.frederickmallpharmacy.com
FreshCo Pharmacy - Hespeler and Dundas,519-620-0736,,1 Hespeler RdCambridge  ONN1R 8L4,www.freshco.com
