Store,phone,email,address,website
99 Pharmacy,416-977-8338,,436 Dundas St WToronto  ONM5T 1G7,
A & J Pharmacy,416-292-9898,aj.pharmacy@hotmail.com,2020 McNicoll AveToronto  ONM1V 0B5,
A & W Pharmacy - Scarborough - Alton Tower Circle,416-297-7711,,250 Alton Tower CircleToronto  ONM1V 3Z4,
A & W Pharmacy - Scarborough - Bamburgh Circle,416-492-5507,,325 Bamburgh CircleToronto  ONM1W 3Y1,
Action Pharmacy - Toronto - Bloor St W,416-766-2401,,2425 Bloor St W  Unit 101Toronto  ONM6S 4W4,
Advance Pharmacy,416-609-2222,,Splendid Shopping Mall4675 Steeles Ave E  Unit 2D18Toronto  ONM1V 0B7,
Agincourt Drug Mart,416-293-2436,,2020 Brimley RdToronto  ONM1S 4R7,
Agincourt Health Pharmacy,647-439-2466,,4023 Sheppard Ave EToronto  ONM1S 1S7,
Agincourt Pharmacy - Scarborough,416-293-4101,,4245 Sheppard Ave EToronto  ONM1S 1T6,
Akron Pharmacy - Etobicoke,416-259-6361,,2318 Lake Shore Blvd WToronto  ONM8V 1B5,
Albion Martingrove Pharmacy,416-749-9119,,1625 Albion Rd  Unit 104Etobicoke  ONM9V 1B7,
Albion Medical Pharmacy,416-740-5500,,900 Albion Rd  Unit A1Etobicoke  ONM9V 1A5,
Allcures Pharmacy,416-696-1400,allcures.rx@gmail.com,31 St Dennis Dr  Unit 1Toronto  ONM3C 1G7,
Anne Pharmacy,416-245-0280,,1749 Jane St  Unit 2Toronto  ONM9N 2S5,
Apollon Pharmacy,416-463-1195,,698 Danforth AveToronto  ONM4J 1L1,
Apotheca Compounding Pharmacy,416-322-0123,info@apothecapharmacy.ca,417 Spadina RdToronto  ONM5P 2W3,www.apothecapharmacy.ca
Apothecary Shop (The) - Scarborough,416-438-1010,,842 Markham RdToronto  ONM1H 2Y2,
Ash Medical Pharmacy,416-438-6085,info@ashmedicalpharmacy.ca,2900 Eglinton Ave E  Unit 3Toronto  ONM1J 2E4,www.myrxhealth.ca
Ashdale Pharmacy,416-469-2888,,1568 Queen St EToronto  ONM4L 1E9,
Austin's Drug Mart,416-293-4191,,4235 Sheppard Ave E  Unit 108Toronto  ONM1S 1T7,
Axis Augusta Central Pharmacy,416-961-6692,,360 College StToronto  ONM5T 1S6,
B and A Pharmachoice,416-537-4101,,15 Roncesvalles AveToronto  ONM6R 2K2,
Bathurst Drug Mart,416-221-2121,info@bathurstdrugmart.com,5987 Bathurst StToronto  ONM2R 1Z3,www.bathurstdrugmart.com
Bathurst-Wilson Pharmacy,416-638-1755,,322 Wilson AveToronto  ONM3H 1S8,www.guardian-ida-pharmacies.ca/en/ontario/downsvie...
Beech Medical Pharmacy,416-699-1118,beech@bellnet.ca,855 Kingston RdToronto  ONM4E 1R9,
Best Care Village Pharmacy - Scarborough,416-261-2838,,3170 Eglinton Ave EToronto  ONM1J 2H3,
Bio Pharmacy,416-654-2942,,1177 St Clair Ave WToronto  ONM6E 1B5,
Blair Court Pharmacy,416-423-9113,,266 Donlands AveToronto  ONM4J 5B1,
Bloom Pharmacy,416-977-0970,info@bloompharmacy.ca,266B Queens Quay WToronto  ONM5J 2N4,www.bloompharmacy.ca
Bloor Medical Pharmacy,416-516-6828,,1062 Bloor St WToronto  ONM6H 1M3,bloor-medical-pharmacy.business.site/
Bloor Park Pharmacy,416-531-2426,,728 Bloor St WToronto  ONM6G 1L4,
Bloor Sherbourne Pharmacy,416-944-1122,stifany@hotmail.com,608 Sherbourne StToronto  ONM4X 1X6,
Bloor Street Pharmacy,416-537-4649,info@bloorstpharmacy.com,849 Bloor St WToronto  ONM6G 1M3,www.bloorstpharmacy.com
Bloor West Village Pharmacy,416-766-6477,,2262 Bloor St WToronto  ONM6S 1N9,www.remedys.ca/en/ontario/toronto/bloor-west-pharm...
Bloor-Dundas Pharmacy,416-532-4465 * 416-533-7933,pharmcen@gmail.com,2333 Dundas St WToronto  ONM6R 3A6,
Blue Rose Medical Pharmacy,416-754-9000,info@bluerosepharmacy.com,1910 Kennedy Rd  Units 5-6Toronto  ONM1P 2L8,bluerosepharmacy.com
Blue Sky Pharmacy - Toronto - 1176 St Clair Ave W,416-901-1417,,1176 St Clair Ave W  Unit AToronto  ONM6E 1B4,www.blueskypharmacy.ca
Boniface Park Medical Pharmacy,416-438-9997,,700 Markham Rd  Unit 8Toronto  ONM1H 2A7,
Bonis-Birchmount Pharmacy,416-335-8877,,5 Bonis AveToronto  ONM1T 2T9,
Briarhill Pharmacy,416-784-5877,,2700 Dufferin St  Unit 63Toronto  ONM6B 4J3,
Brimley Pharmacy,416-292-7136,,127 Montezuma TrailToronto  ONM1V 1K4,
Broadon Pharmacy,416-463-0833,,607 Gerrard St EToronto  ONM4M 1Y2,
Broadview Medical Pharmacy,416-463-5955,usagin@gmail.com,743 Broadview AveToronto  ONM4K 2P6,
Brock Medical Pharmacy - Toronto - 1637 Dundas St W (Brock Medical),416-530-2755,,1637 Dundas St WToronto  ONM6K 1V2,
Burnview Drugs,416-439-3417,,Burnview Medical Building3225 Lawrence Ave EToronto  ONM1H 3C2,
Canadian Compounding Pharmacy - Toronto - Bloor St W,416-239-3566,compounding@medspharmacy.ca,2920 Bloor St WToronto  ONM8X 1B6,www.medspharmacy.ca/
Care and Health Pharmacy,416-357-2565,,2928 Danforth AveToronto  ONM4C 1M1,
Careplus Drug Mart,416-493-8884,,2950 Birchmount Rd  Unit 9Toronto  ONM1W 3G5,
