Store,phone,email,address,website
A & J Pharmacy,416-292-9898,aj.pharmacy@hotmail.com,2020 McNicoll AveToronto  ONM1V 0B5,
A & W Pharmacy - Scarborough - Alton Tower Circle,416-297-7711,,250 Alton Tower CircleToronto  ONM1V 3Z4,
A & W Pharmacy - Scarborough - Bamburgh Circle,416-492-5507,,325 Bamburgh CircleToronto  ONM1W 3Y1,
A+ Compounding Pharmacy,905-373-1900,,Pentel Plaza541 William St  Unit 2Cobourg  ONK9A 3A4,
Advance Pharmacy,416-609-2222,,Splendid Shopping Mall4675 Steeles Ave E  Unit 2D18Toronto  ONM1V 0B7,
Agincourt Drug Mart,416-293-2436,,2020 Brimley RdToronto  ONM1S 4R7,
Agincourt Health Pharmacy,647-439-2466,,4023 Sheppard Ave EToronto  ONM1S 1S7,
Agincourt Pharmacy - Scarborough,416-293-4101,,4245 Sheppard Ave EToronto  ONM1S 1T6,
Ajax Discount Pharmacy,905-686-7500,,1801 Harwood Ave N  Unit 4Ajax  ONL1T 0K8,
Alymer Street Pharmacy,705-741-1646,,296 Aylmer St NPeterborough  ONK9J 3K7,
Apothecary Shop (The) - Scarborough,416-438-1010,,842 Markham RdToronto  ONM1H 2Y2,
Ash Medical Pharmacy,416-438-6085,info@ashmedicalpharmacy.ca,2900 Eglinton Ave E  Unit 3Toronto  ONM1J 2E4,www.myrxhealth.ca
Austin's Drug Mart,416-293-4191,,4235 Sheppard Ave E  Unit 108Toronto  ONM1S 1T7,
Axis Victoria Drug Mart - Lindsay - 189 Kent St W,705-328-1999,,Kent Place Mall189 Kent St WLindsay  ONK9V 5G6,
Ben's Pharmacy - Beaverton,705-426-5300,,PO Box 770Beaverton  ONL0K 1A0,
Ben's Pharmacy - Cannington,705-432-2644,,6 Cameron St ECannington  ONL0E 1E0,
Ben's Pharmacy - Kirkfield,705-438-5033,,1030 Portage RdKirkfield  ONK0M 2B0,
Ben's Pharmacy - Woodville,705-439-2844,,PO Box 190Woodville  ONK0M 2T0,
Best Care Village Pharmacy - Scarborough,416-261-2838,,3170 Eglinton Ave EToronto  ONM1J 2H3,
Blue Rose Medical Pharmacy,416-754-9000,info@bluerosepharmacy.com,1910 Kennedy Rd  Units 5-6Toronto  ONM1P 2L8,bluerosepharmacy.com
Boniface Park Medical Pharmacy,416-438-9997,,700 Markham Rd  Unit 8Toronto  ONM1H 2A7,
Bonis-Birchmount Pharmacy,416-335-8877,,5 Bonis AveToronto  ONM1T 2T9,
Bowen's Pharmacy,905-239-5690,bowenspharmacy@gmail.com,88 Harwood Ave SAjax  ONL1S 2H6,www.remedys.ca
Bowmanville Medical Pharmacy,905-419-5200,,196 King St EBowmanville  ONL1C 1P1,
Brimley Pharmacy,416-292-7136,,127 Montezuma TrailToronto  ONM1V 1K4,
Burnham Medical Pharmacy,705-741-1199,burnhampharmacy@yahoo.com,370 Burnham StPeterborough  ONK9H 1T6,
Burnview Drugs,416-439-3417,,Burnview Medical Building3225 Lawrence Ave EToronto  ONM1H 3C2,
Careplus Drug Mart,416-493-8884,,2950 Birchmount Rd  Unit 9Toronto  ONM1W 3G5,
Charlotte Care Pharmacy,705-536-7777,charlottecarepharmacy@gmail.com,Medical Arts Building270 Charlotte St  Suite 100Peterborough  ONK9J 2V4,
Cliffside Pharmacy,416-264-3245,cliffsiderx@mail.com,2340 Kingston RdToronto  ONM1N 1V2,www.facebook.com/cliffsidepharmacy
Clinic Pharmacy - Bowmanville,905-623-7611,,Bowmanville Health Centre222 King St E  Suite 1006Bowmanville  ONL1C 1P6,www.bowmanvilleclinicpharmacy.com
Clinicare Discount Pharmacy,416-293-3436,clinicarepharmacy@gmail.com,2855 Markham Rd  Unit 103Toronto  ONM1X 0C3,
Cobourg Care Pharmacy,289-252-2335,cobourgcarepharmacy@gmail.com,609 William St  Unit 5ACobourg  ONK9A 3A5,
Cobourg Drug Mart,905-377-8600,cobourgdrugmart@gmail.com,9 Elgin St ECobourg  ONK9A 0A1,
Coby Pharmacy,705-454-1900,cobypharmacy@gmail.com,6662 Hwy 35 Main StCoboconk  ONK0M 1K0,
Costco Pharmacy - Ajax,905-619-2070,,150 Kingston Rd EAjax  ONL1Z 1E5,
Costco Pharmacy - Oshawa,905-404-4051,,130 Ritson Rd NOshawa  ONL1G 0A6,www.costco.ca
Costco Pharmacy - Peterborough,705-750-2609,,485 The ParkwayPeterborough  ONK9J 2A1,
Costco Pharmacy - Scarborough,416-288-1172,,1411 Warden AveToronto  ONM1R 2S3,www.costco.ca
Courtice Home Health Care and Compounding Pharmacy,905-432-8888,courtice.pharmasave@rogers.com,2727 Courtice RdCourtice  ONL1E 3A2,
Cure Pharmacy,416-533-4220,,1585 Markham Rd  Unit 108Toronto  ONM1B 2W1,www.guardian-ida-pharmacies.ca/en/ontario/scarboro...
Danny's Drugstore - Scarborough,416-266-3222,,2284 Kingston RdToronto  ONM1N 1T9,
Discovery Bay Pharmacy,905-428-8322,,570 Westney Rd S  Unit 23Ajax  ONL1S 6V5,
Doctors Pharmacy - Scarborough,416-490-0499,gtahealth1261@gmail.com,1261 Kennedy Rd  Unit BToronto  ONM1P 2L4,www.docspharm.com
Dryden Medical Pharmacy,905-430-7344,drydenmedical@gmail.com,3975 Garden StWhitby  ONL1R 3A4,
