Store,phone,email,address,website
Amherstburg Pharmacy Compounding and Wellness,519-736-2223,info@apcw.ca,433 Sandwich St SAmherstburg  ONN9V 3K8,www.apcw.ca
BMC Pharmacy - Chatham,519-358-1200,,69 Grand Ave EChatham  ONN7L 1V8,bmcpharmacy.ca
BMC Pharmacy - Sarnia,519-337-9900,bmcsarnia@hoganrxgroup.com,118 Victoria St NSarnia  ONN7T 5W9,
Bothwell Pharmacy,519-695-2723,,231 Main St NBothwell  ONN0P 1C0,
Brady's Drug Store - Belle River,519-715-9881,,190 Chisholm StBelle River  ONN0R 1A0,
Brady's Drug Store - Essex,519-961-9610,,186 Talbot Rd SEssex  ONN8M 1B6,
Bright's Grove Family Pharmacy,519-869-6900,info@bgfamilypharmacy.com,2670 Lakeshore Rd  PO Box 190Brights Grove  ONN0N 1C0,www.bgfamilypharmacy.ca
CDS Pharmacy,519-786-2104,,2 Main St SForest  ONN0N 1J0,
Elston Pharmacy,519-354-2444,elston.pharm@gmail.com,80 Grand Ave W  PO Box 2030Chatham  ONN7M 5L9,www.elstonpharmacy.com/
Christina Street Pharmacy,519-344-0100,,460 Christina St NSarnia  ONN7T 5W4,christinastreetpharmacy.com
Church Street Pharmacy,519-258-3333,goyeaupharmacy@yahoo.com,366 Wyandotte St WWindsor  ONN9A 5X2,www.remedys.ca/en/ontario/windsor/church-street-ph...
Comber Drug Store,519-687-3933,,6304b Main StComber  ONN0P 1J0,
Costco Pharmacy - Windsor - Walker Rd,519-972-6365,W534phm@costco.com,4411 Walker RdWindsor  ONN8W 3T6,www.costco.ca/warehouse-locations/windsor-on-534.h...
Dougall Pharmacy,519-967-8967,,3020 Dougall Ave  Unit 1Windsor  ONN9E 1S4,
Eastown Pharmacy - Eastside Discount Drug Store Inc,519-974-7776,etpharmacy@hotmail.com,Eastown Plaza2050 Lauzon RdWindsor  ONN8T 2Z3,www.facebook.com/eastownpharmacy
Elite Drug Mart,519-419-1602,,250 Tecumseh Rd E  Unit 200Windsor  ONN8X 2R3,
Elston Pharmacy,519-354-2444,elston.pharm@gmail.com,Chatham Kent Health Alliance80 Grand Ave W  1st FlChatham  ONN7M 5L9,www.elstonpharmacy.com
Essential Pharmacy - LaSalle,519-970-9359,george@essentialpharmacy.ca,6525 Malden Rd  Suite 3LaSalle  ONN9H 1T5,www.essentialpharmacy.ca
Essential Pharmacy - Windsor,519-252-1353,,Windsor Urgent Care2055 Huron Church RdWindsor  ONN9C 2L6,www.essentialpharmacy.ca
Family Health Pharmacy - Windsor - Hawthorne Dr,519-944-4451,familyhealthpharmacy@bellnet.ca,6720 Hawthorne DrWindsor  ONN8T 1J9,
First Medical Pharmacy - Windsor,519-252-3700,,2425 Tecumseh Rd E  Unit 100Windsor  ONN8W 1E6,www.medicalpharmacies.com/location-windsor-MP38
Food and Drug Basics Pharmacy - Chatham - St Clair St,519-351-1329,,448 St Clair StChatham  ONN7L 3K5,
Food and Drug Basics Pharmacy - Sarnia - Indian Rd S,519-337-1500,,Food Basics191 Indian Rd SSarnia  ONN7T 3W3,www.foodbasics.ca/drug-basics.en.html#SARNIA
Food and Drug Basics Pharmacy - Sarnia - London Rd,519-542-1551,,Metro1375 London RdSarnia  ONN7S 1P6,www.foodbasics.ca/drug-basics.en.html#SARNIA
Front Street Pharmacy,519-336-7575,,265 Front St N  Unit 111Sarnia  ONN7T 5S6,
Goyeau Pharmacy,519-258-3500,goyeaupharmacy@yahoo.com,1078 Goyeau StWindsor  ONN9A 1J1,www.remedys.ca/en/ontario/windsor/goyeau-pharmacy-...
Grand Marais Pharmacy,226-773-3367,grandmaraisrx@gmail.com,2930 Dominion BlvdWindsor  ONN9E 2M2,grandmaraismedicalcentre.webstarts.com/pharmacy.ht...
Guardian Pharmacy - Chatham,519-380-9000,chathampharmacy@yahoo.com,100 King St W  Unit K101Chatham  ONN7M 6A9,www.guardian-ida-pharmacies.ca/en/ontario/chatham/...
Guardian Pharmacy - Kingsville - Main St E (Malotts Pharmacy),519-733-3053,,59 Main St EKingsville  ONN9Y 1A1,www.guardian-ida-pharmacies.ca/en/ontario/kingsvil...
Guardian Pharmacy - Leamington (Thomson),519-326-5778,,20 Talbot St ELeamington  ONN8H 1L2,www.thomsonguardian.com
Guardian Pharmacy - Watford (McLaren),519-876-2213,mclarenpharmacydigital@gmail.com,5299 Nauvoo RdWatford  ONN0M 2S0,www.mclarenpharmacy.com
Guardian Pharmacy - Wheatley (Adamson),519-825-4111,guardian_wheatley@hotmail.com,1 Talbot St WWheatley  ONN0P 2P0,www.adamsonguardian.com/contact.html
Guardian Pharmacy - Windsor - 3955 Tecumseh Rd E (McGaffey Medical Pharmacy),519-944-1717,,3955 Tecumseh Rd EWindsor  ONN8W 1J5,www.guardian-ida-pharmacies.ca/en/ontario/windsor/...
Guardian Pharmacy - Windsor - 860 Tecumseh Rd E (Parent Avenue Medical),519-977-7700,parentavenuepharmacy@hotmail.com,860 Tecumseh Rd EWindsor  ONN8X 2S5,www.guardian-ida-pharmacies.ca/en/ontario/windsor/...
Guardian Pharmacy - Windsor - Dougall Ave (DMC Pharmacy),519-969-8700,,3335 Dougall AveWindsor  ONN9E 1S8,www.guardian-ida-pharmacies.ca/en/ontario/windsor/...
Guardian Pharmacy - Windsor - Lanoue St (Tecumseh Pharmacy Plus),519-979-7587,nadi_aries@hotmail.com,13390 Lanoue StWindsor  ONN8N 5E1,www.guardian-ida-pharmacies.ca/en/ontario/windsor/...
Guardian Pharmacy - Windsor - Lincoln Rd (Lincoln Road Pharmacy),519-973-7700,,1574 Lincoln RdWindsor  ONN8Y 2J4,www.guardian-ida-pharmacies.ca/en/ontario/windsor/...
Guardian Pharmacy - Windsor - McDougall St (Jackson Park Pharmacy),519-972-0500,,2475 McDougall StWindsor  ONN8X 3N9,www.guardian-ida-pharmacies.ca/en/ontario/windsor/...
Guardian Pharmacy - Windsor - Riverside Dr E (The Drive Pharmacy),519-974-7700,,7875 Riverside Dr EWindsor  ONN8S 1E1,www.guardian-ida-pharmacies.ca/en/ontario/windsor/...
Guardian Pharmacy - Windsor - Roseville Garden Dr (Roseville Pharmacy),519-944-6333,,2525 Roseville Garden DrWindsor  ONN8T 3J8,www.guardian-ida-pharmacies.ca/en/ontario/windsor/...
Guardian Pharmacy - Windsor - Wyandotte St E (Advantage Drug Mart),519-974-6991,,4900 Wyandotte St EWindsor  ONN8Y 1H7,www.guardian-ida-pharmacies.ca/en/ontario/windsor/...
Guardian Pharmacy - Windsor - Wyandotte St E (City Centre Pharmacy),519-254-0606,,500 Wyandotte St EWindsor  ONN9A 3H9,www.guardian-ida-pharmacies.ca/en/ontario/windsor/...
Health Trust Pharmacy,519-254-9888,,871 Ottawa St  Unit 300Windsor  ONN8X 2C9,
Hogan Pharmacy - Bluewater,519-332-1032,bluewater@hoganrxgroup.com,481 London RdSarnia  ONN7T 4X3,www.hoganpharmacy.com
Hogan Pharmacy - Corunna,519-862-5521,hogancorunna@hoganrxgroup.com,348 Lyndock StCorunna  ONN0N 1G0,www.hoganpharmacy.ca
Hogan Pharmacy - Petrolia,519-882-1840,,4177 Petrolia LinePetrolia  ONN0N 1R0,www.hoganpharmacy.com
