Store,phone,email,address,website
Nurse Practitioner Walk-In Clinic,613-332-1565 ext 224,,PO Box 1089Bancroft  ONK0L 1C0,www.bcfht.org
Bayview Medical Clinic - After Hours Walk-in Clinic,613-968-5709,,274 Dundas St  Suite 105Belleville  ONK8N 1E6,
CDK Family Medicine and Walk In Clinic and Virtual Visits,613-766-0318,contactCDK@gmail.com,175 Princess StKingston  ONK7L 1A9,www.cdkmd.com
Sutherland Dr Clinic,613-766-0318,contactCDK@gmail.com,105 Sutherland DrKingston  ONK7K 5V6,www.cdkmd.com
Chadha Medical Professional - Urgent Care Centre,613-389-3348,,Cataraque Town Centre945 Gardiners RdKingston  ONK7M 7H4,
Enhanced Care Medical Clinic and Virtual Visits,613-779-9779,reception@enhancedcare.ca,366 N Front St Unit 1Belleville  ONK8P 5E6,enhancedcare.ca/belleville/
Great Lakes Walk In Clinic (Telemedicine) - Trenton,613-955-0707,,290 Dundas St W  Unit 3Trenton  ONK8V 3R9,
Great Lakes Walk In Clinic - Belleville,613-967-9595,,690 Sidney StBelleville  ONK8P 4A8,
Urgent Care Centre - Brock St,613-544-3310,,166 Brock StKingston  ONK7L 5G2,www.kingstonhsc.ca/emergency-care
Open Access Days - Walk-In Clinic,613-342-2262,,25 Front Ave W Unit 1Brockville  ONK6V 4J2,www.llgamh.ca
Rapid Access Counseling - Walk-In Clinic,613-928-3460,,18 King StDelta  ONK0E 1G0,www.llgamh.ca
Rapid Access Counseling,613-382-4016,,21 Mill St Suite BGananoque  ONK6V 2L5,www.llgamh.ca
Rapid Access Counseling (Walk-in) Days,613-925-5940,,1652 County Rd 2Prescott  ONK0E 1T0,www.llgamh.ca
Medical Tree - Walk-In Clinic and virtual in-home consults,613-887-8733,info@medicaltree.ca,795 Gardiners Rd  Unit 6Kingston  ONK7M 7E6,www.medicaltree.ca/
Specialty Rx Walk In Clinic and Virtual Visits,613-766-1202,specialtyrxkingston@gmail.com,119 Barrack St  Main entrance from Bagot StKingston  ONK7K 1G2,
Walk-in Clinic @ 277 Bath Road,613-531-0707,clinic277bathroad@gmail.com,277 Bath RdKingston  ONK7M 2X6,
Walk-in Service,613-257-5915,inquiries@lanarkmentalhealth.com,145 Hooper St Unit 2Carleton Place  ONK7C 4J8,www.lanarkmentalhealth.com
MD Connected Walk-in Clinic - 2251 Lawrence Ave E,,mydoc@mdconnected.ca,2251 Lawrence Ave E  Unit 102Scarborough  ONM1P 2P5,www.mdconnected.ca
