Store,phone,email,address,website
Access Medical Centre,613-596-9840,,3098 Carling Ave  Unit 7Ottawa  ONK2B 7K2,
Activecare Medical Group,613-761-6777,,Carlingwood Shopping Centre - Rexall Entrance2121 Carling AveOttawa  ONK2A 1H2,www.activecareclinics.ca
Appletree Medical Clinic - Ottawa - 1309 Carling Ave,613-482-0118,,Westgate Mall1309 Carling AveOttawa  ONK1Z 7L3,appletreemedicalgroup.com/clinic-locations/1309-ca...
Appletree Medical Clinic - Ottawa - 2573 Baseline Rd,613-482-0118,info@appletreemedicalgroup.com,2573 Baseline RdOttawa  ONK2H 7B3,www.appletreemedicalgroup.com
Appletree Medical Clinic - Ottawa - 2948 Baseline Rd,613-482-0118,info@appletreemedicalgroup.com,2948 Baseline RdOttawa  ONK2H 8T5,www.appletreemedicalgroup.com
Appletree Medical Clinic - Ottawa - 3001 Carling Ave,613-482-0118,,3001 Carling AveOttawa  ONK2B 7Y6,www.appletreemedicalgroup.com
Appletree Medical Clinic - Ottawa - Bank St,613-482-0118,info@appletreemedicalgroup.com,1582 Bank StOttawa  ONK1H 7Z5,www.appletreemedicalgroup.com
Appletree Medical Clinic - Ottawa - Katimavik Rd,613-482-0118,info@appletreemedicalgroup.com,Kanata Town Centre150 Katimavik RdOttawa  ONK2L 2N2,www.appletreemedicalgroup.com
Appletree Medical Clinic - Ottawa - Merivale Rd,613-482-0118,info@appletreemedicalgroup.com,1595 Merivale RdOttawa  ONK2G 3K2,www.appletreemedicalgroup.com
Appletree Medical Clinic - Ottawa - Montreal Rd,613-482-0118,,2116 Montreal RdOttawa  ONK1J 6M7,www.appletreemedicalgroup.com
Appletree Medical Clinic - Ottawa - Preston St,613-482-0118,info@appletreemedicalgroup.com,225 Preston StOttawa  ONK1R 7R1,www.appletreemedicalgroup.com
Appletree Medical Clinic - Ottawa - Robertson Rd,613-482-0118,,2150 Robertson RdOttawa  ONK2H 9S1,www.appletreemedicalgroup.com
Appletree Medical Clinic - Ottawa - Slater St,613-482-0118,info@appletreemedicalgroup.com,368 Slater StOttawa  ONK1R 5C1,www.appletreemedicalgroup.com
Appletree Medical Clinic - Ottawa - Sparks St,613-482-0118,,CD Howe240 Sparks St  C153Ottawa  ONK1A 0X8,www.appletreemedicalgroup.com
