Store,phone,email,address,website
A & B Clinic - Barrie - Walk-in Medical Clinic,705-722-3343,,A & B Pharmacy505 Yonge StBarrie  ONL4N 4E1,
Barrie and Community Family Medicine Clinics - Bell Farm Road,Answering machine, recorded information only 705-726-1544,,829 Big Bay Point Rd  Unit D12Barrie  ONL4N 0G5,www.barriewalkinclinics.ca
Barrie and Community Family Medicine Clinics - Innisfil,Answering Machine, recorded information only 705-726-1544,,829 Big Bay Point Rd  Unit D12Barrie  ONL4N 0G5,www.barriewalkinclinics.ca
Barrie and Community Family Medicine Clinics - Prince William Way,Answering machine, recorded information only 705-726-1544,,829 Big Bay Point Rd  Unit D12Barrie  ONL4N 0G5,www.barriewalkinclinics.ca
Barrie and Community Family Medicine Clinics - Wellington Street West,Answering Machine, recorded information only 705-726-1544,,829 Big Bay Point Rd  Unit D12Barrie  ONL4N 0G5,www.barriewalkinclinics.ca
Bracebridge Medical Centre,705-645-1027,,55 Hwy 118 W  Unit 2Bracebridge  ONP1L 1T2,
Walk In Clinic,705-484-0074,,PO Box 70Brechin  ONL0K 1B0,
Collingwood After Hours Medical Clinic,705-445-9711,,Collingwood Health Centre186 Erie StCollingwood  ONL9Y 4T3,
Good Doctors Medical Clinic - Wasaga Beach - Walk-in Clinic,,info@gooddoctors.ca,River Road Pharmacy1256 Mosley  Unit 3Wasaga Beach  ONL9Z 2E5,www.gooddoctors.ca
Huronia Urgent Care Clinic,705-792-0933,,480 Huronia Rd  Suite 102Barrie  ONL4N 6M2,huroniaurgentcare.com
MD Connected Walk-in Telemedicine Clinic - Barrie,,barrie@mdconnected.ca,101 Dunlop St WBarrie  ONL4N 1A8,www.mdconnected.ca
Recovery Muskoka - Gravenhurst - Addiction Treatment and Medical Walk-in Clinic,705-687-8526,recoverymuskoka@outlook.com,685 Muskoka Rd  Unit 2Gravenhurst  ONP1P 1N5,
South Muskoka Medical Centre & Walk-In Clinic,705-646-7634,,230 Manitoba StBracebridge  ONP1L 2E1,
Wellington Walk-in Clinic,705-739-0127,wellingtonwalkin200@gmail.com,200 Wellington St W  Unit 3Barrie  ONL4N 1K9,www.barriewalkinclinic.ca/
Youth Haven - Barrie,705-739-7616 * accept collect calls,,22 Wellington St EBarrie  ONL4M 2B8,www.youthhaven.ca
MD Connected Walk-in Clinic - 2251 Lawrence Ave E,,mydoc@mdconnected.ca,2251 Lawrence Ave E  Unit 102Scarborough  ONM1P 2P5,www.mdconnected.ca
