Store,phone,email,address,website
Health Centre,705-474-7600 ext 5261,info@canadorecollege.ca,PO Box 5001North Bay  ONP1B 8K9,www.canadorecollege.ca
Centre de soins infirmiers de Gogama,705-894-2005 * 705-894-3155,,PO Box 21Gogama  ONP0M 1W0,www.santesudbury.ca
Garson After Hours Walk-in Clinic,705-693-4200,,3098 Falconbridge HwyGarson  ONP3L 1P5,
Good Doctors Walk in Clinic - Cochrane,,info@gooddoctors.ca,134 3rd St  Unit ACochrane  ONP0L 1C0,www.gooddoctors.ca
Good Doctors Walk in Clinic - Earlton,,info@gooddoctors.ca,14 10th StEarlton  ONP0J 1E0,www.gooddoctors.ca
Good Doctors Walk in Clinic - Espanola,705-805-9251,info@gooddoctors.ca,119 Tudhope StEspanola  ONP5E 1S6,www.gooddoctors.ca
Good Doctors Walk in Clinic - Iroquois Falls,,info@gooddoctors.ca,PO Box 1120Iroquois Falls  ONP0K 1G0,www.gooddoctors.ca
Good Doctors Walk in Clinic - North Bay,705-980-0121,info@gooddoctors.ca,1221 Algonquiin Ave  Unit 105North Bay  ONP1B 4Y3,www.gooddoctors.ca
Good Doctors Walk in Clinic - Val Caron,705-805-0198,info@gooddoctors.ca,2956 Hwy 69 N  unit 2Val Caron  ONP3N 1E3,www.gooddoctors.ca
Head to Toe Clinic - North Bay,705-495-0300,,Guardian Drugs Building1950 Algonquin Ave  Suite 306North Bay  ONP1B 4Z2,www.walkinclinicnorthbay.com
Family Medicine Walk in Clinic,807-868-2442 ext 5230,,PO Box 190Hornepayne  ONP0M 1Z0,www.hornepaynecommunityhospital.ca
Walk-in Clinic - Telemedicine,705-476-4016,norbaypharmacy@hotmail.com,41 Lakeshore DrNorth Bay  ONP1A 2A1,www.pharmasave.com
Killarney Health Centre,705-287-2300,khcnurse@vianet.ca,34 Commissioner St  Unit AKillarney  ONP0M 2A0,
Lasalle Medical Walk-in Clinic - Sudbury,705-222-9038,info@lasallewalkinclinic.ca,1813 Lasalle BlvdSudbury  ONP3A 2A3,lasallewalkinclinic.ca
Health and Wellness Centre,705-673-6546 or 705-675-1151 ext 1067,healthservices@laurentian.ca,935 Ramsey Lake Rd  SSR G-23Sudbury  ONP3E 2C6,www.laurentian.ca/health-wellness
Loblaw Real Canadian Superstore Pharmacy - Sudbury,705-521-1031,phr02803@loblaw.ca,1485 Lasalle BlvdSudbury  ONP3A 5H7,www.loblaw.ca
Community Health Nurse,705-856-1993,landre@michipicoten.com,PO Box 1  Site 8  RR 1Wawa  ONP0S 1K0,www.michipicoten.com
Missinaibi Clinic - Mattice,705-364-2161,rodriguep@ndh.on.ca,Postal Bag 129Mattice  ONP0L 1T0,
Walk-in Clinic,705-859-2170,manfht@amtelecom.net,Box 10Manitowaning  ONP0P 1N0,
Northeastern Manitoulin Family Health Team,705-368-2450,,c/o Little Current Medical AssociatesPO Box 549Little Current  ONP0P 1K0,www.mhc.on.ca
Northwood Medical Clinics - Azilda,705-522-3380,,93 Notre Dame Ave WAzilda  ONP0M 1B0,www.northwoodmedical.ca
Northwood Medical Clinics - Downtown Sudbury,705-522-3380,,80 Elm StSudbury  ONP3C 1T2,
Northwood Medical Clinics - Sudbury - Elm St,705-522-3380,,80 Elm StSudbury  ONP3C 1T2,www.northwoodmedical.ca
Northwood Medical Clinics - Sudbury - Lasalle Blvd,705-522-3380,,1280 Lasalle Blvd  Suite 102Sudbury  ONP3A 1Y8,www.northwoodclinics.com
Northwood Medical Clinics - Sudbury - Long Lake Rd,705-522-3380,,2009 Long Lake Rd  Suite 101Sudbury  ONP3E 6C3,
Westend Walk in Clinic,705-450-5339,jordanjack@hotmail.com,658 Second Line W  Unit 3Sault Ste Marie  ONP6C 2K9,www.westendwalkinclinic.com
Primacy Medical Centre - Sudbury,705-222-7451,,Real Canadian Superstore1485 Lasalle BlvdSudbury  ONP3A 5H7,
Sault College of Applied Arts and Technology - Health Support and First Aid Centre,705-759-2554 ext 2720,anne.erechook@saultcollege.ca,c/o Anne Erechook443 Northern Ave E  A Wing  Room A0170Sault Ste Marie  ONP6B 5L3,www.saultcollege.ca
Station Mall Clinic - Sault Ste Marie,705-450-1715,stationmallwalkin@gmail.com,Station Mall293 Bay StSault Ste Marie  ONP6A 1X3,
Health Centre,705-842-2670,cmcewan.tfn@vianet.ca,40 Sugarbush RdThessalon  ONP0R 1L0,
Timmins After Hours Medical Clinic,705-268-3858,,Shoppers Drug Mart Building227 Algonquin Blvd W  Suite 203Timmins  ONP4N 2R8,
Top Docs Medical Walk-in Clinic - Val Caron,705-222-4284,,Val Est Mall3179 Hwy 69 N  Unit 2Val Caron  ONP3N 1S5,www.valleyclinic.ca
Attawapiskat Hospital,705-658-4544,,PO Box 284Attawapiskat First Nation  ONP0L 1A0,www.waha.ca
Nursing Station,705-473-2525,reception@weenusk.ca,PO Box 1Peawanuck  ONP0L 2H0,
MD Connected Walk-in Clinic - 2251 Lawrence Ave E,,mydoc@mdconnected.ca,2251 Lawrence Ave E  Unit 102Scarborough  ONM1P 2P5,www.mdconnected.ca
