Store,phone,email,address,website
Urgent Care Clinic,807-597-2721,,PO Box 1450Atikokan  ONP0T 1C0,
Dawson Heights Medical Clinic - Thunder Bay - Regina Ave,807-344-0105,,109 Regina Ave  Suite 109Thunder Bay  ONP7B 5B4,
Walk-In Medical Clinic,807-626-5200,,200 Anemki PlaceThunder Bay  ONP7J 1L6,www.dilico.com
Walk-In Medical Clinic,807-623-8511,,131 Archibald St NThunder Bay  ONP7C 3X7,www.dilico.com/article/family-health-team-clinic-1...
Dingwall Medical Group - Urgent Care Clinic,807-223-6683,dmgdocs@drytel.net,PO Box 3011 40 Goodall StDryden  ONP8N 2Z6,www.dingwallmedicalclinic.ca
Walk-In Clinic,807-222-3728,earfallsfht@live.com,PO Box 520Ear Falls  ONP0V 1T0,ear-falls.com/residents/community-services/health-...
Fort Frances Family Health Team - Fort Frances Community Clinic - Walk-In Clinic,Reception: 807-274-3287,,301 Victoria AveFort Frances  ONP9A 2C1,www.ffht.ca
Good Doctors - Thunder Bay,807-700-0395,oliver@gooddoctors.ca,1040 Oliver Rd  Unit 103BThunder Bay  ONP7B 7A5,www.gooddoctors.ca/
Walk-In Clinic,807-485-2541,,c/o Lac La Croix ClinicPO Box 640Fort Frances  ONP9A 3N9,
Mountdale Family Health Clinic - Mountdale Medical Centre - Walk-In Clinic,807-577-5676,,620 Arthur St WThunder Bay  ONP7E 5R8,www.mountdaleclinic.com
Northwest Walk-In Medical Clinic,807-623-7101,,Rexall's Pharmacy1265 Arthur St E  Suite 100Thunder Bay  ONP7E 6E7,
Thunder Bay - Limbrick Site - Walk-In Clinic,807-622-8235,,525 Simpson StThunder Bay  ONP7C 3J6,www.norwestchc.org
Walk-In Clinic,807-622-8235,kbinette@norwestchc.org,525 Simpson StThunder Bay  ONP7C 3J6,norwestchc.org
Oak Medical Arts - Academy - Walk-In Clinic,807-344-4540,,554 Beverly StThunder Bay  ONP7B 5V2,www.oakmedicalarts.com
Walk-In Urgent Care Clinic,Primary: 807-727-2617807-727-2751,rlma@redlakehospital.ca,PO Box 311Red Lake  ONP0V 2M0,www.redlakeclinic.com
Red River Walk In Clinic - Shoppers Drug Mart - Walk-In Clnic,,,901 Red River RdThunder Bay  ONP7B 1K3,
Urgent Care Clinic,807-274-3261 Ext 5500,riverside@rhcf.on.ca,Box 390Emo  ONP0W 1E0,www.riversidehealthcare.ca/emo-health-centre/urgen...
Walk-In Medical Clinics - Thunder Bay,,,Thunder Bay  ON,
Walk-In Clinic,807-475-4357 (807-475-HELP),,125 Vickers St SThunder Bay  ONP7E 1J2,
MD Connected Walk-in Clinic - 2251 Lawrence Ave E,,mydoc@mdconnected.ca,2251 Lawrence Ave E  Unit 102Scarborough  ONM1P 2P5,www.mdconnected.ca
