Store,phone,email,address,website
Alevia-Med Walk-in Clinic,519-453-7117,,1251 Huron St  Suite 111London  ONN5Y 4V1,www.alevia.ca
Bay Street Walk-in Clinic,519-376-4865,,960 3rd Ave EOwen Sound  ONN4K 4M7,
Blyth Walk-In Clinic,226-532-9500,blythwalkin@gmail.com,442 Queen StBlyth  ONN0M 1H0,
Children's After Hours Clinic,519-850-3800,,1653 Richmond St NLondon  ONN6G 0V1,thechildrensafterhoursclinic.ca
Clarke Road Medical Centre,519-455-1100,,1892 Dundas StLondon  ONN5W 3G4,
Clinicare Walk-in Clinic,519-471-1800,,1121 Adelaide St NLondon  ONN5Y 2N4,www.clinicareclinic.com
Doctors Walk-In Medical Clinic,519-686-8585,,641 Commissioners Rd E  Unit 105London  ONN6C 2T9,www.doctorswalkinmedicalclinic.ca
Highbury Medical Clinic,519-659-2331,highburymc@gmail.com,1345 Huron StLondon  ONN5V 2E3,
Huron Medical Centre,519-601-6640,huron.medical.centre@gmail.com,1472 Huron StLondon  ONN5V 2E5,
Hyde Park Care Medical Clinic - Walk-in Clinic,519-474-0996,,1195 Hyde Park Rd  Unit 2London  ONN6H 5K6,
Hyde Park Medical and Walk-In Clinic,519-641-3627,hydeparkmedical@hotmail.com,Remark Plaza640 Hyde Park Rd  Unit 4London  ONN6H 3S1,hydeparkmedical.ca
Medicentre Pediatric Walk-In Clinic,519-471-6686,info@medicentres.com,Rexall PharmaPlus Building1375 Beaverbrook AveLondon  ONN6G 0J1,www.medicentres.com/medicentre-locations/wonderlan...
MyDoctor Now - Walk-in and Telephone Assessments - London - Dundas St E,,info@mydoctornow.ca,1835 Dundas St ELondon  ONN5W 3E7,www.mydoctornow.ca
MyDoctor Now - Walk-in and Telephone Assessments - London - Wharncliffe,,info@mydoctornow.ca,Wharncliffe Health Centre279 Wharncliffe Rd N  Suite 024London  ONN6H 2C2,www.mydoctornow.ca
Nixon Walk-In Clinic,519-914-5202,reception@nixonwalkin.ca,Nixon Medical Centre510 Southdale Rd E  Suite 101London  ONN6E 0B2,
Northwood Medical Centre Walk-In Clinic,519-537-6147,,35 Springbank AveWoodstock  ONN4S 7P6,
Oxbury Medical Clinic,519-204-6204,,1299 Oxford St E  Unit 59ELondon  ONN5Y 4W5,
Oxford Walk-In Clinic,519-433-4999,info@oxfordwalkinclinic.com,140 Oxford St E  Suite 102London  ONN6A 5R9,www.oxfordwalkinclinic.com
Phillbrook Walk-in Clinic,519-433-2891,,1599 Adelaide St N  Unit 105London  ONN5X 4E8,
Riverbend Walk-In Clinic,519-657-1919,,1866 Oxford St W  Unit 2London  ONN6K 0J8,
SheerHealth - Family and Walk-In Medical Clinic,519-474-7300,,1476 Aldersbrook RdLondon  ONN6G 0P5,
Walk-in Clinic,519-235-3343,,South Huron Medical Centre23 Huron St WExeter  ONN0M 1S2,www.shha.on.ca/fmc/
South London Children's After Hours Clinic,226-663-7130,,Nixon Medical Centre510 Southdale Rd E  3rd Fl  Suite 302London  ONN6E 0B2,
South London Urgent Care and Walk-In Clinic,519-681-8300,,Bradley Medical Centre595 Bradley AveLondon  ONN6E 3Z8,
Urgent Care Centre,519-646-6100 ext 67020,comdept@sjhc.london.on.ca,PO Box 5777  Stn BLondon  ONN6A 4V2,www.sjhc.london.on.ca/urgentcare
St Thomas Walk-In Medical Clinic,519-633-9627,,230 First Ave  Suite 105St Thomas  ONN5R 4P5,
Pediatric Walk-In Clinic,519-601-8621 (519-601-TMC1),info@thompsonmedical.ca,990 Gainsborough RdLondon  ONN6H 5L4,www.thompsonmedical.ca
Walk-In Clinic,519-601-8621 (519-601-TMC1),,130 Thompson RdLondon  ONN5Z 2Y6,www.thompsonmedical.ca
West Middlesex Walk-in Clinic,519-245-1609,,17 Frank StStrathroy  ONN7G 2R2,
Wharncliffe Medical Walk-In Clinic,519-435-0111,,240 Wharncliffe Rd N  Suite 201London  ONN6H 4P2,www.wharncliffewalkinclinic.com
Wonderland North Medical Walk-In Clinic,519-471-7272,,1695 Wonderland Rd N  Unit 2BLondon  ONN6G 4W3,
Collingwood After Hours Medical Clinic,705-445-9711,,Collingwood Health Centre186 Erie StCollingwood  ONL9Y 4T3,
Delhi Community Health Centre - Walk-in Clinic,519-582-2323,,Delhi Community Health Centre105 Main StDelhi  ONN4B 2L8,delhihealth.ca/public-walk-in-clinic
MD Connected Walk-in Clinic - 2251 Lawrence Ave E,,mydoc@mdconnected.ca,2251 Lawrence Ave E  Unit 102Scarborough  ONM1P 2P5,www.mdconnected.ca
