Store,phone,email,address,website
Arkell Walk-in Medical Clinic,519-822-7841,clinic@arkellmedical.ca,403 Arkell Rd  Unit 4Guelph  ONN1L 1E5,
Benton Medical Clinic - Walk-in Clinic,226-240-3014,,Benton Medical Centre51 Benton StKitchener  ONN2G 3H1,
Delta Walk-In Clinic,519-624-4004,delta614@outlook.com,614 Coronation Blvd  Unit 201Cambridge  ONN1R 3E8,
Emerald Medical Walk-in Clinic,519-267-5030,emeraldwalkin@gmail.com,140 Hespeler RdCambridge  ONN1R 3H2,emeraldmedical.ca
Fergus Walk-in Medical Clinic,519-787-2940,,Walmart801 St David St NFergus  ONN1M 2L1,uppergrandfht.org/walk-in-clinic/
Firstline Walk-In Medical Clinic,519-267-2588,walkinclinic@firstlinemedical.ca,600 Hespeler Rd  Unit 20BCambridge  ONN1R 8H2,www.firstlinewalkin.com/
Franklin Walk-In Medical Clinic,519-620-7044,,1150 Franklin BlvdCambridge  ONN1R 7J2,franklinmedicalcentre.com
Gordon Walk-in Clinic,519-265-6400,,1515 Gordon St  Unit 1Guelph  ONN1L 1C9,
Greengate Walk In Clinic,519-265-8882,info@greengatemedical.ca,170 Silvercreek Pkwy N  Unit 2Guelph  ONN1H 7P7,greengatemedical.ca/walk-in-clinic/
K-W Urgent Care Clinic - Kitchener - Fairview Rd S,519-748-2327,,385 Fairway Rd SKitchener  ONN2C 2N9,www.kwurgentcare.ca
K-W Walk-In Clinic,519-279-4098,kwwalkinclinic@gmail.com,Walmart100 The BoardwalkKitchener  ONN2N 0B1,
KW Healthy Living Family Practice - Walk-in Clinic,519-893-6060,weberclinic1360@gmail.com,KW Healthy Living Medical Centre1360 Weber St EKitchener  ONN2A 1C4,www.kwmedicalcentre.com
KW Urgent Care Clinic - Kitchener - Victoria St,519-745-2273,,751 Victoria St SKitchener  ONN2M 5N4,www.kwurgentcare.ca
Laurentian Walk-in Clinic,519-570-3174,laurentianwalkin@gmail.com,Zehrs Laurentian750 Ottawa St SKitchener  ONN2E 1B6,
Midtown Urgent Care Clinic,519-837-1198,,Chancellors Way Medical Arts Centre  Research Park North  University of Guelph  Main Campus175 Chancellors Way  Suite 104Guelph  ONN1G 0E9,cwmac.ca/business/midtown/
Onyx Urgent Care - Kitchener,519-896-6699,info@onyxrx.com,580 Lancaster St WKitchener  ONN2K 1M3,onyxurgentcare.com
Onyx Urgent Care - Waterloo,519-896-6699,onyxmedicalcentre@gmail.com,280 Lester StWaterloo  ONN2L 3W5,onyxurgentcare.com
Silvercreek Walk-In Clinic,Clinic: 519-822-9363Pharmacy: 519-822-8000,,105 Silvercreek Pkwy N  Suite 103Guelph  ONN1H 6S4,www.silvercreekwalkin.com
Speedvale Walk-In Clinic,519-822-0100,,334 Speedvale Ave EGuelph  ONN1E 1N5,
Spruce Medical Walk-in Clinic,519-725-1111,,318 Spruce St  Unit 105Waterloo  ONN2L 0E9,www.sprucemedical.ca
Summerside Medical Clinic,519-780-8585,summersidemedical@gmail.com,175 Stone Rd WGuelph  ONN1G 5I4,
Tannery Medical Centre Walk-in Clinic,519-618-9260,info@tannerymedical.com,The Tannery120-121 Charles St WKitchener  ONN2G 4K4,www.tannerymedical.com
Waterloo Walk-In Clinic,519-725-1514,waterloowalkin@gmail.com,University Shops Plaza II170 University Ave W  Unit 13Waterloo  ONN2L 3E9,
Westmount Place Walk-In Clinic,519-954-0111,waterloowalkin@gmail.com,Westmount Plaza50 Westmount Rd NWaterloo  ONN2L 2R5,
Collingwood After Hours Medical Clinic,705-445-9711,,Collingwood Health Centre186 Erie StCollingwood  ONL9Y 4T3,
MD Connected Walk-in Clinic - 2251 Lawrence Ave E,,mydoc@mdconnected.ca,2251 Lawrence Ave E  Unit 102Scarborough  ONM1P 2P5,www.mdconnected.ca
