Store,phone,email,address,website
Aldershot Walk-in Clinic,905-218-6444,plainsmedicalcentre@gmail.com,18 Plains Rd W  Unit 2Burlington  ONL7T 0B3,www.primaryclinic.ca
Binbrook Family Health - Walk-in Clinic,905-692-2580,,2537 Hamilton Regional Rd 56  Unit B6Binbrook  ONL0R 1C0,
Blue Ridge Walk-in Clinic,519-304-8984,info@blueridgewalkin.com,595 West St  Unit CBrantford  ONN3R 7C5,www.blueridgewalkin.com
Bonavista Medical Centre - Walk-in Clinic,905-545-9999,,360 Queenston RdHamilton  ONL8K 1H9,www.mountainclinic.ca
Bonavista Medical Centre Brantford - Walk-in Clinic,519-759-4060,info@bonavistamedicalcentrebrantford.com,265 King George Rd  Unit 104Brantford  ONN3R 6Y1,www.bonavistamedicalcentrebrantford.com
Urgent Care Centre,519-442-2251,,238 Grand River St NParis  ONN3L 2N7,www.bchsys.org/en/care-services/urgent-care-centre...
Brantford West Medical Centre - Walk-in Clinic,519-304-9200,,164 Colborne St W  Unit 2ABrantford  ONN3T 2L1,www.brantfordclinic.com
Bunting and Carlton Medical Clinic,905-646-0063,buntingcarltonmedicalclinic@gmail.com,574 Carlton StSt Catharines  ONL2M 4X9,www.buntingcarltonmedicalclinic.com
Burlington Walk-in Clinic,905-681-7755,,Fortino's Plaza2025 Guelph LineBurlington  ONL7P 4M8,
Delhi Community Health Centre - Walk-in Clinic,519-582-2323,,Delhi Community Health Centre105 Main StDelhi  ONN4B 2L8,delhihealth.ca/public-walk-in-clinic
Doctor's Office Walk-in Clinic - Burlington (Walmart Supercentre),905-633-7686,info@jacknathanhealth.com,Walmart2065 Fairview StBurlington  ONL7R 0B4,www.jacknathanhealth.com/clinic-finder
Dundas Medical Centre and Walk-in Clinic,905-689-8833,,252 Dundas St E  Unit 1Waterdown  ONL0R 2H6,
Dundurn Medical Centre,905-529-4040,,50 Dundurn St S  Unit B8Hamilton  ONL8P 4W3,
East Waterdown Medical Centre - Walk-in Clinic,905-689-2655,,419 Dundas St E  Unit 12Waterdown  ONL8B 0K4,www.eastwaterdownmedical.com
Ferry Street Medical Clinic,905-354-8616,,5845 Ferry StNiagara Falls  ONL2G 1S8,www.ferrystreetmedical.ca
Geneva St Walk-in Clinic,289-362-5525,,284 Geneva StSt Catharines  ONL2N 2E8,
Glenridge Walk-In Clinic,289-362-5333,glenridgewalkinclinic@gmail.com,209 Glenridge AveSt Catharines  ONL2T 3J6,
Grantham Medical Clinic,905-937-0000,,400 Scott StSt Catharines  ONL2M 3W4,www.granthammedical.com
Halton Family Health Centre Walk-in,905-336-3437,,2951 Walkers LineBurlington  ONL7M 4Y1,www.haltonfamilyhealth.com
Halton Medix Walk-in Clinic,289-812-0186,info@haltonmedix.com,4265 Thomas Alton BlvdBurlington  ONL7M 0M9,www.haltonmedix.com
Main Street West Urgent Care Centre,905-521-2100 ext 72000,,690 Main St WHamilton  ONL8S 1A4,www.hamiltonhealthsciences.ca/about-us/our-organiz...
Hamilton Medical Centre and Walk-In Clinic,905-522-0111,hamiltonmedicalcentre1@gmail.com,52 Cannon St W  Unit 103Hamilton  ONL8R 2B5,hamiltonmedicalcentre.ca
Hamilton Medical Clinic,905-385-6777,,836 Upper James St  Unit 3Hamilton  ONL9C 3A4,
Health-Wise Medical Clinic,905-643-5050 * 905-643-1288,info@healthwiseclinic.ca,15 Lockport Way  Unit 2Stoney Creek  ONL8E 0H8,www.healthwiseclinic.ca
Jasmin Medical Centre,289-337-9255,,1900 Appleby Line  Unit 1Burlington  ONL7L 0B1,
John Street Medical Walk-In Clinic,905-529-9779,,225 John St SHamilton  ONL8N 2C7,www.johnstmedicalwalkinclinic.com
Locke Street Medical Clinic,905-570-0440,lockestreetmedical@gmail.com,206 Locke St SHamilton  ONL8P 4B4,www.lockewalkinmedical.ca
Main St West Walk-in Clinic,905-521-2222,mainwestclinic@gmail.com,1685 Main St W  Unit 135Hamilton  ONL8S 1G5,www.primaryclinic.ca
Maple Mews Medical Clinic,905-637-5885,,1235 Fairview St  Unit 11Burlington  ONL7S 2H9,
MedCare Clinics - Niagara Falls,289-292-0441,niagara@medcareclinics.com,Niagara Square Shopping Centre7555 Montrose Rd  Unit E2Niagara Falls  ONL2H 2E9,www.medcareclinics.com/niagarasquare
MedCare Clinics - Scott Street Medical Centre,905-646-8383,stc@medcareclinics.com,387 Scott St  Unit A2CSt Catharines  ONL2M 3W2,www.medcareclinics.com
MedCare Clinics - St Catharines - Glendale Ave (Pen Centre),905-687-4252,pc@medcareclinics.com,Pen Centre221 Glendale AveSt Catharines  ONL2T 2K9,www.medcareclinics.com/pencentre
MediCorner - Stoney Creek,905-662-2777,medi.corner@hotmail.com,521 Hwy 8  Unit 5Stoney Creek  ONL8G 1G4,www.medicorner.ca
Minor Emerg Walk-in Clinic,905-682-5411,,Court Street Medical Centre9 Court St  Main FlSt Catharines  ONL2R 4R3,www.minoremergwalk-in.com
Health Centre,Appointments: 289-237-6538From a Mohawk phone, dial ext 2084,healthcentre@mohawkcollege.ca,135 Fennell Ave W  Suite C109Hamilton  ONL9C 0E5,www.mohawkcollege.ca/health-centre
Morrison St Walk-in Clinic,905-374-3344,,6453 Morrison StNiagara Falls  ONL2E 2G5,www.twogreatwalkinclinics.ca
Mountain Medical Walk-in Clinic,905-575-0808,,880 Upper Wentworth St  Unit 5AHamilton  ONL9A 5H2,
Nebo Medical Centre,905-381-9800,nebomedicalcentre@gmail.com,260 Nebo RdHamilton  ONL8W 3K5,www.primaryclinic.ca
Urgent Care Centre,Switchboard: 905-378-4647,,230 Bertie StFort Erie  ONL2A 1Z2,www.niagarahealth.on.ca/site/emergency-and-urgent-...
Urgent Care Centre,Switchboard: 905-378-4647,,260 Sugarloaf StPort Colborne  ONL3K 2N7,www.niagarahealth.on.ca/site/emergency-and-urgent-...
Niagara Walk-in Clinic,289-477-6011,,7481 Oakwood DrNiagara Falls  ONL2E 6S5,www.twogreatwalkinclinics.ca
North Burlington Medical Centre,905-319-2000,,1960 Appleby Line  Suite 18Burlington  ONL7L 0B7,
Ontario St Walk-in Clinic,905-682-0444,,318 Ontario StSt Catharines  ONL2R 5L8,www.ontariostreetmedicalcentre.com
Parkside Medical Clinic,905-690-1670,info@parksidemedical.ca,Fortinos Plaza145 Hamilton St N  Unit E2Waterdown  ONL8B 0Y7,www.parksidemedical.ca
Pelham Urgent Care,905-988-1933,,245 Pelham Rd  Suite 202St Catharines  ONL2S 1X8,www.pelhamurgentcare.com
Portage Walk-in Clinic,905-356-6215,,5400 Portage Rd  Suite 402Niagara Falls  ONL2G 5X7,
Primary Care Niagara,905-371-1881,admin@primarycareniagara.com,660 Garrison Road  Unit 11Fort Erie  ONL2A 6E2,www.primarycareniagara.com/walk-in-urgent-care
PromptDoc Urgent Care Clinic,905-646-0015,promptdocurgentcare@hotmail.com,532 Lake StSt Catharines  ONL2N 4H4,www.promptdoc.com
Queenston Medical Walk-In Clinic,905-578-9255,queenston_clinic2012@hotmail.com,631 Queenston Rd  Suite 103Hamilton  ONL8K 6R5,
Ringside MD Family Medicine - Walk-In Clinic - Burlington,289-337-3090,healthcare@ringsideclinic.ca,5220 Dundas St  Units D9-D12Burlington  ONL7L 7B1,www.ringsideclinic.ca
Smithville Walk-in Clinic,905-957-9000,,128 St Catharines St  Unit 102Smithville  ONL0R 2A0,smithville-walk-in-clinic.business.site
St Joseph Medical Clinic,905-632-6899,,906 Brant StBurlington  ONL7R 2J5,
Urgent Care Centre,905-573-7777,,2757 King St EHamilton  ONL8G 5E4,www.stjoes.ca/hospital-services/emergency-services...
Stoney Creek Medical Walk-in Clinic,905-561-9255,,140 Centennial Pkwy N  Suite 2AStoney Creek  ONL8E 1H9,ourclinic.ca
Thomas Alton Medical Clinic,905-336-6102,info@thomasaltonmedicalclinic.ca,4903 Thomas Alton Blvd  Unit 104Burlington  ONL7M 0W8,
Walkers Medical Centre Walk-In Clinic,905-335-5959,,1821 Walkers LineBurlington  ONL7M 0H6,
Walmart Walk-in Medical Clinic,905-768-4400,jacknathanhealthhamilton@gmail.com,Walmart Supercentre675 Upper James StHamilton  ONL9C 2Z5,www.jacknathanhealth.com/clinic-finder
Waterdown Walk-in Clinic,905-690-1418,,Walmart Waterdown Supercentre90 Dundas St EWaterdown  ONL0R 2H2,www.waterdownwalkinclinic.com/waterdown-walk-in-cl...
Lakeshore Woods Medical Clinic,905-847-2525,info@lswmc.com,3420 Rebecca St  Unit 6-7Oakville  ONL6L 6W2,www.lswmc.com
MD Connected Walk-in Clinic - 2251 Lawrence Ave E,,mydoc@mdconnected.ca,2251 Lawrence Ave E  Unit 102Scarborough  ONM1P 2P5,www.mdconnected.ca
