Store,phone,email,address,website
400 Dundas Medical - Family Practice and Walk-In Clinic,289-521-8844,,Cooksville Landing Plaza400 Dundas St E  Unit 105AMississauga  ONL5A 1X5,
A+ Medical Centre and Walk-In,905-864-9007 or 905-864-9008,,1079 Maple AveMilton  ONL9T 0A5,www.aplusmedicalcentre.yolasite.com/
Abbey Medical Centre,905-815-9090,admin@abbeymedical.ca,Nottinghill Place Plaza1131 Nottinghill Gate  Suite 201Oakville  ONL6M 1K5,www.abbeymed.ca/index.html
Acton Medical and Urgent Care Clinic,519-853-9997519-853-4449,actonmedical@cogeco.net,10 Eastern AveActon  ONL7J 0A5,www.actonmedical-urgentcareclinic.com
Alexandria Medical Clinic,905-232-3627,,3025 Hurontario St  Suite 105Mississauga  ONL5A 2H1,
Alpha Care Medical Center,905-877-2220,alphacare@hotmail.com,308 Guelph StGeorgetown  ONL7G 4B1,www.alphacarepharmacy.ca/
Alpha One Medical Center,905-212-9955,,Kingsbury Centre1891 Rathburn Rd E  Unit 12Mississauga  ONL4W 3Z3,
Appletree Medical Group - Etobicoke - Eva Rd,647-722-2370,info@appletreemedicalgroup.com,1 Eva Rd  Suite 100Toronto  ONM9C 2A5,appletreemedicalgroup.com/home.html
Appletree Medical Group - Etobicoke - The Queensway,647-722-2370,feedback@appletreemedicalgroup.com,Across from Sherway Gardens mall in the same plaza as Staples1750 The Queensway  Unit 6Etobicoke  ONM9C 5H5,www.appletreemedicalgroup.com/home.html
Appletree Medical Group - Mississauga - Confederation Pkwy,647-722-2370,info@appletreemedicalgroup.com,Parkside Village4062 Confederation PkwyMississauga  ONL5B 0G4,appletreemedicalgroup.com/home.html
Appletree Medical Group - Mississauga - Hurontario St,647-722-2370 or 905-281-0115,,3355 Hurontario St  Unit 13Mississauga  ONL5A 4E7,appletreemedicalgroup.com/home.html
Applewood Medical - Walk-In Clinic,905-595-5030,applewoodclinic@gmail.com,c/o Ankit PatelCanada Post Plaza966 Dundas St E  Unit 8AMississauga  ONL4Y 4H5,www.applewoodmedical.ca
ARC Medical Clinic,905-997-1020,clinic@arcmedical.ca,2520 Eglinton Ave W  Unit 4Mississauga  ONL5M 0Y4,arcmedical.ca/
