Store,phone,email,address,website
A+ Medical Walk-in Clinic,416-783-2113,,1525 Albion RdEtobicoke  ONM9V 5G5,
Non-Insured Walk-in Clinic (NIWIC),416-760-8677,mail@accessalliance.ca,761 Jane St  2nd Fl  Suite 200BToronto  ONM6N 4C4,www.accessalliance.ca
Albany Medical Clinic,416-461-9471,,807 Broadview AveToronto  ONM4K 2P8,www.albanyclinic.ca
Albion Islington Medical Centre,416-613-8596,albionmedicalclinic@gmail.com,968 Albion RdEtobicoke  ONM9V 1A7,albionislingtonmedical.ca
Albion Thistletown Medical Centre,416-740-7272,,900 Albion Rd  Unit A2Etobicoke  ONM9V 1A5,
Appletree Medical Centre - North York (York Lanes),647-722-2370,,4700 Keele StToronto  ONM3J 1P3,www.appletreetoronto.com
Appletree Medical Centre - Scarborough,647-722-2370,info@appletreemedicalgroup.com,2025 Midland AveToronto  ONM1P 3E2,www.appletreemedicalgroup.com
Appletree Medical Group - Etobicoke,647-722-2370,dsmith@appletreemedicalgroup.com,900 Albion RdEtobicoke  ONM9V 1A5,appletreemedicalgroup.com/home.html
Appletree Medical Group - Etobicoke - Eva Rd,647-722-2370,info@appletreemedicalgroup.com,1 Eva Rd  Suite 100Toronto  ONM9C 2A5,appletreemedicalgroup.com/home.html
Appletree Medical Group - Etobicoke - The Queensway,647-722-2370,feedback@appletreemedicalgroup.com,Across from Sherway Gardens mall in the same plaza as Staples1750 The Queensway  Unit 6Etobicoke  ONM9C 5H5,www.appletreemedicalgroup.com/home.html
Appletree Medical Group - Toronto - 1175 Queen St W,647-722-2370,,1175 Queen St WToronto  ONM6J 1J4,www.appletreemedicalgroup.com/
Appletree Medical Group - Toronto - 1450 O'Connor Dr,647-722-2370,info@appletreemedicalgroup.com,1450 O'Connor DrToronto  ONM4B 1Z1,www.appletreemedicalgroup.com/home.html
Appletree Medical Group - Toronto - 2077 Lakeshore Blvd W,647-722-2370,,2077 Lakeshore Blvd WToronto  ONM8V 0A2,www.appletreemedicalgroup.com/
Appletree Medical Group - Toronto - 275 Dundas St W,647-722-2370,,275 Dundas St WToronto  ONM5T 3K1,www.appletreetoronto.com
Appletree Medical Group - Toronto - 70 University Ave,647-722-2370,,70 University AveToronto  ONM5J 2M4,www.appletreemedicalgroup.com/
Appletree Telemedicine Clinic - Toronto - 1168A Dundas St W,416-534-2321,,1168A Dundas St WToronto  ONM6J 1X4,appletreemedicalgroup.com
Bathurst Walk-in Clinic and Family Practice,416-633-3629,bathurstwalkinclinic@gmail.com,Wycliffe House Medical Bldg4430 Bathurst St  Suite 101Toronto  ONM3H 3S3,www.bathurstwalkinclinic.ca
Bay College Clinic (The),416-929-1900416-921-2121,info@lockwoodclinic.com,790 Bay St  Suite 108Toronto  ONM5G 1N8,www.lockwoodclinic.com
Blue Rose Medical Centre,416-754-9000,info@bluerosemedical.ca,1910 Kennedy Rd  Units 5 and 6Toronto  ONM1P 2L8,
Children's After Hours Clinic - Sheppard Branch,416-250-5000,,1100 Sheppard Ave E  Suite 100Toronto  ONM2K 2W1,www.kidsafterhoursclinic.ca
Children's After Hours Clinic - Toronto - Danforth Ave,416-461-3000,,235 Danforth Ave  Suite 100Toronto  ONM4K 1N2,www.kidsafterhoursclinic.ca
Citrus Medical Centre - Toronto - 2240 Lake Shore Blvd W,416-800-6500 ext 2,info@citrusmedical.ca,2240 Lake Shore Blvd WToronto  ONM8V 0B1,www.citrusmedical.ca
Citrus Medical Centre - Toronto - 605 Royal York Rd,416-800-6500,info@citrusmedical.ca,605 Royal York Rd  Unit 101Toronto  ONM8Y 4G5,www.citrusmedical.ca
College Medical Care Family Practice and Walk-in Clinic,416-519-9086,info@collegemedicalcare.ca,343 College StToronto  ONM5T 1S5,www.collegemedicalcare.ca/
Comprehensive Healthcare Network - Toronto - 116 Glen Manor Dr - Beaches Family Practice and Walk-in Clinic,416-698-0999,management@chealthnet.ca,116 Glen Manor DrToronto  ONM4E 2X2,www.chealthnet.ca
Comprehensive Healthcare Network - Toronto - 1184 Victoria Park Ave - Victoria Family Practice and Walk-in,416-721-5387,management@chealthnet.ca,1184 Victoria Park AveToronto  ONM4B 2K6,www.chealthnet.ca
Comprehensive Healthcare Network - Toronto - 2772 Danforth Ave - Dawes Family Practice and Walk-in,416-690-1042,,2772 Danforth AveToronto  ONM4C 1L7,www.chealthnet.ca/dawes-family-practice-walk-in
Comprehensive Healthcare Network - Toronto - 3502 Danforth Ave - Warden Family Practice and Walk-in Clinic,647-984-6172,management@chealthnet.ca,3502 Danforth AveToronto  ONM1L 1E1,www.chealthnet.ca/warden-family-practice-walk-in
Comprehensive Healthcare Network - Toronto - 3891 Don Mills Rd - Cliffwood Family Practice and Walk-in,647-532-7572,management@chealthnet.ca,3891 Don Mills RdToronto  ONM2H 2S7,www.chealthnet.ca
Danforth Main Street Clinic,416-699-3619,,2575 Danforth AveToronto  ONM4C 1L5,
Doctor's Clinic - Scarborough,416-287-3100,,4500 Kingston Rd  Suite 204Toronto  ONM1E 2N9,
Doctor's Office (The) - North York,416-256-9642,thehealthclinic9601@shoppersdrugmart.ca,770 Lawrence Ave WToronto  ONM6A 3C6,www1.shoppersdrugmart.ca/en/health-and-pharmacy/he...
Doctor's Office (The) - Scarborough - Morningside Ave (Morningside Crossing),416-284-1020,,Morningside Crossing Mall255 Morningside AveToronto  ONM1E 3E6,
Don Mills Medical Clinic,416-383-1251,medicalwi2@hotmail.com,Lower Level inside Superstore825 Don Mills RdToronto  ONM3C 1V4,
Downsview Medical Centre,416-247-3261,,1595 Wilson Ave  Suite 207Toronto  ONM3L 1A5,
Downtown Doctors Walk-in Medical Centre,416-929-1530,,720 Spadina Ave  Suite 100Toronto  ONM5S 2T9,
Dufferin Family Care Centre,416-739-1562,,Real Canadian Superstore51 Gerry Fitzgerald DrToronto  ONM3J 3N4,www.health-local.com/biz/walk-in-clinics/toronto/o...
Dufferin Medical Clinic,416-656-7733,,2045 Dufferin St  Suite 102Toronto  ONM6E 3R4,
