Store,phone,email,address,website
All In One Medical Clinic - Walk-in Clinic and Family Practice,905-832-4644,,10083 Keele St  Suite 100Maple  ONL6A 3Y8,
Allaura Medical Centre - Walk-in Clinic,905-713-1717,Allauramedical@gmail.com,2 Allaura Blvd  Unit 11Aurora  ONL4G 3S5,Allauramedical.com
Appletree Medical Centre - Keele Campus,647-722-2370,,York Lanes Health Centre  York Lanes Mall4700 Keele StToronto  ONM3J 1P3,appletreemedicalgroup.com/clinic-locations/4700-ke...
Appletree Medical Centre - North York (York Lanes),647-722-2370,,4700 Keele StToronto  ONM3J 1P3,www.appletreetoronto.com
Appletree Medical Centre - Thornhill,647-722-2370,feedback@appletreemedicalgroup.com,390 Steeles Ave WThornhill  ONL4J 6X2,www.appletreetoronto.com
Aria Medical Clinic,905-727-1843,ariamedicalcentre@gmail.com,300 Wellington St E  Unit 2Aurora  ONL4G 1J5,www.ariamed.ca
Atlas Medical Clinic,905-918-3560,atlasmedicalclinic88@gmail.com,1383 16th AveRichmond Hill  ONL4B 0E2,www.atlasmedicalclinic.ca
Bathurst Walk-in Clinic and Family Practice,416-633-3629,bathurstwalkinclinic@gmail.com,Wycliffe House Medical Bldg4430 Bathurst St  Suite 101Toronto  ONM3H 3S3,www.bathurstwalkinclinic.ca
Children's After Hours Clinic - Sheppard Branch,416-250-5000,,1100 Sheppard Ave E  Suite 100Toronto  ONM2K 2W1,www.kidsafterhoursclinic.ca
Cliffwood Family Practice and Walk-In,647-532-7572,management@chealthnet.ca,3891 Don Mills RdToronto  ONM2H 2S7,www.chealthnet.ca/cliffwood-family-practice-walk-i...
Community Walk-in Clinic,905-731-5662,info@communitywalkinclinic.ca,7117 Bathurst St  Suite 56Thornhill  ONL4J 2J6,www.communitywalkinclinic.ca
Comprehensive Healthcare Network - Toronto - 3891 Don Mills Rd - Cliffwood Family Practice and Walk-in,647-532-7572,management@chealthnet.ca,3891 Don Mills RdToronto  ONM2H 2S7,www.chealthnet.ca
Doctor's Office (The) - North York,416-256-9642,thehealthclinic9601@shoppersdrugmart.ca,770 Lawrence Ave WToronto  ONM6A 3C6,www1.shoppersdrugmart.ca/en/health-and-pharmacy/he...
Doctor's Office (The) - Richmond Hill,905-508-4114,,9625 Yonge StRichmond Hill  ONL4C 5T2,
Doctors on Bayview,905-726-9755,,15900 Bayview AveAurora  ONL4G 7Y3,
Don Mills Medical Clinic,416-383-1251,medicalwi2@hotmail.com,Lower Level inside Superstore825 Don Mills RdToronto  ONM3C 1V4,
Downsview Medical Centre,416-247-3261,,1595 Wilson Ave  Suite 207Toronto  ONM3L 1A5,
Dufferin Family Care Centre,416-739-1562,,Real Canadian Superstore51 Gerry Fitzgerald DrToronto  ONM3J 3N4,www.health-local.com/biz/walk-in-clinics/toronto/o...
Earl Bales Walk-in Clinic and Family Practice,647-352-7188,info@earlbaleswalkin.com,4256 Bathurst St  Suite 100Toronto  ONM3H 5Y8,www.earlbaleswalkin.com
Elgin Mills Crossing Clinic,905-770-7143,info@drsheth.ca,10 John Birchall Rd  Unit 3Richmond Hill  ONL4S 0B2,
Enhanced Care Family Practice and Walk-in Clinic,905-505-0950,reception@enhancedcare.ca,14872 Yonge StAurora  ONL4G 1N2,www.enhancedcare.ca
Enhanced Care Family Practice and Walk-in Clinic Thornhill,905-707-7309,receptionth@enhancedcare.ca,7335 Yonge StThornhill  ONL3T 2B2,www.enhancedcare.ca
Enhanced Care Medical Clinic - Aurora East,905-841-3450,reception@enhancedcare.ca,25 William Graham DrAurora  ONL4G 3G3,www.enhancedcare.ca
Enhanced Care Medical Clinic - Beeton,905-729-0412,reception@enhancedcare.ca,34 Main St WBeeton  ONL0G 1A0,www.enhancedcare.ca
Enhanced Care Medical Clinic - Keswick,905-535-5588,reception@enhancedcare.ca,443 The Queensway StKeswick  ONL4P 3J4,enhancedcare.ca/keswick/
Enhanced Care Medical Clinic - Newmarket,905-895-8631,reception@enhancedcare.ca,130 Davis DrNewmarket  ONL3Y 2N1,www.enhancedcare.ca/newmarket-clinic/
Georgina Health Centre - Walk-in Medical Clinic,905-535-6000,info@georginahealthcentre.ca,716 The Queensway SKeswick  ONL4P 4C9,www.georginahealthcentre.ca
Get Well Clinic - Walk-in Medical Clinic,416-508-5691,,649 Sheppard Ave WToronto  ONM3H 2S4,www.getwellclinic.ca
Health Medical Centre - Walk-in Clinic,416-492-1111,healthmedicalcentre@outlook.com,70 Forest Manor Road  Unit 6North York  ONM2J 0A9,
HealthOne Medical Centre,416-223-6666,info@healthonemedicalcentre.com,5292 Yonge StToronto  ONM2N 5P9,www.healthonemedicalcentre.com
Hopewell Clinic,416-256-1115,info@hopewellpharmacy.ca,c/o Shoukry Koussa100 Marlee AveToronto  ONM6E 3B5,www.hopewellclinic.com
Hullmark Medical Clinic,647-748-4448,info@hullmarkmedicalclinic.com,4789 Yonge St  Unit 1019Toronto  ONM2N 0G3,
Improved Care Medical Clinic,905-833-8421,improvedcare@outlook.com,1700 King Rd  Unit 12King City  ONL7B 0N1,www.improvedcare.ca
Jane Major Mac Walk-in Medical Centre - Dr Robert Chen,905-303-4657,,2943 Major Mackenzie Dr  Unit 9Maple  ONL6A 3N9,
Keele and Sheppard Walk-in Clinic,416-614-9686,,3585 Keele St  Unit 10Toronto  ONM3J 3H5,
Keswick Medical And Wellness Clinic - Medical Walk-in and Nurses Clinic,905-535-5556,admin@keswickmedclinic.com,Georgina Health Centre716 The Queensway SKeswick  ONL4P 4C9,www.keswickmedclinic.com
Urgent Care Centre,905-832-4554 (Vaughan)905-883-1212 (Richmond Hill),,9401 Jane StVaughan  ONL6A 4H7,www.mackenziehealth.ca/ucc
Major Mackenzie Medical Centre - Walk-in and Family Practice,416-410-1770,info@majormacmedical.ca,3420 Major Mackenzie Dr W  Unit 101Woodbridge  ONL4H 4J6,www.majormacmedical.ca
Markham Road Medical Centre,905-472-7400,,7160 Markham RdMarkham  ONL3S 3J8,
Markham Stouffville Urgent Care,905-472-8911,,110 Copper Creek Dr  Suite 100Markham  ONL6B 0P9,www.myurgentcarecentre.com
Marlee Medical Centre,416-780-9986,,249 Marlee AveToronto  ONM6B 4B8,www.marleemedicalclinic.com
Matlis Medical,905-881-3212,info@matlismedical.com,8200 Bayview AveThornhill  ONL3T 2S2,www.matlismedical.com
MCI Doctor's Office (The) - Thornhill - John St (Thornhill Square),905-764-0188,,300 John St  Suite 203Thornhill  ONL3T 5W4,mcithedoctorsoffice.ca/locations/thornhill-square
