Store,phone,email,address,website
Ajax Family Care Centre,905-426-2501,,Real Canadian Superstore  2nd Fl30 Kingston Rd WAjax  ONL1T 4K8,
Appletree Medical Centre - Ajax,905-426-9880,,1 Rossland Rd W  Unit 15Ajax  ONL1Z 1Z2,www.appletreetoronto.com
Appletree Medical Centre - Scarborough,647-722-2370,info@appletreemedicalgroup.com,2025 Midland AveToronto  ONM1P 3E2,www.appletreemedicalgroup.com
Blue Rose Medical Centre,416-754-9000,info@bluerosemedical.ca,1910 Kennedy Rd  Units 5 and 6Toronto  ONM1P 2L8,
Bowmanville Urgent Care Clinic,905-623-6458,,222 King St E  Suite 1100Bowmanville  ONL1C 1P6,www.bowmanvillehealthcentre.ca
Brimley Road Family Clinic,416-412-3333,,Brimley Road Medical Centre3333 Brimley Rd  Unit AToronto  ONM1V 2J7,
Cassandra Medical Clinic,416-331-9111,,2048 Victoria Park AveToronto  ONM1R 1V4,www.cassandraclinic.com
Central Whitby Clinic,905-493-8500,centralwhitbyclinic@gmail.com,728 Anderson StWhitby  ONL1N 3V6,www.centralwhitbyclinic.ca
Children's After Hours Walk-In Clinic - Ajax,905-427-1445,,38 Church St SAjax  ONL1S 6A6,
After Hours Clinic - Lindsay Site,705-880-1213,info@cklfamilyhealthteam.com,55 Angeline St N  Suite 2 and 3Lindsay  ONK9V 5B7,www.cklfamilyhealthteam.com
Clarington Urgent Care Clinic,905-697-1466,,2320 Hwy 2Bowmanville  ONL1C 3K7,
Courtice Health Centre,905-723-8551 ext 2,,1450 Hwy 2 ECourtice  ONL1E 3C3,www.oshawaclinic.com
Danforth Medical Centre,416-264-4848,,880 Danforth RdToronto  ONM1K 1H2,
Doctor's Clinic - Scarborough,416-287-3100,,4500 Kingston Rd  Suite 204Toronto  ONM1E 2N9,
Doctor's Office (The) - Scarborough - Morningside Ave (Morningside Crossing),416-284-1020,,Morningside Crossing Mall255 Morningside AveToronto  ONM1E 3E6,
Doctor's Office (The) - Whitby,905-668-6448,,Thickson Place Plaza80 Thickson Rd SWhitby  ONL1N 7T2,www.mcithedoctorsoffice.ca
Eglinton Health Care Center - Scarborough - Diagnostic Centre,416-438-6633,elgintonhealthcare@gmail.com,2950 Eglinton Ave E  Unit 1Toronto  ONM1J 2E7,www.eglintonhealthcare.ca
Ellesmere Family Health Group - Walk-in Clinic and Family Practice,416-690-3533 or 416-690-3450,info@ellesmerefamilyhealth.com,c/o Dr Khalid Alazhari2100 Ellesmere Rd  Suite 106Toronto  ONM1H 3B7,www.ellesmerefamilyhealth.com
Enhanced Care Medical Clinic - Ajax,289-660-0536,reception@enhancedcare.ca,38 Church St SAjax  ONL1S 6B3,enhancedcare.ca/ajax/
