Store,phone,email,address,website
Amherstburg Medical Associates and Walk-In Clinic,Office: 519-736-5444Walk-in Clinic: 519-736-8046,,71 Sandwich St SAmherstburg  ONN9V 3L4,
Central Mall - Walk-in Clinic,519-948-0011,,3691 Tecumseh Rd EWindsor  ONN8W 1H8,
Central Walk-in Clinic - Leamington,,,38 Erie St NLeamington  ONN8H 2Z3,
Central Walk-In Clinic - Windsor,519-948-5415,,5415 Tecumseh Rd E  Unit 501Windsor  ONN8T 1C5,
Chatham-Kent Family Practice and Walk in Clinic,519-358-7158,chathamwalkinclinic@gmail.com,125 Keil Dr SChatham  ONN7M 3H3,
Church Street Clinic,519-962-2691,,366 Wyandotte St WWindsor  ONN9A 5X2,
Coral Medical Centre,519-250-6990,,1400 Provincial RdWindsor  ONN8W 5W1,www.coralmedicalcentre.com/walk-in-clinic
Erie Health and Wellness Centre,519-252-0007,info@skipthewaitingroom.com,101 Erie St EWindsor  ONN9A 3W9,
Essex Walk-In Clinic,519-776-1559,,186 Talbot St SEssex  ONN8M 1B6,essex-walk-in-clinic.business.site
Forest Glade Medical Clinic,519-944-0005,,3145 Forest Glade DrWindsor  ONN8R 1W6,
Good Doctors Medical Clinic - Chatham,226-799-2603,,100 King St WChatham  ONN7M 6A9,www.gooddoctors.ca
Good Doctors Medical Clinic - Sarnia,226-778-4811,,206 Maxwell StSarnia  ONN7T 5C3,www.gooddoctors.ca
Good Doctors Medical Clinic - Watford,226-799-3184,,5299 Nauvoo RdWatford  ONN0M 2S0,www.gooddoctors.ca
Grand Marais Medical Centre - Walk-In Clinic,226-773-6260,grandmaraismd@gmail.com,2930 Dominion BlvdWindsor  ONN9E 2M2,grandmaraismedicalcentre.webstarts.com/index.html
Howard Avenue Walk-in Clinic,519-258-5696,,2462 Howard Ave  Suite 109Windsor  ONN8X 3V6,
Lakeshore Medical Center - Belle River,519-728-0574,rlc1971@outlook.com,330 Notre Dame StBelle River  ONN0R 1A0,
LaSalle After Hours Walk-In Clinic,519-970-9305,,6525 Malden RdLaSalle  ONN9H 1T5,
