Store,email
Fairview Pharmacy - North York,05fairview.pharmacy@gmail.com
Queensway Pharmacy,101queenswayph@gmail.com
Kleinburg Pharmacy,10462islington@rogers.com
New Family Medicine Network - 1110 Sheppard Ave Site,1110docs@gmail.com
Pharmasave - Ottawa - Bank St,1355pharmasave@gmail.com
Access Care Pharmacy,1accesscarepharmacy@gmail.com
Trinity Medical and Travel Clinic - East Gwillimbury,2trinitymedical@gmail.com
3M Drug Mart,3mbathurst@gmail.com
RX Drugmart - Lindsay,5005pharmacy@rxdm.ca
RX DrugMart - Englehart,5009pharmacy@rxdm.ca
CARESPACE Health+Wellness,564weber@carespace.biz
Pape Drug Mart,751papedrugmart@gmail.com
Metro Drugs - Toronto - 844 Bathurst St,844bathurst@metrodrugs.ca
PhysioForm Rehab,8525physioform@gmail.com
Court Street Pharmacy,9courtstreetpharmacy@gmail.com
Caressant Care Cobden - Nursing and Retirement Home,aanderson@caressantcare.com
A Body in Motion Rehabilitation (Kitchener - Victoria St),abodyinmotion@on.aibn.com
A Body in Motion Rehabilitation (Waterloo - The Boardwalk),abodyinmotion@theboardwalkmedical.com
Massage Muskoka,abrechin@gmail.com
Academy Foot and Orthotic Clinics,academyclinics@gmail.com
Nursing Care Centre - Simcoe,access@lhins.on.ca
Post Inn Village,accesshalton@halton.ca
Long-Term Care Branch,accessyork@york.ca
Assault Care and Treatment Program,act@slmhc.on.ca
Active Recovery Sports Injury and Rehabilitation Clinic - Courtice Site,active@oshawaclinic.com
Active Health Massage Therapy Clinic,activehealth@on.aibn.com
Acton Medical and Urgent Care Clinic,actonmedical@cogeco.net
Hyland Crest,adecarlo@hhhs.ca
Action Plus Physiotherapy - Embrun - Head Office - Physiotherapy,adm.embrun.actionplusphysio@gmail.com
Hardy Terrace Long-Term Care Home,adm.hterrace@verveseniorliving.com
Emergency Department,admin.tb@nosh.ca
Abbey Medical Centre,admin@abbeymedical.ca
Advantage Physiotherapy and Rehabilitation,admin@advantagephysio.com
Alliston Physiotherapy & Sports Rehabilitation,admin@allistonphysiotherapy.com
Babcock Community Care Centre,admin@babcockonline.com
Back Works Spinal and Sports Rehabilitation,admin@backworks.ca
McGaghey's Footcare,admin@cambridgephysio.ca
City X-Ray Services,admin@cityxray.ca
Eastview Physiotherapy,admin@eastviewphysiotherapy.com
Eden House Care Facility,admin@edenhousecarehome.ca
Evercare Medical Centre - Toronto - 137 Roncesvalles Ave,admin@evercaremedical.ca
First Care Physiotherapy and Registered Massage TherapyClinic,admin@firstcarephysiotherapy.com
Halton Community Rehab Centre,admin@hcrc.ca
Heart Lake Health Center,admin@heartlakemed.com
