Year/Month,Number of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Price of Monthly Change,Percentage of Monthly Change,Days on Market
2020/September,320,$468749,$474612,1.25%,-$1763,-0.37%,15
2020/August,329,$468450,$476375,1.69%,$20750,4.55%,13
2020/July,395,$452299,$455625,0.73%,$2525,0.55%,13
2020/June,321,$451687,$453100,0.31%,$26113,6.11%,14
2020/May,198,$430675,$426987,-0.85%,-$14388,-3.25%,23
2020/April,95,$449537,$441375,-1.81%,$4000,0.91%,18
2020/March,235,$441562,$437375,-0.94%,$5025,1.16%,12
2020/February,230,$435649,$432350,-0.75%,-$11025,-2.48%,13
2020/January,139,$449875,$443375,-1.44%,$34513,8.44%,24
2019/December,118,$411162,$408862,-0.55%,$14187,3.59%,21
2019/November,180,$400837,$394675,-1.53%,-$17950,-4.35%,30
2019/October,233,$420975,$412625,-1.98%,-$6600,-1.57%,21
2019/September,202,$427812,$419225,-2%,$8378,2.03%,21
2019/August,200,$421212,$410847,-2.46%,$1182,0.28%,25
2019/July,212,$419762,$409665,-2.4%,$11165,2.8%,20
2019/June,203,$407150,$398500,-2.12%,$1875,0.47%,18
2019/May,249,$405134,$396625,-2.1%,-$24162,-5.74%,22
2019/April,206,$425812,$420787,-1.18%,$19162,4.77%,19
2019/March,182,$407350,$401625,-1.4%,$21278,5.59%,19
2019/February,114,$386547,$380347,-1.6%,-$15715,-3.96%,19
2019/January,95,$402175,$396062,-1.51%,$6312,1.61%,30
2018/December,96,$400250,$389750,-2.62%,$15625,4.17%,29
2018/November,160,$382050,$374125,-2.07%,$5500,1.49%,33
2018/October,187,$379825,$368625,-2.94%,-$7750,-2.05%,29
2018/September,168,$385025,$376375,-2.24%,-$3625,-0.95%,32
2018/August,190,$391800,$380000,-3.01%,-$675,-0.17%,36
2018/July,169,$389562,$380675,-2.28%,-$15575,-3.93%,26
2018/June,244,$403037,$396250,-1.68%,$8775,2.26%,21
2018/May,164,$397425,$387475,-2.5%,$3725,0.97%,20
2018/April,177,$390950,$383750,-1.84%,-$17400,-4.33%,24
2018/March,150,$406062,$401150,-1.2%,$18975,4.96%,18
2018/February,129,$387812,$382175,-1.45%,$81550,27.12%,21
2018/January,94,$310562,$300625,-3.19%,-$74750,-19.91%,27
2017/December,111,$389137,$375375,-3.53%,-$17750,-4.51%,35
2017/November,206,$401150,$393125,-2%,$22900,6.18%,26
2017/October,212,$378525,$370225,-2.19%,$17225,4.87%,26
2017/September,163,$361062,$353000,-2.23%,-$15600,-4.23%,26
2017/August,183,$380575,$368600,-3.14%,$100,0.02%,25
2017/July,156,$374450,$368500,-1.58%,$15375,4.35%,19
2017/June,223,$362200,$353125,-2.5%,-$30112,-7.85%,19
2017/May,344,$373337,$383237,2.65%,-$32388,-7.79%,11
2017/April,334,$391175,$415625,6.25%,$1500,0.36%,7
2017/March,312,$386775,$414125,7.07%,$22125,5.64%,9
2017/February,203,$359625,$392000,9%,-$80625,-17.05%,10
2017/January,97,$463912,$472625,1.87%,$60750,14.74%,27
2016/December,106,$415825,$411875,-0.94%,$69888,20.43%,23
2016/November,186,$336425,$341987,1.65%,-$33263,-8.86%,16
2016/October,166,$369875,$375250,1.45%,$56463,17.71%,13
2016/September,172,$314175,$318787,1.46%,-$22569,-6.61%,13
2016/August,224,$336912,$341356,1.31%,$12381,3.76%,11
2016/July,154,$326175,$328975,0.85%,$12663,4%,13
2016/June,233,$316300,$316312,0%,$9200,2.99%,13
2016/May,245,$305862,$307112,0.4%,$2612,0.85%,11
2016/April,249,$306775,$304500,-0.74%,$1388,0.45%,17
2016/March,200,$303062,$303112,0.01%,$8987,3.05%,15
2016/February,141,$293550,$294125,0.19%,$20625,7.54%,13
2016/January,103,$277800,$273500,-1.54%,$825,0.3%,15
2015/December,88,$276050,$272675,-1.22%,-$1200,-0.43%,30
2015/November,133,$281562,$273875,-2.73%,-$9737,-3.43%,30
2015/October,162,$288812,$283612,-1.8%,$13987,5.18%,20
2015/September,161,$272425,$269625,-1.02%,-$34112,-11.23%,25
2015/August,156,$305262,$303737,-0.49%,$36969,13.85%,19
2015/July,199,$268287,$266768,-0.56%,$456,0.17%,17
2015/June,235,$271025,$266312,-1.73%,-$13938,-4.97%,21
2015/May,228,$283075,$280250,-0.99%,$13150,4.92%,14
2015/April,186,$269500,$267100,-0.89%,$8475,3.27%,17
2015/March,166,$263425,$258625,-1.82%,$4475,1.76%,21
2015/February,131,$255362,$254150,-0.47%,-$5200,-2%,22
2015/January,82,$263062,$259350,-1.41%,$15288,6.26%,34
2014/December,83,$249675,$244062,-2.24%,-$31925,-11.56%,27
2014/November,113,$280900,$275987,-1.74%,$29362,11.9%,30
2014/October,118,$253312,$246625,-2.63%,-$7750,-3.04%,22
2014/September,128,$261012,$254375,-2.54%,-$16312,-6.02%,21
2014/August,152,$274037,$270687,-1.22%,$19825,7.9%,24
2014/July,157,$256212,$250862,-2.08%,$10364,4.3%,28
2014/June,168,$243662,$240498,-1.29%,-$24239,-9.15%,23
2014/May,230,$268912,$264737,-1.55%,$15812,6.35%,27
2014/April,183,$252000,$248925,-1.22%,$3300,1.34%,23
2014/March,126,$250525,$245625,-1.95%,-$10750,-4.19%,23
2014/February,105,$261050,$256375,-1.79%,$29888,13.19%,20
2014/January,67,$231400,$226487,-2.12%,$2762,1.23%,20
2013/December,60,$227987,$223725,-1.86%,-$2587,-1.14%,42
2013/November,88,$230325,$226312,-1.74%,-$7340,-3.14%,29
2013/October,125,$238061,$233652,-1.85%,-$30323,-11.48%,32
2013/September,101,$272400,$263975,-3.09%,$6475,2.51%,63
2013/August,125,$263700,$257500,-2.35%,$16375,6.79%,36
2013/July,153,$246062,$241125,-2%,-$2687,-1.1%,28
2013/June,155,$249762,$243812,-2.38%,$18025,7.98%,33
2013/May,162,$230862,$225787,-2.19%,$36037,18.99%,29
2013/April,158,$193675,$189750,-2.02%,-$75875,-28.56%,19
2013/March,127,$272970,$265625,-2.69%,$75375,39.61%,30
2013/February,88,$195212,$190250,-2.54%,-$35975,-15.9%,18
2013/January,63,$233537,$226225,-3.13%,$3688,1.65%,36
2012/December,54,$229800,$222537,-3.16%,-$4150,-1.83%,50
2012/November,91,$231487,$226687,-2.07%,-$1938,-0.84%,43
2012/October,106,$235736,$228625,-3.01%,$6452,2.9%,43
2012/September,97,$228085,$222173,-2.59%,-$9420,-4.06%,41
2012/August,110,$239925,$231593,-3.47%,-$9369,-3.88%,53
2012/July,126,$248450,$240962,-3.01%,$15587,6.91%,58
2012/June,145,$230575,$225375,-2.25%,$2000,0.89%,50
2012/May,175,$226400,$223375,-1.33%,-$534,-0.23%,25
2012/April,151,$228409,$223909,-1.97%,$33284,17.46%,34
2012/March,121,$193075,$190625,-1.26%,-$41337,-17.82%,30
2012/February,113,$237286,$231962,-2.24%,-$8600,-3.57%,31
2012/January,68,$247737,$240562,-2.89%,$19125,8.63%,63
2011/December,51,$225687,$221437,-1.88%,$20375,10.13%,48
2011/November,87,$205598,$201062,-2.2%,-$20375,-9.2%,36
2011/October,80,$226937,$221437,-2.42%,$4312,1.98%,37
2011/September,84,$219575,$217125,-1.11%,$7375,3.51%,38
2011/August,118,$216750,$209750,-3.22%,$500,0.23%,44
2011/July,106,$213625,$209250,-2.04%,$31125,17.47%,53
2011/June,116,$183462,$178125,-2.9%,-$18612,-9.46%,36
2011/May,92,$202050,$196737,-2.62%,-$7013,-3.44%,47
2011/April,93,$207625,$203750,-1.86%,-$14487,-6.63%,35
2011/March,85,$225187,$218237,-3.08%,-$9638,-4.22%,32
2011/February,70,$233800,$227875,-2.53%,$61688,37.11%,38
2011/January,46,$171687,$166187,-3.2%,-$24563,-12.87%,76
2010/December,43,$195537,$190750,-2.44%,-$44687,-18.98%,82
2010/November,52,$244652,$235437,-3.76%,$71687,43.77%,48
2010/October,65,$167325,$163750,-2.13%,-$40200,-19.71%,42
2010/September,63,$211536,$203950,-3.58%,-$10112,-4.72%,48
2010/August,53,$221825,$214062,-3.49%,$61437,40.25%,41
2010/July,55,$158450,$152625,-3.67%,-$63750,-29.46%,36
2010/June,70,$220410,$216375,-1.83%,$27438,14.52%,67
2010/May,78,$193175,$188937,-2.19%,-$32188,-14.55%,19
2010/April,97,$225837,$221125,-2.08%,$15382,7.47%,28
2010/March,78,$210787,$205743,-2.39%,-$9757,-4.52%,27
2010/February,47,$220547,$215500,-2.28%,$6763,3.23%,57
