Year/Month,Number of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Price of Monthly Change,Percentage of Monthly Change,Days on Market
2020/September,356,$702823,$726987,3.43%,$8237,1.14%,11
2020/August,308,$710812,$718750,1.11%,$5000,0.7%,10
2020/July,366,$706050,$713750,1.09%,$12927,1.84%,10
2020/June,292,$695797,$700823,0.72%,$31011,4.62%,10
2020/May,160,$677823,$669812,-1.18%,$27562,4.29%,14
2020/April,100,$647425,$642250,-0.79%,-$49812,-7.19%,14
2020/March,236,$674822,$692062,2.55%,-$10313,-1.46%,6
2020/February,207,$681425,$702375,3.07%,$24500,3.61%,8
2020/January,137,$654675,$677875,3.54%,$8264,1.23%,10
2019/December,92,$672836,$669611,-0.47%,$6799,1.02%,22
2019/November,191,$677200,$662812,-2.12%,$27375,4.3%,15
2019/October,210,$633239,$635437,0.34%,$3075,0.48%,15
2019/September,205,$637675,$632362,-0.83%,$19462,3.17%,13
2019/August,206,$629300,$612900,-2.6%,-$325,-0.05%,17
2019/July,179,$620934,$613225,-1.24%,-$4300,-0.69%,17
2019/June,247,$630900,$617525,-2.11%,-$2975,-0.47%,15
2019/May,280,$625487,$620500,-0.79%,$3882,0.62%,16
2019/April,272,$623050,$616618,-1.03%,-$4132,-0.66%,14
2019/March,232,$633225,$620750,-1.97%,$31700,5.38%,14
2019/February,148,$592186,$589050,-0.52%,$6550,1.12%,14
2019/January,138,$598923,$582500,-2.74%,-$9488,-1.6%,17
2018/December,103,$606062,$591988,-2.32%,-$8449,-1.4%,31
2018/November,167,$618662,$600437,-2.94%,-$8938,-1.46%,21
2018/October,170,$615949,$609375,-1.06%,$20125,3.41%,21
2018/September,203,$599687,$589250,-1.74%,$625,0.1%,20
2018/August,204,$601809,$588625,-2.19%,$2819,0.48%,21
2018/July,179,$595375,$585806,-1.6%,-$12319,-2.05%,22
2018/June,212,$604312,$598125,-1.02%,-$5337,-0.88%,18
2018/May,292,$613425,$603462,-1.62%,$21487,3.69%,16
2018/April,237,$586150,$581975,-0.71%,-$26900,-4.41%,15
2018/March,194,$621574,$608875,-2.04%,$37750,6.6%,13
2018/February,137,$578037,$571125,-1.19%,-$10687,-1.83%,15
2018/January,104,$599562,$581812,-2.96%,$7312,1.27%,22
2017/December,124,$586699,$574500,-2.07%,$7563,1.33%,25
2017/November,198,$581337,$566937,-2.47%,-$2400,-0.42%,20
2017/October,191,$573673,$569337,-0.75%,-$29788,-4.97%,22
2017/September,130,$610637,$599125,-1.88%,$29750,5.22%,18
2017/August,145,$588474,$569375,-3.24%,-$7375,-1.27%,25
2017/July,137,$584950,$576750,-1.4%,-$25250,-4.19%,19
2017/June,203,$599675,$602000,0.38%,-$17350,-2.8%,11
2017/May,276,$608312,$619350,1.81%,-$10650,-1.69%,8
2017/April,259,$584675,$630000,7.75%,-$10500,-1.63%,6
2017/March,302,$594312,$640500,7.77%,$8813,1.39%,7
2017/February,204,$569847,$631687,10.85%,$28729,4.76%,6
2017/January,122,$567199,$602958,6.3%,$46583,8.37%,10
2016/December,93,$558662,$556375,-0.4%,$11969,2.19%,19
2016/November,185,$540975,$544406,0.63%,$16069,3.04%,11
2016/October,179,$525937,$528337,0.45%,-$23850,-4.31%,10
2016/September,170,$540925,$552187,2.08%,$19312,3.62%,10
2016/August,202,$526787,$532875,1.15%,$9844,1.88%,12
2016/July,179,$516641,$523031,1.23%,$1806,0.34%,11
2016/June,271,$498650,$521225,4.52%,-$701,-0.13%,10
2016/May,262,$503475,$521926,3.66%,$19176,3.81%,10
2016/April,278,$486775,$502750,3.28%,$20000,4.14%,11
2016/March,216,$473537,$482750,1.94%,-$15750,-3.15%,9
2016/February,134,$494275,$498500,0.85%,$12888,2.65%,13
2016/January,94,$495087,$485612,-1.91%,$37525,8.37%,11
2015/December,89,$455300,$448087,-1.58%,-$5413,-1.19%,17
2015/November,140,$465850,$453500,-2.65%,$4325,0.96%,20
2015/October,180,$449909,$449175,-0.16%,-$7831,-1.71%,14
2015/September,168,$462725,$457006,-1.23%,$7381,1.64%,16
2015/August,168,$450915,$449625,-0.28%,$11613,2.65%,17
2015/July,193,$443062,$438012,-1.13%,-$19871,-4.33%,17
2015/June,237,$458600,$457883,-0.15%,$12090,2.71%,17
2015/May,231,$444612,$445793,0.26%,-$2582,-0.57%,16
2015/April,232,$456350,$448375,-1.74%,-$4125,-0.91%,16
2015/March,204,$452772,$452500,-0.06%,-$7875,-1.71%,12
2015/February,132,$464050,$460375,-0.79%,$41403,9.88%,15
2015/January,97,$424188,$418972,-1.22%,$7035,1.7%,19
2014/December,74,$421937,$411937,-2.37%,-$16163,-3.77%,23
2014/November,128,$436150,$428100,-1.84%,-$1150,-0.26%,22
2014/October,124,$438850,$429250,-2.18%,$15594,3.76%,20
2014/September,153,$422112,$413656,-2%,-$8082,-1.91%,18
2014/August,127,$432775,$421738,-2.55%,$9238,2.23%,22
2014/July,176,$415324,$412500,-0.67%,-$4875,-1.16%,18
2014/June,187,$421950,$417375,-1.08%,$13125,3.24%,21
2014/May,193,$406487,$404250,-0.55%,-$7237,-1.75%,18
2014/April,173,$416650,$411487,-1.23%,-$575,-0.13%,15
2014/March,133,$417787,$412062,-1.37%,$16625,4.2%,16
2014/February,82,$399512,$395437,-1.01%,-$15688,-3.81%,26
2014/January,74,$419967,$411125,-2.1%,$22063,5.67%,27
2013/December,72,$393175,$389062,-1.04%,$7325,1.91%,27
2013/November,114,$390900,$381737,-2.34%,$13300,3.6%,26
2013/October,113,$374912,$368437,-1.72%,-$25906,-6.56%,20
2013/September,97,$399949,$394343,-1.4%,$11231,2.93%,22
2013/August,100,$393299,$383112,-2.59%,-$21575,-5.33%,22
2013/July,116,$411686,$404687,-1.7%,$25025,6.59%,17
2013/June,120,$393862,$379662,-3.6%,-$5313,-1.38%,13
2013/May,125,$391637,$384975,-1.7%,-$2825,-0.72%,21
2013/April,122,$390162,$387800,-0.6%,-$11812,-2.95%,18
2013/March,108,$405287,$399612,-1.4%,$17500,4.57%,17
2013/February,59,$392411,$382112,-2.62%,$10562,2.84%,28
2013/January,57,$376750,$371550,-1.38%,-$39187,-9.54%,22
2012/December,41,$421535,$410737,-2.56%,$33362,8.84%,26
2012/November,72,$388437,$377375,-2.84%,$6750,1.82%,20
2012/October,73,$382937,$370625,-3.21%,$21027,6.01%,28
2012/September,72,$355410,$349598,-1.63%,-$32027,-8.39%,19
2012/August,74,$388548,$381625,-1.78%,$10875,2.93%,20
2012/July,69,$380312,$370750,-2.51%,-$4062,-1.08%,21
2012/June,105,$379896,$374812,-1.33%,$24737,7.06%,17
2012/May,85,$351062,$350075,-0.28%,-$11300,-3.12%,14
2012/April,87,$364588,$361375,-0.88%,-$15550,-4.12%,20
2012/March,171,$379550,$376925,-0.69%,$4700,1.26%,12
2012/February,146,$373812,$372225,-0.42%,$19975,5.67%,17
2012/January,105,$364100,$352250,-3.25%,-$2500,-0.7%,18
2011/December,52,$359000,$354750,-1.18%,$7938,2.28%,26
2011/November,124,$354575,$346812,-2.18%,$6337,1.86%,29
2011/October,128,$348144,$340475,-2.2%,$2300,0.68%,22
2011/September,129,$343650,$338175,-1.59%,-$30812,-8.35%,22
2011/August,130,$375037,$368987,-1.61%,$11262,3.14%,18
2011/July,125,$364900,$357725,-1.96%,$2163,0.6%,19
2011/June,179,$358225,$355562,-0.74%,$3156,0.89%,18
2011/May,175,$359675,$352406,-2.02%,$17031,5.07%,21
2011/April,150,$338275,$335375,-0.85%,-$5375,-1.57%,18
2011/March,176,$345387,$340750,-1.34%,$14000,4.28%,17
2011/February,141,$333025,$326750,-1.88%,-$5875,-1.76%,23
2011/January,72,$339900,$332625,-2.14%,$22000,7.08%,43
2010/December,68,$318650,$310625,-2.51%,-$14125,-4.34%,42
2010/November,118,$328862,$324750,-1.25%,$5813,1.82%,30
2010/October,122,$321075,$318937,-0.66%,-$6163,-1.89%,26
2010/September,106,$333025,$325100,-2.37%,$10225,3.24%,33
2010/August,104,$325162,$314875,-3.16%,-$7137,-2.21%,35
2010/July,138,$330987,$322012,-2.71%,$13575,4.4%,25
2010/June,134,$315987,$308437,-2.38%,-$30288,-8.94%,20
2010/May,167,$340537,$338725,-0.53%,$11363,3.47%,22
2010/April,176,$331650,$327362,-1.29%,-$638,-0.19%,13
2010/March,167,$329787,$328000,-0.54%,$12063,3.81%,16
2010/February,131,$321150,$315937,-1.62%,-$5063,-1.57%,18
2010/January,79,$325137,$321000,-1.27%,$321000,0%,31
2020/October,349,$730325,$746925,2.27%,$21925,3.02%,9
2020/November,233,$731199,$754500,3.18%,$11538,1.55%,10
