Year/Month,Number of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Price of Monthly Change,Percentage of Monthly Change,Days on Market
2020/September,263,$508425,$533125,4.85%,$6899,1.31%,9
2020/August,240,$503037,$526226,4.6%,$22364,4.43%,9
2020/July,293,$490823,$503862,2.65%,$12362,2.51%,10
2020/June,226,$489925,$491500,0.32%,$1770,0.36%,12
2020/May,146,$490537,$489730,-0.16%,$19856,4.22%,14
2020/April,106,$475950,$469874,-1.27%,-$9199,-1.92%,18
2020/March,195,$469600,$479073,2.01%,-$19990,-4%,10
2020/February,158,$498311,$499063,0.15%,$12188,2.5%,13
2020/January,90,$476186,$486875,2.24%,$24563,5.31%,20
2019/December,80,$469775,$462312,-1.58%,-$8300,-1.76%,19
2019/November,143,$473850,$470612,-0.68%,$35762,8.22%,15
2019/October,160,$434922,$434850,-0.01%,-$9623,-2.16%,12
2019/September,187,$449922,$444473,-1.21%,$17973,4.21%,10
2019/August,182,$431449,$426500,-1.14%,-$2047,-0.47%,23
2019/July,168,$427322,$428547,0.28%,-$12828,-2.9%,17
2019/June,177,$444643,$441375,-0.73%,$12988,3.03%,14
2019/May,188,$429912,$428387,-0.35%,-$6438,-1.48%,19
2019/April,175,$433725,$434825,0.25%,$15975,3.81%,19
2019/March,158,$421662,$418850,-0.66%,$8225,2%,15
2019/February,99,$413675,$410625,-0.73%,-$4287,-1.03%,14
2019/January,102,$417475,$414912,-0.61%,-$55088,-11.72%,15
2018/December,64,$494150,$470000,-4.88%,$29500,6.69%,43
2018/November,107,$448425,$440500,-1.76%,$35263,8.7%,23
2018/October,137,$410050,$405237,-1.17%,-$16700,-3.95%,21
2018/September,121,$426775,$421937,-1.13%,-$30438,-6.72%,17
2018/August,164,$464300,$452375,-2.56%,$23913,5.58%,19
2018/July,130,$428673,$428462,-0.04%,$12475,2.99%,15
2018/June,154,$421175,$415987,-1.23%,-$7113,-1.68%,19
2018/May,171,$426831,$423100,-0.87%,-$16293,-3.7%,14
2018/April,169,$440967,$439393,-0.35%,$20181,4.81%,13
2018/March,132,$421687,$419212,-0.58%,-$5163,-1.21%,10
2018/February,100,$423650,$424375,0.17%,$20463,5.06%,10
2018/January,79,$410537,$403912,-1.61%,-$22338,-5.24%,21
2017/December,79,$437437,$426250,-2.55%,$26750,6.69%,13
2017/November,149,$405375,$399500,-1.44%,$9950,2.55%,19
2017/October,153,$393087,$389550,-0.89%,-$5925,-1.49%,17
2017/September,138,$401150,$395475,-1.41%,$4725,1.2%,17
2017/August,125,$399550,$390750,-2.2%,$775,0.19%,16
2017/July,125,$389287,$389975,0.17%,-$51150,-11.59%,13
2017/June,151,$429900,$441125,2.61%,-$20262,-4.39%,8
2017/May,239,$421158,$461387,9.55%,-$23675,-4.88%,7
2017/April,270,$413037,$485062,17.43%,$37510,8.38%,6
2017/March,214,$387425,$447552,15.51%,$4240,0.95%,4
2017/February,141,$387925,$443312,14.27%,$24725,5.9%,9
2017/January,103,$376187,$418587,11.27%,$39837,10.51%,8
2016/December,73,$369937,$378750,2.38%,$81875,27.57%,14
2016/November,139,$281210,$296875,5.57%,-$64987,-17.95%,6
2016/October,183,$350062,$361862,3.37%,-$1513,-0.41%,11
2016/September,177,$348650,$363375,4.22%,$487,0.13%,10
2016/August,180,$344050,$362888,5.47%,-$6387,-1.72%,12
2016/July,148,$351950,$369275,4.92%,-$31475,-7.85%,13
2016/June,195,$384925,$400750,4.11%,$52750,15.15%,11
2016/May,241,$329500,$348000,5.61%,$17200,5.19%,6
2016/April,228,$314161,$330800,5.29%,$6975,2.15%,8
2016/March,214,$312412,$323825,3.65%,$18950,6.21%,7
2016/February,141,$296537,$304875,2.81%,$3125,1.03%,13
2016/January,97,$300887,$301750,0.28%,$2125,0.7%,10
2015/December,71,$292947,$299625,2.27%,$5325,1.8%,12
2015/November,142,$294712,$294300,-0.13%,$2050,0.7%,12
2015/October,149,$287125,$292250,1.78%,-$375,-0.12%,10
2015/September,172,$290087,$292625,0.87%,-$8912,-2.95%,16
2015/August,155,$297300,$301537,1.42%,$8275,2.82%,9
2015/July,173,$291150,$293262,0.72%,$8000,2.8%,17
2015/June,259,$284675,$285262,0.2%,-$26120,-8.38%,19
2015/May,207,$308575,$311382,0.9%,$26757,9.4%,10
2015/April,224,$283559,$284625,0.37%,$5988,2.14%,14
2015/March,198,$278287,$278637,0.12%,-$1363,-0.48%,10
2015/February,128,$281387,$280000,-0.49%,$1775,0.63%,13
2015/January,90,$276812,$278225,0.51%,$63488,29.56%,18
2014/December,76,$217962,$214737,-1.47%,-$53763,-20.02%,20
2014/November,106,$268475,$268500,0%,$12575,4.91%,17
2014/October,174,$258181,$255925,-0.87%,-$34125,-11.76%,17
2014/September,162,$292800,$290050,-0.93%,$38238,15.18%,17
2014/August,143,$254925,$251812,-1.22%,-$22563,-8.22%,15
2014/July,178,$278687,$274375,-1.54%,$1250,0.45%,12
2014/June,170,$274037,$273125,-0.33%,$11913,4.56%,11
2014/May,217,$264250,$261212,-1.14%,-$1825,-0.69%,14
2014/April,203,$259900,$263037,1.2%,$10550,4.17%,12
2014/March,164,$249912,$252487,1.03%,$57062,29.19%,8
2014/February,89,$193324,$195425,1.08%,-$149075,-43.27%,8
2014/January,89,$350412,$344500,-1.68%,$119563,53.15%,26
2013/December,65,$227712,$224937,-1.21%,-$13438,-5.63%,12
2013/November,110,$242425,$238375,-1.67%,$2338,0.99%,23
2013/October,131,$239162,$236037,-1.3%,-$21980,-8.51%,23
2013/September,145,$260787,$258017,-1.06%,$23517,10.02%,24
2013/August,145,$236775,$234500,-0.96%,$4750,2.06%,20
2013/July,135,$235300,$229750,-2.35%,-$15900,-6.47%,19
2013/June,178,$247725,$245650,-0.83%,$8650,3.64%,16
2013/May,207,$246510,$237000,-3.85%,$17563,8%,16
2013/April,168,$220975,$219437,-0.69%,-$12875,-5.54%,10
2013/March,153,$232662,$232312,-0.15%,-$4925,-2.07%,12
2013/February,105,$242400,$237237,-2.12%,$21800,10.11%,16
2013/January,84,$218975,$215437,-1.61%,-$16550,-7.13%,14
2012/December,62,$237687,$231987,-2.39%,$13487,6.17%,16
2012/November,123,$222762,$218500,-1.91%,$14275,6.98%,22
2012/October,127,$209012,$204225,-2.29%,-$4837,-2.31%,38
