Year/Month,Number of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Price of Monthly Change,Percentage of Monthly Change,Days on Market
2020/September,569,$541649,$558625,3.13%,$21500,4%,10
2020/August,556,$529037,$537125,1.52%,$13725,2.62%,11
2020/July,554,$519475,$523400,0.75%,$9494,1.84%,12
2020/June,412,$513561,$513906,0.06%,-$1219,-0.23%,12
2020/May,318,$518336,$515125,-0.61%,$12875,2.56%,20
2020/April,165,$508662,$502250,-1.26%,-$14112,-2.73%,17
2020/March,411,$509949,$516362,1.25%,$2587,0.5%,11
2020/February,358,$510312,$513775,0.67%,$19425,3.92%,11
2020/January,256,$492312,$494350,0.41%,$14239,2.96%,17
2019/December,229,$488909,$480111,-1.79%,$16374,3.53%,22
2019/November,318,$472687,$463737,-1.89%,-$14125,-2.95%,27
2019/October,393,$487422,$477862,-1.96%,$8550,1.82%,19
2019/September,337,$477187,$469312,-1.65%,$4262,0.91%,17
2019/August,317,$470425,$465050,-1.14%,-$5562,-1.18%,20
2019/July,377,$478424,$470612,-1.63%,$17375,3.83%,20
2019/June,360,$459587,$453237,-1.38%,-$749,-0.16%,18
2019/May,448,$458750,$453986,-1.03%,-$3251,-0.71%,19
2019/April,365,$463346,$457237,-1.31%,-$2061,-0.44%,19
2019/March,334,$462537,$459298,-0.7%,$15548,3.5%,19
2019/February,246,$451550,$443750,-1.72%,$10500,2.42%,19
2019/January,183,$447287,$433250,-3.13%,-$9000,-2.03%,25
2018/December,163,$454175,$442250,-2.62%,$4938,1.12%,29
2018/November,264,$446050,$437312,-1.95%,$5375,1.24%,29
2018/October,291,$442187,$431937,-2.31%,-$26625,-5.8%,27
2018/September,242,$467875,$458562,-1.99%,$7500,1.66%,22
2018/August,266,$460337,$451062,-2.01%,-$11388,-2.46%,27
2018/July,243,$476787,$462450,-3%,-$1925,-0.41%,21
2018/June,255,$474099,$464375,-2.05%,$14750,3.28%,18
2018/May,297,$456587,$449625,-1.52%,$6700,1.51%,16
2018/April,277,$446662,$442925,-0.83%,$3471,0.78%,15
2018/March,267,$446450,$439454,-1.56%,-$11596,-2.57%,15
2018/February,195,$460447,$451050,-2.04%,$33300,7.97%,16
2018/January,157,$429787,$417750,-2.8%,$10388,2.55%,35
2017/December,193,$423049,$407362,-3.7%,-$4200,-1.02%,26
2017/November,238,$427260,$411562,-3.67%,-$13875,-3.26%,30
2017/October,212,$437712,$425437,-2.8%,-$13925,-3.16%,22
2017/September,171,$445775,$439362,-1.43%,-$2013,-0.45%,29
2017/August,196,$451081,$441375,-2.15%,$15125,3.54%,24
2017/July,154,$438025,$426250,-2.68%,$162,0.03%,23
2017/June,256,$418412,$426088,1.83%,-$9537,-2.18%,13
2017/May,357,$414675,$435625,5.05%,-$35875,-7.6%,8
2017/April,325,$432437,$471500,9.03%,$31737,7.21%,6
2017/March,343,$422805,$439763,4.01%,-$1268,-0.28%,9
2017/February,210,$422506,$441031,4.38%,-$6781,-1.51%,12
2017/January,154,$445012,$447812,0.62%,$76150,20.48%,13
2016/December,143,$372175,$371662,-0.13%,-$11338,-2.96%,16
2016/November,218,$382447,$383000,0.14%,-$7937,-2.03%,13
2016/October,196,$385962,$390937,1.28%,$8062,2.1%,13
2016/September,162,$379304,$382875,0.94%,-$4812,-1.24%,11
2016/August,208,$379937,$387687,2.03%,$7682,2.02%,12
2016/July,171,$378184,$380005,0.48%,-$14332,-3.63%,14
2016/June,287,$388693,$394337,1.45%,$8212,2.12%,15
2016/May,264,$385837,$386125,0.07%,$25250,6.99%,10
2016/April,221,$357696,$360875,0.88%,$6875,1.94%,14
2016/March,235,$359912,$354000,-1.64%,$18028,5.36%,17
2016/February,174,$341412,$335972,-1.59%,-$7528,-2.19%,18
2016/January,108,$347186,$343500,-1.06%,$39375,12.94%,25
2015/December,105,$315700,$304125,-3.66%,-$7581,-2.43%,29
2015/November,133,$314687,$311706,-0.94%,-$31306,-9.12%,20
2015/October,151,$343311,$343012,-0.08%,$21262,6.6%,21
2015/September,153,$326837,$321750,-1.55%,$18700,6.17%,19
2015/August,127,$307324,$303050,-1.39%,-$33500,-9.95%,22
2015/July,186,$340937,$336550,-1.28%,$25550,8.21%,20
2015/June,200,$314687,$311000,-1.17%,-$17437,-5.3%,13
2015/May,215,$335537,$328437,-2.11%,$11062,3.48%,17
2015/April,173,$322687,$317375,-1.64%,-$18737,-5.57%,15
2015/March,161,$343450,$336112,-2.13%,$5537,1.67%,20
2015/February,102,$335875,$330575,-1.57%,$48538,17.2%,18
