Year/Month,Number of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Price of Monthly Change,Percentage of Monthly Change,Days on Market
2020/September,53,$822211,$792625,-3.59%,-$1075,-0.13%,16
2020/August,66,$814087,$793700,-2.5%,-$241550,-23.33%,17
2020/July,64,$1064224,$1035250,-2.72%,$268375,34.99%,13
2020/June,58,$777986,$766875,-1.42%,$41875,5.77%,10
2020/May,22,$742625,$725000,-2.37%,$353750,95.28%,15
2020/April,10,$404237,$371250,-8.16%,-$396500,-51.64%,28
2020/March,42,$767987,$767750,-0.03%,$321588,72.07%,12
2020/February,34,$450975,$446162,-1.06%,-$263875,-37.16%,13
2020/January,17,$729550,$710037,-2.67%,$240162,51.11%,44
2019/December,15,$486925,$469875,-3.5%,-$237687,-33.59%,34
2019/November,29,$717712,$707562,-1.41%,-$5188,-0.72%,19
2019/October,19,$746575,$712750,-4.53%,$60638,9.29%,25
2019/September,34,$664112,$652112,-1.8%,-$20763,-3.08%,14
2019/August,38,$717975,$672875,-6.28%,$141375,26.59%,18
2019/July,31,$552475,$531500,-3.79%,-$40062,-7%,14
2019/June,27,$557212,$571562,2.57%,$60312,11.79%,19
2019/May,27,$505862,$511250,1.06%,-$168750,-24.81%,15
2019/April,30,$698475,$680000,-2.64%,$82500,13.8%,19
2019/March,9,$609450,$597500,-1.96%,-$57000,-8.7%,27
2019/February,19,$670700,$654500,-2.41%,-$78487,-10.7%,26
2019/January,19,$760350,$732987,-3.59%,$244237,49.97%,41
2018/December,8,$497000,$488750,-1.65%,-$159062,-24.55%,8
2018/November,30,$678424,$647812,-4.51%,-$112188,-14.76%,24
2018/October,27,$819087,$760000,-7.21%,$166250,28%,22
2018/September,22,$605975,$593750,-2.01%,-$78725,-11.7%,20
2018/August,28,$704350,$672475,-4.52%,$42475,6.74%,24
2018/July,28,$674450,$630000,-6.59%,$128750,25.68%,26
2018/June,34,$508750,$501250,-1.47%,-$288000,-36.49%,11
2018/May,40,$775362,$789250,1.79%,$35500,4.7%,19
2018/April,22,$720537,$753750,4.6%,$130000,20.84%,24
2018/March,28,$650862,$623750,-4.16%,$72625,13.17%,12
2018/February,11,$563497,$551125,-2.19%,-$143625,-20.67%,13
2018/January,11,$731350,$694750,-5%,-$59000,-7.82%,17
2017/December,10,$764975,$753750,-1.46%,$11500,1.54%,21
2017/November,25,$763500,$742250,-2.78%,$34875,4.93%,12
2017/October,24,$749661,$707375,-5.64%,$58625,9.03%,21
2017/September,21,$678711,$648750,-4.41%,-$45062,-6.49%,14
2017/August,13,$719487,$693812,-3.56%,$121812,21.29%,14
2017/July,11,$579600,$572000,-1.31%,$141375,32.83%,6
2017/June,29,$438725,$430625,-1.84%,-$338288,-43.99%,12
