Year/Month,Number of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Price of Monthly Change,Percentage of Monthly Change,Days on Market
2020/September,440,$841787,$869411,3.28%,-$11114,-1.26%,12
2020/August,479,$853612,$880525,3.15%,$19025,2.2%,12
2020/July,481,$837833,$861500,2.82%,$22750,2.71%,10
2020/June,363,$806211,$838750,4.03%,-$3500,-0.41%,10
2020/May,173,$836875,$842250,0.64%,$81375,10.69%,16
2020/April,106,$774711,$760875,-1.78%,-$84125,-9.95%,18
2020/March,368,$781947,$845000,8.06%,$10375,1.24%,7
2020/February,337,$784249,$834625,6.42%,$9750,1.18%,10
2020/January,212,$812300,$824875,1.54%,$34125,4.31%,11
2019/December,150,$802350,$790750,-1.44%,$3250,0.41%,23
2019/November,303,$782236,$787500,0.67%,$5313,0.67%,16
2019/October,378,$768725,$782187,1.75%,$1862,0.23%,17
2019/September,364,$786750,$780325,-0.81%,$7014,0.9%,15
2019/August,350,$771975,$773311,0.17%,$12586,1.65%,19
2019/July,298,$749325,$760725,1.52%,-$1273,-0.16%,18
2019/June,352,$757822,$761998,0.55%,-$2889,-0.37%,16
2019/May,393,$765348,$764887,-0.06%,-$8738,-1.12%,16
2019/April,378,$773950,$773625,-0.04%,$32250,4.35%,16
2019/March,321,$748087,$741375,-0.89%,$7813,1.06%,15
2019/February,195,$747562,$733562,-1.87%,-$13538,-1.81%,20
2019/January,165,$748310,$747100,-0.16%,$25091,3.47%,20
2018/December,142,$743075,$722009,-2.83%,-$2116,-0.29%,26
2018/November,246,$734975,$724125,-1.47%,-$32375,-4.27%,22
2018/October,289,$777100,$756500,-2.65%,$40500,5.65%,21
2018/September,249,$747237,$716000,-4.18%,-$35325,-4.7%,22
2018/August,286,$765475,$751325,-1.84%,$10825,1.46%,22
2018/July,262,$764375,$740500,-3.12%,-$13000,-1.72%,22
2018/June,326,$771362,$753500,-2.31%,$0,0%,20
2018/May,335,$771250,$753500,-2.3%,-$9487,-1.24%,18
2018/April,317,$769337,$762987,-0.82%,$9740,1.29%,16
2018/March,279,$765125,$753247,-1.55%,$1286,0.17%,14
2018/February,184,$765362,$751961,-1.75%,$24511,3.36%,20
2018/January,128,$761125,$727450,-4.42%,-$31600,-4.16%,33
2017/December,157,$786473,$759050,-3.48%,$5550,0.73%,23
2017/November,267,$744725,$753500,1.17%,-$16812,-2.18%,18
2017/October,222,$792487,$770312,-2.79%,-$31722,-3.95%,19
2017/September,206,$811875,$802034,-1.21%,$60159,8.1%,19
2017/August,203,$754986,$741875,-1.73%,-$50075,-6.32%,23
