Year/Month,Number of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Price of Monthly Change,Percentage of Monthly Change,Days on Market
2020/September,974,$766489,$781500,1.95%,-$6978,-0.88%,10
2020/August,912,$781450,$788478,0.89%,$17541,2.27%,10
2020/July,975,$771950,$770937,-0.13%,$1937,0.25%,10
2020/June,685,$762200,$769000,0.89%,$35875,4.89%,9
2020/May,407,$748463,$733125,-2.04%,$350,0.04%,14
2020/April,236,$752112,$732775,-2.57%,-$46225,-5.93%,14
2020/March,721,$752087,$779000,3.57%,$0,0%,6
2020/February,681,$754800,$779000,3.2%,$35313,4.74%,6
2020/January,427,$745209,$743687,-0.2%,$21150,2.92%,10
2019/December,340,$730787,$722537,-1.12%,$15425,2.18%,16
2019/November,582,$708950,$707112,-0.25%,$4876,0.69%,14
2019/October,767,$707550,$702236,-0.75%,$2236,0.31%,13
2019/September,727,$701949,$700000,-0.27%,$8088,1.16%,13
2019/August,714,$699049,$691912,-1.02%,$5537,0.8%,15
2019/July,615,$693437,$686375,-1.01%,-$7500,-1.08%,14
2019/June,798,$696861,$693875,-0.42%,$4688,0.68%,13
2019/May,972,$692975,$689187,-0.54%,-$1063,-0.15%,11
2019/April,848,$696837,$690250,-0.94%,$22013,3.29%,11
2019/March,666,$670000,$668237,-0.26%,$6950,1.05%,10
2019/February,377,$665323,$661287,-0.6%,$287,0.04%,12
2019/January,375,$674675,$661000,-2.02%,$20125,3.14%,16
2018/December,329,$660315,$640875,-2.94%,-$9250,-1.42%,24
2018/November,562,$657475,$650125,-1.11%,$2625,0.4%,18
2018/October,641,$658075,$647500,-1.6%,-$4500,-0.69%,17
2018/September,566,$659198,$652000,-1.09%,$11375,1.77%,14
2018/August,653,$649575,$640625,-1.37%,-$9625,-1.48%,19
2018/July,600,$657250,$650250,-1.06%,$63,0%,19
2018/June,766,$659499,$650187,-1.41%,$3562,0.55%,14
2018/May,878,$652824,$646625,-0.94%,-$10437,-1.58%,13
2018/April,753,$664550,$657062,-1.12%,-$1188,-0.18%,13
2018/March,733,$667462,$658250,-1.38%,$13088,2.02%,11
2018/February,443,$658149,$645162,-1.97%,$22050,3.53%,13
2018/January,368,$633308,$623112,-1.6%,$11487,1.87%,29
2017/December,391,$627060,$611625,-2.46%,-$19298,-3.05%,19
2017/November,690,$644962,$630923,-2.17%,$11423,1.84%,18
2017/October,573,$633962,$619500,-2.28%,-$10000,-1.58%,19
2017/September,449,$638687,$629500,-1.43%,$14125,2.29%,16
2017/August,460,$630937,$615375,-2.46%,-$20750,-3.26%,20
2017/July,426,$649320,$636125,-2.03%,$617,0.09%,17
2017/June,659,$633735,$635508,0.27%,-$31429,-4.71%,12
2017/May,962,$650200,$666937,2.57%,-$59313,-8.16%,8
2017/April,1076,$644678,$726250,12.65%,$11750,1.64%,6
2017/March,1043,$630825,$714500,13.26%,$28813,4.2%,6
2017/February,792,$610687,$685687,12.28%,$43675,6.8%,6
2017/January,516,$603212,$642012,6.43%,$34637,5.7%,7
2016/December,478,$592362,$607375,2.53%,$6938,1.15%,11
2016/November,735,$587000,$600437,2.28%,$17250,2.95%,10
2016/October,805,$567336,$583187,2.79%,$13437,2.35%,9
2016/September,822,$545425,$569750,4.45%,$2727,0.48%,11
2016/August,928,$548662,$567023,3.34%,$8273,1.48%,11
2016/July,749,$549425,$558750,1.69%,$0,0%,11
2016/June,1353,$545460,$558750,2.43%,$5063,0.91%,10
2016/May,1352,$533675,$553687,3.74%,$15287,2.83%,9
2016/April,1264,$523700,$538400,2.8%,$13275,2.52%,10
2016/March,1099,$517924,$525125,1.39%,$16375,3.21%,11
2016/February,815,$503650,$508750,1.01%,$13175,2.65%,12
2016/January,527,$499800,$495575,-0.84%,$13575,2.81%,15
2015/December,536,$493850,$482000,-2.39%,-$4250,-0.87%,23
2015/November,776,$491073,$486250,-0.98%,-$7000,-1.41%,18
2015/October,938,$494687,$493250,-0.29%,$7213,1.48%,16
2015/September,887,$490325,$486037,-0.87%,$1787,0.36%,16
2015/August,893,$489662,$484250,-1.1%,$2463,0.51%,16
2015/July,1069,$483675,$481787,-0.39%,-$7200,-1.47%,16
2015/June,1282,$490925,$488987,-0.39%,$1667,0.34%,13
2015/May,1261,$488200,$487320,-0.18%,$6920,1.44%,13
2015/April,1231,$480436,$480400,0%,-$412,-0.08%,12
2015/March,924,$480748,$480812,0.01%,$15812,3.4%,13
2015/February,626,$462187,$465000,0.6%,$11499,2.53%,15
2015/January,525,$457437,$453501,-0.86%,$7751,1.73%,18
2014/December,435,$452087,$445750,-1.4%,-$7937,-1.74%,22
2014/November,581,$459797,$453687,-1.32%,$6375,1.42%,20
2014/October,610,$458425,$447312,-2.42%,$159,0.03%,18
2014/September,783,$451125,$447153,-0.88%,$91,0.02%,18
2014/August,820,$455037,$447062,-1.75%,$3462,0.78%,19
2014/July,1041,$452375,$443600,-1.93%,-$3137,-0.7%,17
2014/June,1139,$452200,$446737,-1.2%,-$188,-0.04%,15
2014/May,1130,$450412,$446925,-0.77%,$1190,0.26%,15
2014/April,960,$448050,$445735,-0.51%,$7848,1.79%,14
2014/March,786,$442150,$437887,-0.96%,$4887,1.12%,13
2014/February,658,$439896,$433000,-1.56%,$0,0%,14
2014/January,507,$442424,$433000,-2.13%,$14625,3.49%,21
2013/December,437,$424662,$418375,-1.48%,-$3375,-0.8%,24
2013/November,722,$429425,$421750,-1.78%,$6875,1.65%,21
2013/October,771,$422337,$414875,-1.76%,-$5000,-1.19%,19
