Year/Month,Number of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Price of Monthly Change,Percentage of Monthly Change,Days on Market
2020/September,191,$695587,$707906,1.77%,-$9094,-1.26%,9
2020/August,193,$706709,$717000,1.45%,$36375,5.34%,10
2020/July,171,$670697,$680625,1.48%,$19125,2.89%,15
2020/June,114,$662237,$661500,-0.11%,$167750,33.97%,10
2020/May,90,$499112,$493750,-1.07%,-$34500,-6.53%,11
2020/April,41,$537862,$528250,-1.78%,-$154000,-22.57%,11
2020/March,151,$665312,$682250,2.54%,$27750,4.23%,8
2020/February,142,$628225,$654500,4.18%,$23875,3.78%,9
2020/January,72,$634687,$630625,-0.64%,$1750,0.27%,14
2019/December,59,$631575,$628875,-0.42%,-$7550,-1.18%,26
2019/November,115,$651312,$636425,-2.28%,$19238,3.11%,23
2019/October,126,$623175,$617187,-0.96%,-$4438,-0.71%,17
2019/September,117,$643625,$621625,-3.41%,$6375,1.03%,20
2019/August,106,$612600,$615250,0.43%,$13563,2.25%,32
2019/July,126,$616060,$601687,-2.33%,$10250,1.73%,23
2019/June,126,$594799,$591437,-0.56%,$3500,0.59%,28
2019/May,140,$602098,$587937,-2.35%,-$11538,-1.92%,17
2019/April,126,$600324,$599475,-0.14%,-$37825,-5.93%,15
2019/March,119,$647937,$637300,-1.64%,$38775,6.47%,21
2019/February,76,$611200,$598525,-2.07%,$25650,4.47%,31
2019/January,53,$595725,$572875,-3.83%,$23313,4.24%,31
2018/December,56,$559712,$549562,-1.81%,-$25438,-4.42%,32
2018/November,82,$582197,$575000,-1.23%,-$14968,-2.53%,18
2018/October,107,$607100,$589968,-2.82%,-$25407,-4.12%,19
2018/September,92,$632375,$615375,-2.68%,$23844,4.03%,38
2018/August,90,$607500,$591531,-2.62%,-$9719,-1.61%,35
2018/July,104,$619500,$601250,-2.94%,$19500,3.35%,32
2018/June,111,$589450,$581750,-1.3%,-$9271,-1.56%,26
2018/May,120,$603737,$591021,-2.1%,-$26854,-4.34%,25
2018/April,102,$630112,$617875,-1.94%,-$6500,-1.04%,21
