Year/Month,Number of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Price of Monthly Change,Percentage of Monthly Change,Days on Market
2020/September,396,$890962,$885249,-0.64%,$16687,1.92%,14
2020/August,427,$863550,$868562,0.58%,$22437,2.65%,13
2020/July,424,$847973,$846125,-0.21%,-$11500,-1.34%,13
2020/June,349,$870944,$857625,-1.52%,$55375,6.9%,10
2020/May,160,$817947,$802250,-1.91%,$14763,1.87%,23
2020/April,109,$798562,$787487,-1.38%,-$35263,-4.28%,17
2020/March,306,$810837,$822750,1.46%,$1821,0.22%,8
2020/February,331,$818412,$820929,0.3%,$19454,2.42%,8
2020/January,209,$805486,$801475,-0.49%,$8950,1.12%,14
2019/December,147,$809687,$792525,-2.11%,$24138,3.14%,26
2019/November,257,$785461,$768387,-2.17%,$3012,0.39%,15
2019/October,279,$778881,$765375,-1.73%,$11625,1.54%,17
2019/September,241,$766562,$753750,-1.67%,$20325,2.77%,19
2019/August,250,$745150,$733425,-1.57%,-$28075,-3.68%,21
2019/July,324,$782573,$761500,-2.69%,$41350,5.74%,22
2019/June,250,$739087,$720150,-2.56%,-$25600,-3.43%,17
2019/May,373,$758587,$745750,-1.69%,$12000,1.63%,18
2019/April,353,$751808,$733750,-2.4%,-$20125,-2.66%,17
2019/March,275,$769200,$753875,-1.99%,$51188,7.28%,18
2019/February,157,$717200,$702687,-2.02%,-$34400,-4.66%,17
2019/January,163,$756750,$737087,-2.59%,$30962,4.38%,28
2018/December,119,$737700,$706125,-4.28%,-$22750,-3.12%,32
2018/November,187,$756687,$728875,-3.67%,$5625,0.77%,23
2018/October,240,$742787,$723250,-2.63%,-$29750,-3.95%,23
2018/September,221,$776661,$753000,-3.04%,$17625,2.39%,17
2018/August,249,$755925,$735375,-2.71%,$7188,0.98%,26
2018/July,251,$744362,$728187,-2.17%,-$1688,-0.23%,26
2018/June,300,$749337,$729875,-2.59%,$10688,1.48%,20
2018/May,318,$742687,$719187,-3.16%,$375,0.05%,20
2018/April,281,$740325,$718812,-2.9%,$1625,0.22%,17
2018/March,271,$734304,$717187,-2.33%,-$10875,-1.49%,14
2018/February,222,$748173,$728062,-2.68%,$32062,4.6%,17
2018/January,132,$724100,$696000,-3.88%,$5250,0.76%,35
2017/December,139,$703699,$690750,-1.84%,-$7500,-1.07%,27
2017/November,241,$723787,$698250,-3.52%,-$3812,-0.54%,22
2017/October,218,$725323,$702062,-3.2%,-$26813,-3.67%,23
2017/September,179,$758850,$728875,-3.95%,$49250,7.24%,21
2017/August,178,$696061,$679625,-2.36%,-$22862,-3.25%,21
2017/July,137,$717425,$702487,-2.08%,-$28888,-3.94%,21
2017/June,217,$748600,$731375,-2.3%,-$5812,-0.78%,18
2017/May,307,$725125,$737187,1.66%,-$66075,-8.22%,12
2017/April,408,$730800,$803262,9.91%,-$42863,-5.06%,7
2017/March,456,$781686,$846125,8.24%,$36737,4.53%,8
2017/February,331,$755348,$809388,7.15%,$102290,14.46%,7
2017/January,188,$667230,$707098,5.97%,$22314,3.25%,9
