Year/Month,Number of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Price of Monthly Change,Percentage of Monthly Change,Days on Market
2020/September,394,$424936,$480749,13.13%,-$4376,-0.9%,10
2020/August,424,$456449,$485125,6.28%,$8375,1.75%,9
2020/July,397,$457050,$476750,4.31%,$9500,2.03%,11
2020/June,341,$447200,$467250,4.48%,$54888,13.31%,10
2020/May,249,$411087,$412362,0.31%,-$10494,-2.48%,13
2020/April,150,$425925,$422856,-0.72%,-$26331,-5.86%,14
2020/March,298,$426336,$449187,5.35%,-$8313,-1.81%,8
2020/February,307,$442325,$457500,3.43%,$65688,16.76%,10
2020/January,183,$392322,$391812,-0.12%,-$22863,-5.51%,19
2019/December,139,$427087,$414675,-2.9%,$37613,9.97%,17
2019/November,105,$376950,$377062,0.02%,-$24188,-6.02%,21
2019/October,257,$397175,$401250,1.02%,$28813,7.73%,14
2019/September,245,$375925,$372437,-0.92%,-$47700,-11.35%,15
2019/August,281,$422375,$420137,-0.52%,$39575,10.39%,25
2019/July,286,$382112,$380562,-0.4%,-$26438,-6.49%,17
2019/June,261,$412425,$407000,-1.31%,-$10875,-2.6%,18
2019/May,310,$419937,$417875,-0.49%,$13188,3.25%,14
2019/April,258,$407800,$404687,-0.76%,$16087,4.13%,13
2019/March,225,$391148,$388600,-0.65%,$13913,3.71%,14
2019/February,159,$380100,$374687,-1.42%,-$2563,-0.67%,21
2019/January,158,$391424,$377250,-3.62%,-$1375,-0.36%,34
2018/December,111,$378324,$378625,0.07%,-$8487,-2.19%,24
2018/November,207,$391037,$387112,-1%,$15612,4.2%,16
2018/October,204,$383175,$371500,-3.04%,-$38687,-9.43%,31
2018/September,212,$419737,$410187,-2.27%,$4231,1.04%,25
2018/August,239,$411487,$405956,-1.34%,$20844,5.41%,23
2018/July,198,$386300,$385112,-0.3%,-$27263,-6.61%,24
2018/June,240,$415686,$412375,-0.79%,$16563,4.18%,23
2018/May,248,$394287,$395812,0.38%,$8594,2.21%,15
2018/April,231,$391037,$387218,-0.97%,-$14607,-3.63%,13
2018/March,237,$402037,$401825,-0.05%,$11838,3.03%,13
2018/February,163,$391812,$389987,-0.46%,-$950,-0.24%,12
2018/January,133,$395016,$390937,-1.03%,$3562,0.91%,17
2017/December,157,$389710,$387375,-0.59%,$14375,3.85%,20
2017/November,254,$373575,$373000,-0.15%,$1500,0.4%,12
2017/October,215,$375275,$371500,-1%,$8063,2.21%,19
2017/September,215,$373825,$363437,-2.77%,-$13150,-3.49%,23
2017/August,215,$379072,$376587,-0.65%,$5975,1.61%,19
2017/July,169,$369900,$370612,0.19%,-$20913,-5.34%,19
2017/June,271,$374898,$391525,4.43%,-$4172,-1.05%,10
2017/May,338,$362412,$395697,9.18%,-$41052,-9.39%,7
2017/April,387,$366550,$436749,19.15%,-$11626,-2.59%,6
2017/March,388,$368650,$448375,21.62%,$31875,7.65%,5
2017/February,242,$367425,$416500,13.35%,$57738,16.09%,11
2017/January,190,$319937,$358762,12.13%,-$6210,-1.7%,9
2016/December,160,$352200,$364972,3.62%,$30847,9.23%,10
2016/November,274,$324762,$334125,2.88%,$2779,0.83%,9
2016/October,296,$314812,$331346,5.25%,$4184,1.27%,8
2016/September,287,$311187,$327162,5.13%,-$2588,-0.78%,7
2016/August,318,$300175,$329750,9.85%,$382,0.11%,8
2016/July,264,$305798,$329368,7.7%,$8368,2.6%,8
2016/June,402,$297450,$321000,7.91%,-$2227,-0.68%,7
2016/May,429,$298787,$323227,8.17%,$14577,4.72%,8
2016/April,363,$274925,$308650,12.26%,$12275,4.14%,8
2016/March,276,$278675,$296375,6.35%,-$6350,-2.09%,12
2016/February,227,$295512,$302725,2.44%,$35475,13.27%,7
2016/January,170,$263925,$267250,1.25%,$6875,2.64%,12
2015/December,156,$264812,$260375,-1.67%,$2900,1.12%,14
2015/November,243,$256662,$257475,0.31%,$525,0.2%,13
2015/October,252,$254975,$256950,0.77%,-$10412,-3.89%,11
2015/September,271,$266623,$267362,0.27%,-$5575,-2.04%,10
2015/August,283,$270350,$272937,0.95%,$17937,7.03%,9
2015/July,311,$253200,$255000,0.71%,-$18250,-6.67%,13
2015/June,382,$263475,$273250,3.71%,$11263,4.29%,11
2015/May,324,$258800,$261987,1.23%,$8512,3.35%,9
2015/April,336,$250650,$253475,1.12%,$4600,1.84%,13
2015/March,289,$246037,$248875,1.15%,$11813,4.98%,10
2015/February,190,$235187,$237062,0.79%,-$4213,-1.74%,13
2015/January,138,$244075,$241275,-1.14%,$8400,3.6%,15
2014/December,134,$234575,$232875,-0.72%,$21000,9.91%,18
2014/November,191,$214737,$211875,-1.33%,-$19000,-8.22%,24
2014/October,257,$232200,$230875,-0.57%,-$4487,-1.9%,17
2014/September,274,$237300,$235362,-0.81%,-$16763,-6.64%,16
2014/August,246,$252712,$252125,-0.23%,$12563,5.24%,19
2014/July,280,$243500,$239562,-1.61%,$3625,1.53%,17
2014/June,295,$236836,$235937,-0.37%,$9575,4.22%,12
2014/May,329,$229700,$226362,-1.45%,-$4250,-1.84%,13
2014/April,282,$230749,$230612,-0.05%,$7412,3.32%,11
2014/March,238,$226150,$223200,-1.3%,$13494,6.43%,10
2014/February,163,$213493,$209706,-1.77%,-$15169,-6.74%,13
2014/January,133,$230037,$224875,-2.24%,$22250,10.98%,29
2013/December,120,$209025,$202625,-3.06%,-$3050,-1.48%,23
2013/November,210,$208925,$205675,-1.55%,-$9175,-4.27%,18
2013/October,241,$216200,$214850,-0.62%,$4300,2.04%,20
2013/September,223,$214784,$210550,-1.97%,-$4512,-2.09%,23
2013/August,240,$220887,$215062,-2.63%,-$5888,-2.66%,16
2013/July,245,$225600,$220950,-2.06%,-$4300,-1.9%,24
2013/June,266,$226624,$225250,-0.6%,$11938,5.59%,22
2013/May,303,$218624,$213312,-2.42%,$6687,3.23%,18
2013/April,301,$211475,$206625,-2.29%,-$250,-0.12%,19
2013/March,261,$208950,$206875,-0.99%,-$11375,-5.21%,17
2013/February,189,$224187,$218250,-2.64%,$36688,20.2%,24
2013/January,125,$185837,$181562,-2.3%,-$23950,-11.65%,26
2012/December,107,$209225,$205512,-1.77%,$11632,5.99%,29
2012/November,180,$198573,$193880,-2.36%,$4005,2.1%,30
2012/October,205,$193362,$189875,-1.8%,-$12112,-5.99%,18
2012/September,211,$205887,$201987,-1.89%,$1175,0.58%,16
2012/August,204,$205912,$200812,-2.47%,$3825,1.94%,28
2012/July,246,$202175,$196987,-2.56%,$4387,2.27%,29
2012/June,263,$198925,$192600,-3.17%,-$7650,-3.82%,18
2012/May,280,$203300,$200250,-1.5%,$7900,4.1%,21
2012/April,286,$197137,$192350,-2.42%,$3913,2.07%,28
2012/March,288,$190450,$188437,-1.05%,$12625,7.18%,18
2012/February,215,$178675,$175812,-1.6%,-$2125,-1.19%,17
2012/January,157,$181450,$177937,-1.93%,-$26375,-12.9%,39
2011/December,127,$210537,$204312,-2.95%,$12687,6.62%,36
2011/November,177,$196600,$191625,-2.53%,$8960,4.9%,25
2011/October,192,$186775,$182665,-2.2%,-$13122,-6.7%,25
2011/September,209,$199150,$195787,-1.68%,$15266,8.45%,28
2011/August,212,$185637,$180521,-2.75%,$1596,0.89%,31
2011/July,216,$184412,$178925,-2.97%,-$13575,-7.05%,21
2011/June,249,$197425,$192500,-2.49%,$11075,6.1%,25
2011/May,266,$186175,$181425,-2.55%,-$34637,-16.03%,32
2011/April,230,$221912,$216062,-2.63%,$31400,17%,22
2011/March,259,$188025,$184662,-1.78%,$5600,3.12%,17
2011/February,183,$186000,$179062,-3.73%,$16062,9.85%,26
2011/January,143,$166437,$163000,-2.06%,-$9875,-5.71%,39
2010/December,130,$178031,$172875,-2.89%,$1000,0.58%,35
2010/November,172,$177325,$171875,-3.07%,-$35862,-17.26%,27
2010/October,180,$213400,$207737,-2.65%,$29037,16.24%,31
2010/September,174,$185000,$178700,-3.4%,-$6125,-3.31%,37
2010/August,180,$191175,$184825,-3.32%,-$2912,-1.55%,33
