Year/Month,Number of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Price of Monthly Change,Percentage of Monthly Change,Days on Market
2020/September,3264,$833200,$875500,5.07%,-$1975,-0.22%,10
2020/August,3287,$823175,$877475,6.59%,-$26650,-2.94%,9
2020/July,3495,$861975,$904125,4.88%,-$14312,-1.55%,9
2020/June,2794,$878450,$918437,4.55%,$53987,6.24%,8
2020/May,1446,$842935,$864450,2.55%,$45700,5.58%,11
2020/April,962,$807912,$818750,1.34%,-$59850,-6.81%,12
2020/March,2611,$786950,$878600,11.64%,-$34184,-3.74%,6
2020/February,2576,$844810,$912784,8.04%,$114034,14.27%,7
2020/January,1565,$779337,$798750,2.49%,$18686,2.39%,9
2019/December,1499,$763087,$780064,2.22%,-$18498,-2.31%,16
2019/November,2548,$771787,$798562,3.46%,-$13313,-1.63%,12
2019/October,3219,$781450,$811875,3.89%,-$1600,-0.19%,12
2019/September,2995,$775459,$813475,4.9%,$57225,7.56%,10
2019/August,2329,$739200,$756250,2.3%,-$5000,-0.65%,14
2019/July,2917,$746725,$761250,1.94%,-$40312,-5.02%,13
2019/June,2978,$783000,$801562,2.37%,-$5938,-0.73%,11
2019/May,3475,$782750,$807500,3.16%,$23500,2.99%,10
2019/April,3138,$756975,$784000,3.57%,$16438,2.14%,9
2019/March,2454,$742300,$767562,3.4%,-$23063,-2.91%,9
2019/February,1863,$769000,$790625,2.81%,$55375,7.53%,12
2019/January,1391,$726725,$735250,1.17%,$25063,3.52%,14
2018/December,1350,$715837,$710187,-0.78%,-$55313,-7.22%,20
2018/November,2420,$748450,$765500,2.27%,-$7125,-0.92%,14
2018/October,2844,$744697,$772625,3.75%,$13000,1.71%,12
2018/September,2206,$750925,$759625,1.15%,$53625,7.59%,11
2018/August,2050,$700950,$706000,0.72%,-$23225,-3.18%,15
2018/July,1880,$727100,$729225,0.29%,-$45700,-5.89%,13
2018/June,2663,$753323,$774925,2.86%,-$2200,-0.28%,11
2018/May,3073,$743587,$777125,4.51%,-$7437,-0.94%,10
2018/April,2869,$741700,$784562,5.77%,$30362,4.02%,9
2018/March,2593,$738725,$754200,2.09%,$5951,0.79%,8
2018/February,1770,$733575,$748249,2%,$30499,4.24%,11
2018/January,1275,$712850,$717750,0.68%,$36139,5.3%,19
2017/December,1485,$684836,$681611,-0.47%,-$19670,-2.8%,16
2017/November,2706,$693049,$701281,1.18%,-$37969,-5.13%,13
2017/October,2257,$730800,$739250,1.15%,$17750,2.46%,13
2017/September,1794,$716830,$721500,0.65%,$32875,4.77%,12
2017/August,1710,$680199,$688625,1.23%,-$15748,-2.23%,17
2017/July,1483,$702062,$704373,0.32%,-$38189,-5.14%,15
2017/June,2525,$724487,$742562,2.49%,-$38625,-4.94%,10
2017/May,3693,$722750,$781187,8.08%,-$57938,-6.9%,7
2017/April,3860,$718062,$839125,16.85%,$11800,1.42%,7
2017/March,3837,$686787,$827325,20.46%,$31325,3.93%,6
2017/February,2818,$681222,$796000,16.84%,$90498,12.82%,7
2017/January,1953,$638448,$705502,10.5%,$48752,7.42%,8
2016/December,1913,$631662,$656750,3.97%,-$28275,-4.12%,12
2016/November,3129,$649175,$685025,5.52%,$4588,0.67%,10
2016/October,2963,$641712,$680437,6.03%,$19212,2.9%,10
2016/September,2948,$619200,$661225,6.78%,$46975,7.64%,10
2016/August,3128,$588622,$614250,4.35%,-$10500,-1.68%,11
2016/July,2533,$592975,$624750,5.35%,-$29625,-4.52%,11
2016/June,4569,$611312,$654375,7.04%,$375,0.05%,10
2016/May,4811,$611722,$654000,6.91%,$5250,0.8%,9
2016/April,4470,$612575,$648750,5.9%,$32000,5.18%,9
2016/March,3725,$588573,$616750,4.78%,-$8250,-1.32%,10
2016/February,2914,$599850,$625000,4.19%,$69125,12.43%,11
2016/January,1885,$545837,$555875,1.83%,$8875,1.62%,16
2015/December,1910,$547700,$547000,-0.12%,-$19762,-3.48%,19
2015/November,2844,$567462,$566762,-0.12%,-$9613,-1.66%,16
2015/October,3453,$567173,$576375,1.62%,$9813,1.73%,15
2015/September,3205,$551763,$566562,2.68%,$27437,5.08%,13
2015/August,2832,$529300,$539125,1.85%,-$7625,-1.39%,14
2015/July,3468,$544175,$546750,0.47%,-$20037,-3.53%,14
2015/June,4406,$547098,$566787,3.59%,-$11713,-2.02%,12
2015/May,4355,$559700,$578500,3.35%,$11050,1.94%,11
2015/April,4174,$546353,$567450,3.86%,$3825,0.67%,11
2015/March,3484,$543337,$563625,3.73%,$16188,2.95%,11
2015/February,2509,$529050,$547437,3.47%,$19000,3.59%,12
2015/January,1679,$525237,$528437,0.6%,$39862,8.15%,14
2014/December,1714,$492137,$488575,-0.72%,-$37797,-7.18%,21
2014/November,2742,$515950,$526372,2.01%,-$3128,-0.59%,16
2014/October,3461,$516962,$529500,2.42%,$5750,1.09%,14
2014/September,3249,$509900,$523750,2.71%,$37688,7.75%,14
2014/August,2830,$484175,$486062,0.38%,-$15281,-3.04%,17
2014/July,3419,$499112,$501343,0.44%,-$16532,-3.19%,15
2014/June,3907,$509912,$517875,1.56%,-$1125,-0.21%,13
2014/May,4181,$508975,$519000,1.96%,-$212,-0.04%,12
