Year/Month,Number of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Price of Monthly Change,Percentage of Monthly Change,Days on Market
2020/September,432,$862950,$862446,-0.05%,-$22754,-2.57%,13
2020/August,440,$881397,$885200,0.43%,-$12487,-1.39%,12
2020/July,471,$900336,$897687,-0.29%,$70937,8.58%,13
2020/June,314,$824724,$826750,0.24%,-$7175,-0.86%,11
2020/May,176,$857346,$833925,-2.73%,$66550,8.67%,18
2020/April,90,$788700,$767375,-2.7%,-$92437,-10.75%,14
2020/March,339,$837975,$859812,2.6%,-$9563,-1.09%,7
2020/February,327,$856337,$869375,1.52%,$8979,1.04%,9
2020/January,184,$849225,$860396,1.31%,$42521,5.19%,14
2019/December,157,$831687,$817875,-1.66%,$2657,0.32%,20
2019/November,273,$817800,$815218,-0.31%,$48443,6.31%,16
2019/October,244,$770950,$766775,-0.54%,-$10350,-1.33%,18
2019/September,269,$785924,$777125,-1.11%,-$1472,-0.18%,14
2019/August,280,$787550,$778597,-1.13%,-$1003,-0.12%,17
2019/July,333,$784504,$779600,-0.62%,$12275,1.59%,17
2019/June,323,$780937,$767325,-1.74%,-$5425,-0.7%,18
2019/May,391,$792585,$772750,-2.5%,$11375,1.49%,15
2019/April,389,$770750,$761375,-1.21%,$12875,1.72%,14
2019/March,294,$762674,$748500,-1.85%,$1063,0.14%,14
2019/February,204,$762629,$747437,-1.99%,-$10063,-1.32%,23
2019/January,145,$779200,$757500,-2.78%,$7125,0.94%,27
2018/December,161,$774100,$750375,-3.06%,$22250,3.05%,27
2018/November,260,$749112,$728125,-2.8%,-$39875,-5.19%,22
2018/October,252,$791950,$768000,-3.02%,-$29875,-3.74%,21
2018/September,234,$819834,$797875,-2.67%,$37250,4.89%,23
2018/August,231,$777300,$760625,-2.14%,$14875,1.99%,24
2018/July,194,$769450,$745750,-3.08%,$7250,0.98%,23
2018/June,261,$758223,$738500,-2.6%,-$23187,-3.04%,25
2018/May,322,$779825,$761687,-2.32%,-$8781,-1.13%,16
2018/April,291,$792009,$770468,-2.71%,$10718,1.41%,18
2018/March,286,$773937,$759750,-1.83%,-$8625,-1.12%,15
2018/February,209,$792700,$768375,-3.06%,$48250,6.7%,22
2018/January,126,$739650,$720125,-2.63%,-$33625,-4.46%,26
2017/December,156,$781225,$753750,-3.51%,-$8187,-1.07%,30
2017/November,220,$785937,$761937,-3.05%,-$3674,-0.47%,17
2017/October,231,$782072,$765611,-2.1%,$16736,2.23%,19
2017/September,171,$772199,$748875,-3.02%,-$19562,-2.54%,17
2017/August,157,$782711,$768437,-1.82%,$10150,1.33%,22
2017/July,135,$780724,$758287,-2.87%,-$30838,-3.9%,15
2017/June,217,$785249,$789125,0.49%,-$9250,-1.15%,12
2017/May,346,$785850,$798375,1.59%,-$90500,-10.18%,8
2017/April,414,$792375,$888875,12.17%,-$23700,-2.59%,6
2017/March,445,$786162,$912575,16.07%,$55825,6.51%,6
2017/February,361,$763450,$856750,12.22%,$32550,3.94%,6
2017/January,217,$790062,$824200,4.32%,$81075,10.91%,9
2016/December,228,$712725,$743125,4.26%,$15000,2.06%,13
2016/November,372,$703836,$728125,3.45%,$15625,2.19%,11
2016/October,345,$694297,$712500,2.62%,-$22000,-2.99%,15
2016/September,335,$701472,$734500,4.7%,$13875,1.92%,10
2016/August,370,$706183,$720625,2.04%,$44625,6.6%,12
2016/July,271,$654522,$676000,3.28%,-$9787,-1.42%,16
2016/June,485,$658925,$685787,4.07%,-$2838,-0.41%,11
2016/May,600,$656700,$688625,4.86%,$8250,1.21%,11
2016/April,609,$658894,$680375,3.26%,$20875,3.16%,11
2016/March,475,$638399,$659500,3.3%,$1213,0.18%,11
2016/February,372,$643662,$658287,2.27%,$21786,3.42%,14
2016/January,242,$637597,$636501,-0.17%,$41151,6.91%,23
2015/December,195,$590623,$595350,0.8%,$5700,0.96%,19
2015/November,283,$590800,$589650,-0.19%,-$5100,-0.85%,16
2015/October,359,$600537,$594750,-0.96%,$10500,1.79%,16
2015/September,328,$589086,$584250,-0.82%,-$15000,-2.5%,16
2015/August,295,$600325,$599250,-0.17%,-$6125,-1.01%,19
2015/July,393,$598025,$605375,1.22%,$2438,0.4%,15
2015/June,505,$607975,$602937,-0.82%,-$1938,-0.32%,15
2015/May,528,$592925,$604875,2.01%,$23213,3.99%,12
2015/April,553,$580900,$581662,0.13%,$12676,2.22%,12
2015/March,511,$571912,$568986,-0.51%,$2299,0.4%,14
2015/February,313,$562400,$566687,0.76%,$19812,3.62%,13
2015/January,212,$550450,$546875,-0.64%,-$13850,-2.47%,15
2014/December,188,$569025,$560725,-1.45%,$2225,0.39%,23
2014/November,284,$569225,$558500,-1.88%,$24125,4.51%,20
2014/October,361,$543200,$534375,-1.62%,-$18087,-3.27%,19
2014/September,351,$561450,$552462,-1.6%,$1212,0.21%,18
2014/August,347,$557937,$551250,-1.19%,$14750,2.74%,21
2014/July,410,$547012,$536500,-1.92%,$2875,0.53%,20
2014/June,387,$541662,$533625,-1.48%,-$7375,-1.36%,16
2014/May,491,$548662,$541000,-1.39%,-$5000,-0.91%,18
2014/April,421,$553922,$546000,-1.43%,-$500,-0.09%,16
2014/March,378,$539808,$546500,1.23%,$31750,6.16%,12
2014/February,262,$519162,$514750,-0.84%,$10250,2.03%,15
2014/January,179,$513662,$504500,-1.78%,-$18262,-3.49%,34
2013/December,185,$534448,$522762,-2.18%,$27950,5.64%,21
2013/November,294,$505312,$494812,-2.07%,-$16038,-3.13%,26
2013/October,323,$526062,$510850,-2.89%,-$5211,-1%,20
2013/September,329,$530275,$516061,-2.68%,$3561,0.69%,23
2013/August,314,$523211,$512500,-2.04%,$2875,0.56%,21
2013/July,357,$519300,$509625,-1.86%,$9000,1.79%,22
2013/June,399,$505550,$500625,-0.97%,$5690,1.14%,18
2013/May,437,$505062,$494935,-2%,-$5112,-1.02%,16
2013/April,421,$512200,$500047,-2.37%,$16547,3.42%,17
2013/March,370,$487824,$483500,-0.88%,-$3875,-0.79%,17
2013/February,268,$497475,$487375,-2.03%,$29625,6.47%,23
2013/January,232,$470687,$457750,-2.74%,-$13625,-2.89%,23
2012/December,166,$482800,$471375,-2.36%,-$9112,-1.89%,27
2012/November,269,$488297,$480487,-1.59%,$10737,2.28%,25
2012/October,286,$482137,$469750,-2.56%,-$6887,-1.44%,21
2012/September,264,$484560,$476637,-1.63%,-$8925,-1.83%,23
2012/August,244,$497024,$485562,-2.3%,$12081,2.55%,23
2012/July,315,$483562,$473481,-2.08%,-$17894,-3.64%,24
2012/June,387,$500087,$491375,-1.74%,$6813,1.4%,15
2012/May,447,$483262,$484562,0.26%,$11187,2.36%,16
2012/April,449,$478369,$473375,-1.04%,-$20737,-4.19%,15
2012/March,491,$494225,$494112,-0.02%,$23675,5.03%,13
2012/February,363,$479450,$470437,-1.87%,-$1288,-0.27%,11
2012/January,218,$476700,$471725,-1.04%,$30600,6.93%,21
2011/December,197,$450462,$441125,-2.07%,-$7625,-1.69%,21
2011/November,314,$456537,$448750,-1.7%,$3500,0.78%,21
2011/October,343,$448950,$445250,-0.82%,$3750,0.84%,16
2011/September,346,$449212,$441500,-1.71%,-$9750,-2.16%,16
2011/August,315,$455912,$451250,-1.02%,$8500,1.91%,19
2011/July,341,$444825,$442750,-0.46%,-$624,-0.14%,16
2011/June,423,$452162,$443374,-1.94%,$887,0.2%,16
2011/May,475,$447887,$442487,-1.2%,$7112,1.63%,16
2011/April,475,$438186,$435375,-0.64%,$4875,1.13%,14
2011/March,458,$436537,$430500,-1.38%,$17000,4.11%,12
2011/February,323,$415575,$413500,-0.49%,-$4500,-1.07%,10
2011/January,249,$425375,$418000,-1.73%,$6125,1.48%,21
2010/December,190,$421087,$411875,-2.18%,-$2975,-0.71%,25
2010/November,278,$426837,$414850,-2.8%,$2100,0.5%,28
2010/October,330,$420725,$412750,-1.89%,-$12037,-2.83%,23
2010/September,269,$436137,$424787,-2.6%,$26975,6.78%,25
2010/August,279,$411100,$397812,-3.23%,$6562,1.67%,34
2010/July,236,$398893,$391250,-1.91%,-$7250,-1.81%,23
2010/June,324,$405425,$398500,-1.7%,-$4250,-1.05%,21
2010/May,387,$411436,$402750,-2.11%,-$7075,-1.72%,22
2010/April,466,$414300,$409825,-1.08%,$7400,1.83%,16
2010/March,487,$408925,$402425,-1.58%,-$5212,-1.27%,12
2010/February,412,$407162,$407637,0.11%,$6450,1.6%,14
2010/January,244,$399900,$401187,0.32%,$401187,0%,13
2020/October,438,$887487,$874375,-1.47%,$11402,1.32%,15
2020/November,351,$861837,$860625,-0.14%,-$10687,-1.22%,15
