Year/Month,Number of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Price of Monthly Change,Percentage of Monthly Change,Days on Market
2020/September,97,$797725,$812625,1.86%,$74975,10.16%,10
2020/August,95,$733822,$737650,0.52%,-$1912,-0.25%,13
2020/July,110,$735922,$739562,0.49%,$29175,4.1%,18
2020/June,90,$706973,$710387,0.48%,-$24563,-3.34%,12
2020/May,40,$739161,$734950,-0.56%,$306700,71.61%,19
2020/April,15,$448500,$428250,-4.51%,-$278236,-39.38%,13
2020/March,44,$695075,$706486,1.64%,$22375,3.27%,30
2020/February,58,$681937,$684111,0.31%,-$53564,-7.26%,12
2020/January,31,$741662,$737675,-0.53%,$62050,9.18%,41
2019/December,41,$690322,$675625,-2.12%,-$45543,-6.31%,41
2019/November,56,$735087,$721168,-1.89%,$46793,6.93%,23
2019/October,72,$691187,$674375,-2.43%,$114763,20.5%,22
2019/September,65,$564237,$559612,-0.81%,$30637,5.79%,25
2019/August,71,$542950,$528975,-2.57%,-$141775,-21.13%,33
2019/July,63,$674175,$670750,-0.5%,$84625,14.43%,32
2019/June,75,$597725,$586125,-1.94%,-$72850,-11.05%,25
2019/May,75,$663675,$658975,-0.7%,-$11775,-1.75%,18
2019/April,59,$678950,$670750,-1.2%,$7500,1.13%,21
2019/March,60,$671950,$663250,-1.29%,-$20875,-3.05%,18
2019/February,33,$698325,$684125,-2.03%,$316275,85.97%,29
2019/January,21,$379600,$367850,-3.09%,-$3650,-0.98%,19
2018/December,25,$375500,$371500,-1.06%,-$142550,-27.73%,14
2018/November,38,$530073,$514050,-3.02%,-$120852,-19.03%,41
2018/October,58,$650437,$634902,-2.38%,$19802,3.21%,34
2018/September,56,$627525,$615100,-1.98%,-$20837,-3.27%,23
2018/August,60,$651725,$635937,-2.42%,-$21063,-3.2%,39
2018/July,49,$661362,$657000,-0.65%,$10938,1.69%,35
2018/June,66,$662099,$646062,-2.42%,-$14312,-2.16%,37
2018/May,59,$673200,$660374,-1.9%,-$9501,-1.41%,26
2018/April,50,$684109,$669875,-2.08%,$122250,22.32%,27
2018/March,48,$549100,$547625,-0.26%,$155750,39.74%,9
2018/February,38,$401587,$391875,-2.41%,-$787,-0.2%,9
2018/January,22,$401987,$392662,-2.31%,-$114325,-22.54%,21
2017/December,25,$527323,$506987,-3.85%,-$170762,-25.19%,16
2017/November,57,$698700,$677749,-2.99%,$286777,73.34%,65
2017/October,54,$401750,$390972,-2.68%,-$277153,-41.48%,10
2017/September,39,$684650,$668125,-2.41%,$171889,34.63%,36
2017/August,43,$502474,$496236,-1.24%,$113136,29.53%,18
2017/July,22,$392450,$383100,-2.38%,-$248875,-39.38%,13
2017/June,44,$633850,$631975,-0.29%,$48850,8.37%,20
2017/May,54,$576825,$583125,1.09%,-$156225,-21.13%,27
2017/April,88,$690409,$739350,7.08%,$238725,47.68%,24
2017/March,88,$423724,$500625,18.14%,-$80875,-13.9%,3
2017/February,56,$519120,$581500,12.01%,-$52500,-8.28%,6
2017/January,38,$609825,$634000,3.96%,$141250,28.66%,12
2016/December,54,$487062,$492750,1.16%,-$5625,-1.12%,9
2016/November,80,$494375,$498375,0.8%,$76875,18.23%,10
2016/October,70,$393722,$421500,7.05%,$25500,6.43%,3
2016/September,79,$377175,$396000,4.99%,-$245725,-38.29%,2
2016/August,87,$632048,$641725,1.53%,$257125,66.85%,19
2016/July,69,$373211,$384600,3.05%,-$96750,-20.09%,3
2016/June,127,$461537,$481350,4.29%,-$47275,-8.94%,26
2016/May,130,$518000,$528625,2.05%,$81486,18.22%,7
2016/April,134,$434700,$447139,2.86%,-$4861,-1.07%,7
2016/March,83,$449225,$452000,0.61%,-$19000,-4.03%,4
2016/February,67,$465447,$471000,1.19%,-$15762,-3.23%,6
2016/January,41,$481174,$486762,1.16%,$7300,1.52%,5
2015/December,42,$496375,$479462,-3.4%,$152712,46.73%,24
2015/November,51,$329500,$326750,-0.83%,-$80250,-19.71%,7
2015/October,74,$404300,$407000,0.66%,-$117062,-22.33%,10
2015/September,69,$533087,$524062,-1.69%,$205687,64.6%,7
2015/August,75,$322100,$318375,-1.15%,-$349250,-52.31%,6
2015/July,86,$668800,$667625,-0.17%,$171900,34.67%,24
2015/June,120,$491462,$495725,0.86%,$111475,29.01%,10
2015/May,116,$378075,$384250,1.63%,-$86250,-18.33%,6
2015/April,125,$472975,$470500,-0.52%,$175778,59.64%,15
2015/March,78,$294725,$294722,0%,-$189153,-39.09%,4
2015/February,60,$485325,$483875,-0.29%,$124250,34.54%,15
2015/January,44,$358550,$359625,0.29%,-$92625,-20.48%,8
2014/December,34,$458687,$452250,-1.4%,-$28887,-6%,61
2014/November,51,$499650,$481137,-3.7%,$190825,65.73%,61
2014/October,63,$290975,$290312,-0.22%,-$86563,-22.96%,8
2014/September,82,$385950,$376875,-2.35%,-$92843,-19.76%,14
2014/August,69,$479550,$469718,-2.05%,$108031,29.86%,39
2014/July,94,$362073,$361687,-0.1%,-$91000,-20.1%,11
2014/June,94,$458725,$452687,-1.31%,$22312,5.18%,26
2014/May,117,$437837,$430375,-1.7%,-$41475,-8.78%,24
2014/April,89,$477400,$471850,-1.16%,$41288,9.58%,34
2014/March,65,$435447,$430562,-1.12%,$74062,20.77%,36
2014/February,47,$368475,$356500,-3.24%,$43125,13.76%,23
2014/January,44,$319450,$313375,-1.9%,$12875,4.28%,29
2013/December,22,$305212,$300500,-1.54%,-$39875,-11.71%,14
2013/November,59,$346325,$340375,-1.71%,-$9000,-2.57%,60
2013/October,56,$351407,$349375,-0.57%,-$22175,-5.96%,26
2013/September,69,$380437,$371550,-2.33%,$24050,6.92%,20
