Date,ID,Address,Street,Neighbourhood,City,Price,Bathroom,Bedroom,Link
2020/10/16,l885950,21 Tucker Crt,Tucker Crt,Aurora Estates,Aurora,"$1,050,000",3 baths,3 beds,https://aurora.listing.ca/21-tucker-crt.N4956062.htm#9h-1
2020/10/16,l885664,1220 Wellington St,Wellington St,Bayview Northeast,Aurora,"$989,000",4 baths,4 beds,https://aurora.listing.ca/1220-wellington-st.N4955776.htm#9h-2
2020/10/16,l885661,89 Kemano Rd,Kemano Rd,Aurora Heights,Aurora,"$899,888",4 baths,3 beds,https://aurora.listing.ca/89-kemano-rd.N4955754.htm#9h-3
2020/10/16,l885263,123 Timberline Tr,Timberline Tr,Aurora Highlands,Aurora,"$1,400,000",4 baths,4+1 beds,https://aurora.listing.ca/123-timberline-tr.N4955218.htm#9h-4
2020/10/16,l885232,38 Offord Cres,Offord Cres,Bayview Southeast,Aurora,"$3,500,000",5 baths,3+1 beds,https://aurora.listing.ca/38-offord-cres.N4954883.htm#9h-5
2020/10/16,l885222,40 Barr Cres,Barr Cres,Bayview Northeast,Aurora,"$815,000",4 baths,3 beds,https://aurora.listing.ca/40-barr-cres.N4954711.htm#9h-6
2020/10/16,l885217,107 Temperance St,Temperance St,Aurora Village,Aurora,"$799,900",3 baths,3+1 beds,https://aurora.listing.ca/107-temperance-st.N4954642.htm#9h-7
2020/10/16,l884616,148 Millcliff Circ,Millcliff Circ,Aurora Grove,Aurora,"$838,000",3 baths,3 beds,https://aurora.listing.ca/148-millcliff-circ.N4954157.htm#9h-8
2020/10/16,l884295,180 John West Way 302,John West Way,Bayview Wellington,Aurora,"$509,500",1 baths,1 beds,https://aurora.listing.ca/180-john-west-way-302.N4954061.htm#9h-9
2020/10/16,l883684,15 Buttonwood Tr,Buttonwood Tr,Aurora Highlands,Aurora,"$949,800",3 baths,4 beds,https://aurora.listing.ca/15-buttonwood-tr.N4953459.htm#9h-a
2020/10/16,l883682,18 Deerhorn Cres,Deerhorn Cres,Aurora Highlands,Aurora,"$1,698,000",4 baths,4 beds,https://aurora.listing.ca/18-deerhorn-cres.N4953426.htm#9h-b
2020/10/16,l883680,76 Maple Fields Circ,Maple Fields Circ,Aurora Estates,Aurora,"$1,249,990",4 baths,4 beds,https://aurora.listing.ca/76-maple-fields-circ.N4953410.htm#9h-c
2020/10/16,l883678,42 Steeplechase Ave,Steeplechase Ave,Aurora Estates,Aurora,"$3,999,000",4 baths,3 beds,https://aurora.listing.ca/42-steeplechase-ave.N4953378.htm#9h-d
2020/10/16,l883409,43 Cranberry Lane,Cranberry Lane,Aurora Highlands,Aurora,"$1,449,900",4 baths,4+1 beds,https://aurora.listing.ca/43-cranberry-lane.N4952619.htm#9h-e
2020/10/16,l883391,67 Bilbrough St,Bilbrough St,Bayview Northeast,Aurora,"$799,900",3 baths,3+1 beds,https://aurora.listing.ca/67-bilbrough-st.N4952363.htm#9h-f
2020/10/16,l883204,300 Alex Gardner Circ 58,Alex Gardner Circ,Aurora Heights,Aurora,"$669,000",3 baths,2 beds,https://aurora.listing.ca/300-alex-gardner-circ-58.N4953555.htm#9h-g
2020/10/16,l883193,160 Wellington St 413,Wellington St,Aurora Village,Aurora,"$449,000",2 baths,2 beds,https://aurora.listing.ca/160-wellington-st-413.N4953356.htm#9h-h
