ID,Address,Street,Neighbourhood,City,Price,Bathroom,Bedroom,Link,
2020/10/16,l882303,24 Stonehart Lane Unit 12,Stonehart Lane,East Bayfield,Barrie,"$579,999",3 baths,2 beds,https://barrie.listing.ca/24-stonehart-lane-unit-12.S4951011.htm#61-1
2020/10/16,l885666,127 Churchland Dr,Churchland Dr,Holly,Barrie,"$549,900",2 baths,3 beds,https://barrie.listing.ca/127-churchland-dr.S4955629.htm#61-2
2020/10/16,l885665,199 Ardagh Rd 17,Ardagh Rd,Ardagh,Barrie,"$545,000",3 baths,3 beds,https://barrie.listing.ca/199-ardagh-rd-17.S4955533.htm#61-3
2020/10/16,l885566,414 Blake St 604,Blake St,Codrington,Barrie,"$334,900",1 baths,2 beds,https://barrie.listing.ca/414-blake-st-604.S4955617.htm#61-4
2020/10/16,l885300,91 Browning Tr,Browning Tr,Letitia Heights,Barrie,"$675,000",4 baths,4 beds,https://barrie.listing.ca/91-browning-tr.S4955429.htm#61-5
2020/10/16,l885298,43 Austen Lane,Austen Lane,Letitia Heights,Barrie,"$469,000",2 baths,4 beds,https://barrie.listing.ca/43-austen-lane.S4955303.htm#61-6
2020/10/16,l885293,48 Ferguson Dr,Ferguson Dr,Northwest,Barrie,"$548,000",3 baths,3+1 beds,https://barrie.listing.ca/48-ferguson-dr.S4954942.htm#61-7
2020/10/16,l885291,262 Country Lane,Country Lane,Painswick South,Barrie,"$739,900",3 baths,4 beds,https://barrie.listing.ca/262-country-lane.S4954924.htm#61-8
2020/10/16,l885288,1 Spearin Crt,Spearin Crt,Grove East,Barrie,"$729,900",3 baths,4 beds,https://barrie.listing.ca/1-spearin-crt.S4954631.htm#61-9
2020/10/16,l885287,21 Willow Fern Dr,Willow Fern Dr,Ardagh,Barrie,"$860,000",3 baths,3+2 beds,https://barrie.listing.ca/21-willow-fern-dr.S4954603.htm#61-a
2020/10/16,l885286,60 Parkside Dr,Parkside Dr,Queen's Park,Barrie,"$469,000",2 baths,3 beds,https://barrie.listing.ca/60-parkside-dr.S4954587.htm#61-b
