ID,Address,Street,Neighbourhood,City,Price,Bathroom,Bedroom,Link,
2020/10/16,l885758,45 Rushmore Cres,Rushmore Cres,Heart Lake East,Brampton,"$524,900",3 baths,3 beds,https://brampton.listing.ca/45-rushmore-cres.W4955851.htm#h-1
2020/10/16,l885753,9 Valleypark Cres,Valleypark Cres,Fletcher's Meadow,Brampton,"$1,027,000",4 baths,4+2 beds,https://brampton.listing.ca/9-valleypark-cres.W4955831.htm#h-2
2020/10/16,l885750,10 Inspiration Way,Inspiration Way,Sandringham-Wellington,Brampton,"$760,000",4 baths,3 beds,https://brampton.listing.ca/10-inspiration-way.W4955824.htm#h-3
2020/10/16,l885695,57 Ebby Ave,Ebby Ave,Heart Lake West,Brampton,"$749,999",3 baths,3+1 beds,https://brampton.listing.ca/57-ebby-ave.W4955677.htm#h-4
2020/10/16,l885693,22 Coolwater Dr,Coolwater Dr,Sandringham-Wellington,Brampton,"$749,900",4 baths,3+1 beds,https://brampton.listing.ca/22-coolwater-dr.W4955649.htm#h-5
2020/10/16,l885690,6 Holly Pl,Holly Pl,Westgate,Brampton,"$1,389,000",5 baths,4+2 beds,https://brampton.listing.ca/6-holly-pl.W4955627.htm#h-6
2020/10/16,l885688,3 Argelia Cres,Argelia Cres,Credit Valley,Brampton,"$1,249,900",5 baths,4+2 beds,https://brampton.listing.ca/3-argelia-cres.W4955622.htm#h-7
2020/10/16,l885683,103 Checkerberry Cres,Checkerberry Cres,Sandringham-Wellington,Brampton,"$749,000",4 baths,3+2 beds,https://brampton.listing.ca/103-checkerberry-cres.W4955599.htm#h-8
2020/10/16,l885682,29 Seclusion Cres,Seclusion Cres,Sandringham-Wellington,Brampton,"$899,900",3 baths,4 beds,https://brampton.listing.ca/29-seclusion-cres.W4955598.htm#h-9
2020/10/16,l885673,55 Gatesgill St,Gatesgill St,Brampton West,Brampton,"$899,000",4 baths,4+3 beds,https://brampton.listing.ca/55-gatesgill-st.W4955544.htm#h-a
2020/10/16,l885670,18 Lonestar Cres,Lonestar Cres,Fletcher's Creek South,Brampton,"$719,900",2 baths,3 beds,https://brampton.listing.ca/18-lonestar-cres.W4955538.htm#h-b
2020/10/16,l885437,5 Tullamore Rd,Tullamore Rd,Brampton East,Brampton,"$699,000",2 baths,4 beds,https://brampton.listing.ca/5-tullamore-rd.W4955494.htm#h-c
2020/10/16,l885419,9 Tammy Dr,Tammy Dr,Bram West,Brampton,"$1,758,000",5 baths,4+1 beds,https://brampton.listing.ca/9-tammy-dr.W4955353.htm#h-d
2020/10/16,l885417,39 Kilrea Way,Kilrea Way,Credit Valley,Brampton,"$845,000",4 baths,4 beds,https://brampton.listing.ca/39-kilrea-way.W4955340.htm#h-e
2020/10/16,l885400,23 Bonsai Lane,Bonsai Lane,Northwest Brampton,Brampton,"$799,900",4 baths,3 beds,https://brampton.listing.ca/23-bonsai-lane.W4955239.htm#h-f
2020/10/16,l885396,61 Grassington Cres,Grassington Cres,Northgate,Brampton,"$869,000",3 baths,3+1 beds,https://brampton.listing.ca/61-grassington-cres.W4955211.htm#h-g
2020/10/16,l885389,28 Colchester Ave,Colchester Ave,Heart Lake West,Brampton,"$839,900",4 baths,3+1 beds,https://brampton.listing.ca/28-colchester-ave.W4955161.htm#h-h
2020/10/16,l885377,35 Long Branch Tr,Long Branch Tr,Bram East,Brampton,"$1,169,900",5 baths,4+3 beds,https://brampton.listing.ca/35-long-branch-tr.W4955090.htm#h-i
